World Rank,Location,Institution,Handle,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Research Performance,Score
1184,USA,Albany Medical College,AlbanyMed,255,-,-,-,1123,69.3
978,USA,American University,AmericanU,218,-,324,-,985,70.4
403,USA,Amherst College,AmherstCollege,117,21,55,-,-,75.3
908,USA,Antioch College,AntiochCollege,207,22,-,-,-,70.9
1647,USA,Appalachian State University,appstate,315,-,1266,-,1568,67.1
183,USA,Arizona State University,asu,67,419,650,257,141,79.1
545,USA,Auburn University,AuburnU,148,-,241,-,553,73.7
702,USA,Augusta University,AUG_JAGWIRE,174,-,-,-,658,72.3
993,USA,Babson College,babson,220,-,44,-,-,70.3
1393,USA,Ball State University,BallState,279,-,468,-,1389,68.2
1333,USA,Baruch College,BaruchCollege,270,-,712,260,1431,68.5
126,USA,Baylor College of Medicine,bcmhouston,57,69,-,201,124,80.8
489,USA,Baylor University,Baylor,138,-,367,-,475,74.3
630,USA,Binghamton University,binghamtonu,161,302,374,153,837,72.9
1254,USA,Boise State University,BoiseState,262,-,1459,-,1189,68.9
494,USA,Boston College,BostonCollege,140,-,157,-,539,74.2
91,USA,Boston University,BU_Tweets,49,500,114,210,66,82.2
1109,USA,Bowdoin College,BowdoinCollege,241,120,80,-,-,69.7
1205,USA,Bowling Green State University,bgsu,258,-,705,-,1156,69.1
186,USA,Brandeis University,BrandeisU,69,29,233,39,588,79
574,USA,Brigham Young University,BYU,155,318,922,-,543,73.4
1483,USA,Brooklyn College,BklynCollege411,292,119,1441,-,1673,67.8
60,USA,Brown University,BrownUniversity,37,70,56,112,131,83.9
883,USA,Bucknell University,BucknellU,203,-,50,-,1790,71
11,USA,California Institute of Technology,Caltech,9,2,128,5,74,90.4
1182,USA,"California Polytechnic State University, San Luis Obispo",CalPoly,254,-,383,-,1193,69.3
1133,USA,"California State University, Fresno",Fresno_State,247,-,-,-,1078,69.5
1279,USA,"California State University, Fullerton",csuf,264,-,1052,-,1220,68.8
1363,USA,"California State University, Long Beach",CSULB,274,-,1371,-,1299,68.4
1627,USA,"California State University, Los Angeles",CalStateLA,312,-,790,-,1561,67.2
1290,USA,"California State University, Northridge",csunorthridge,267,-,1254,-,1231,68.7
1752,USA,"California State University, Sacramento",sacstate,327,-,614,-,1723,66.7
1427,USA,Carleton College,CarletonCollege,284,88,327,-,1914,68.1
82,USA,Carnegie Mellon University,carnegiemellon,46,55,155,38,200,82.6
124,USA,Case Western Reserve University,cwru,56,63,262,181,144,80.8
1213,USA,Catholic University of America,CatholicUniv,260,-,969,-,1150,69.1
1481,USA,Central Michigan University,CMUniversity,291,-,1039,-,1419,67.8
1658,USA,Chapman University,ChapmanU,316,-,875,-,1586,67.1
343,USA,City College of New York,CityCollegeNY,108,24,427,-,768,76.1
1475,USA,Claremont Graduate University,CMCnews,290,-,-,265,1498,67.9
918,USA,Claremont McKenna College,CMCnews,211,-,45,-,-,70.8
1110,USA,Clark University,ClarkUniversity,242,-,152,-,1334,69.7
1345,USA,Clarkson University,ClarksonUniv,271,-,753,-,1303,68.5
553,USA,Clemson University,ClemsonUniv,150,-,934,-,523,73.6
1505,USA,Cleveland State University,CLE_State,294,-,871,-,1442,67.7
583,USA,Cold Spring Harbor Laboratory,CSHL,158,-,-,88,831,73.3
890,USA,Colgate University,colgateuniv,204,-,47,-,1920,71
1606,USA,College of Charleston,CofC,307,-,-,-,1530,67.3
1855,USA,College of Saint Benedict and Saint John's University,CSBSJU,337,-,96,-,-,66.3
