,created_at,full_text
0,Mon Oct 26 14:34:04 +0000 2020,"@UniversalMaski2 @sarahdzik @Cleavon_MD @Iamgoingtosleep @DvsBlack @linseymarr @danaparish @Poppendieck @lisacng @megansims22 @busycactus @Don_Milton @akm5376 @j_g_allen @CorsIAQ @Rachel_E_OBrien @CDCDirector @jessica_bassett @medpie1 @CDCgov @CarlosdelRio7 @dylanhmorris @shikgupta @SteinmanRuth @AlbanyMed @HealthNYGov @CovidCourage @nynurses @nynursesunited @AnuAnandaraja @nynurses knows, they posted the photo of the “decontaminated” N-95s @AlbanyMed gives us.  RNs have no say about PPE.  While @AlbanyMed calls us nurses “Heroes” in public, they make us wear “decontaminated” N-95s in private, or no N-95 at all.  They endanger RNs, &amp; our patients!"
1,Mon Oct 26 06:36:25 +0000 2020,"@UniversalMaski2 @sarahdzik @Cleavon_MD @nynursesunited @Iamgoingtosleep @DvsBlack @linseymarr @danaparish @Poppendieck @lisacng @megansims22 @noellejt @DrKatrin_Rabiei @CathNoakes @mvankerkhove @DrTedros @DrMikeRyan @SCBriand @doctorsoumya @gabbystern @davidnabarro @KoenSwinkels @busycactus @Don_Milton @akm5376 @j_g_allen @CorsIAQ @SherriDouville @Rachel_E_OBrien @CDCDirector @JeromeAdamsMD @jessica_bassett @medpie1 @CDCgov @venessb @CarlosdelRio7 @dylanhmorris @shikgupta @GosiaGasperoPhD @epireport @AnuAnandaraja @SprkJoy4BtrDays @sarasegovia @SteinmanRuth @AlbanyMed @HealthNYGov @nynurses @CovidCourage @AlbanyMed does NOT provide an N-95 mask to RNs caring for COVID patients, unless in a “highly aerosolizing” situation (intubation, extubation, bi-pap, suctioning, ventilated or Hi-Flo O2).  
@AlbanyMed sez “no aerosols” with shouting, coughing, or projectile vomiting patients!🤯"
2,Mon Oct 26 03:55:13 +0000 2020,"@JoanDetz @AlbanyMed Sadly, what's driving the disgraceful lack of safety at @AlbanyMed is that Albany Medical Center CEO Dr. Dennis McKenna is committed to having @AlbanyMed pay @PaulVandenburgh of @TALK1300 to broadcast that it's 'okay to remove your mask' because COVID-19 'is merely a bad cold.'"
3,Sun Oct 25 12:03:28 +0000 2020,"@FrugalPhysician @AlbanyMed This is great news.  We all think so long and hard about our allocations to 401ks, IRAs, 529s, BTC, HSA etc... but those instruments are just a means to and end to maximize our time with loved ones ...this is what it is all about at the end of the day🙏.  @WCInvestor"
4,Sat Oct 24 16:31:23 +0000 2020,@sarahdzik @rouxbee1 @Cleavon_MD @nynursesunited @Iamgoingtosleep @DvsBlack @linseymarr @danaparish @Poppendieck @lisacng @megansims22 @noellejt @DrKatrin_Rabiei @CathNoakes @mvankerkhove @DrTedros @DrMikeRyan @SCBriand @doctorsoumya @gabbystern @davidnabarro @KoenSwinkels @busycactus @Don_Milton @akm5376 @j_g_allen @CorsIAQ @SherriDouville @Rachel_E_OBrien @CDCDirector @JeromeAdamsMD @jessica_bassett @medpie1 @CDCgov @venessb @CarlosdelRio7 @dylanhmorris @shikgupta @GosiaGasperoPhD @epireport @AnuAnandaraja @SprkJoy4BtrDays @sarasegovia @SteinmanRuth Is your daughter employed at @AlbanyMed assigned to a COVID patient and not wearing a N95 mask? @HealthNYGov @nynurses @nynursesunited @CovidCourage @rockitwithjbird
5,Fri Oct 23 18:01:32 +0000 2020,@AlbanyMedAnesth @AlbanyMed @SAGES_Updates Thank you for spreading the word!
6,Fri Oct 23 17:59:04 +0000 2020,"@1bonniesher @NYGovCuomo Sadly, Albany Medical Center CEO Dr. Dennis McKenna has @AlbanyMed pay @PaulVandenburgh of @TALK1300 to broadcast that it's okay to 'remove your mask while near others,' 'ignore COVID-19 interstate travel requirements,' spew misinformation about COVID-19 public school policy,..."
7,Thu Oct 22 22:38:14 +0000 2020,RT @KateTubbesing: Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!!…
8,Thu Oct 22 13:07:02 +0000 2020,RT @KateTubbesing: Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!!…
9,Wed Oct 21 15:25:10 +0000 2020,"@LAKauffman @AlbanyMed Sadly, to this day masks are not worn at @AlbanyMed because Albany Medical Center CEO Dr. Dennis McKenna is preoccupied with using @AlbanyMed funds to pay @PaulVandenburgh of @TALK1300 to broadcast the dangerous command to 'take off the mask' because COVID-19 is 'not real.'"
10,Wed Oct 21 10:51:01 +0000 2020,RT @KateTubbesing: Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!!…
11,Wed Oct 21 03:39:18 +0000 2020,RT @KateTubbesing: Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!!…
12,Wed Oct 21 03:39:11 +0000 2020,@KateTubbesing @barrosolab @CapSciNY @AlbanyMed @rpi @ualbany @wadsworthcenter @NeuralStemCells Cc @AlbanyMedDNET @superchiasmatic @real_joecapgras @AG_Charlz who am I missing??
13,Wed Oct 21 03:21:48 +0000 2020,@KateTubbesing @barrosolab @CapSciNY @AlbanyMed @rpi @ualbany @wadsworthcenter @NeuralStemCells Great to see this is still happening! I was part of the capital district post-doc association many moons ago
14,Wed Oct 21 01:42:50 +0000 2020,RT @KateTubbesing: Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!!…
15,Tue Oct 20 23:46:33 +0000 2020,RT @KateTubbesing: Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!!…
16,Tue Oct 20 23:12:12 +0000 2020,Capital district postdoc association has been re-booted!!! We are hosting our first virtual event Friday! So excited!!! If you missed emails- DM me for details and slack page link! #518scientist @CapSciNY @AlbanyMed @rpi @ualbany @wadsworthcenter @NeuralStemCells
17,Tue Oct 20 17:45:18 +0000 2020,RT @Helo_MD: @kvnkoo @kaufman_jr @AlbanyMedUro @MayoUrology @AmerUrological Deja vu for me seeing @RkaufmanJr this morning. He’s an excelle…
18,Mon Oct 19 21:33:32 +0000 2020,@nynurses @NYSCofChurches @AlbanyMed Breaks my heart 💔
19,Mon Oct 19 19:38:04 +0000 2020,@kvnkoo @kaufman_jr @AlbanyMedUro @MayoUrology @AmerUrological Deja vu for me seeing @RkaufmanJr this morning. He’s an excellent clinician in the office who does a great job teaching the nuances of billing to @AlbanyMed residents (myself included). @AlbanyMedUro #SameWayEveryTime @MayoUrology
20,Sat Oct 17 18:22:18 +0000 2020,"@ShruthiPerati @hastingscenter @AlbanyMed ""#Empathy?"" No. Not when Albany Medical Center CEO Dr. Dennis McKenna has @AlbanyMed pay @PaulVandenburgh of @TALK1300 to broadcast, even from within the facility, that African American patients are 'savages,' foreign-born patients are 'invaders' and poor patients are 'lazy.'"
