,created_at,full_text
0,Mon Oct 26 17:52:38 +0000 2020,which one of y'all is making the petition for @AmericanU to give us a spring break???
1,Mon Oct 26 17:43:44 +0000 2020,"@AmericanU My freshman son’s dream school is turning into a nightmare.  Beyond disappointing.  He had other options, but chose AU.  Perhaps that was a mistake."
2,Mon Oct 26 17:22:04 +0000 2020,@BilalAksoyPA @AmericanU Thank you!
3,Mon Oct 26 17:21:51 +0000 2020,@JacobERobbins @AmericanU Yeah it’s still 10%
4,Mon Oct 26 17:17:03 +0000 2020,@AmericanU Will the tuition discount remain the same?
5,Mon Oct 26 17:06:58 +0000 2020,RT @TrinityInfinit2: My school cancelled spring break. Idk how @AmericanU @SylviaBurwell can claim to care about student well being when we…
6,Mon Oct 26 16:35:13 +0000 2020,"@Ryan_Deitsch @AmericanU You're probably right, they should have mandated everyone in America take a gap year. But that would have required a bailout of the entire college system. And there was no will."
7,Mon Oct 26 16:23:46 +0000 2020,RT @BloomfieldTovah: I was left with more questions than answers @AmericanU very disappointed with this communication about Spring 2021 sem…
8,Mon Oct 26 16:23:04 +0000 2020,I was left with more questions than answers @AmericanU very disappointed with this communication about Spring 2021 semester. I genuinely feel as a grad student and an international student that I was left out of the conversation.
9,Mon Oct 26 16:21:09 +0000 2020,@AmericanU @Ryan_Deitsch If you want wanted to protect the health and safety of your “community” you wouldn’t be doubling the number of in person classes. There is no logical reason to cancel spring break if you didn’t cancel thanksgiving. Your plan is trash.
10,Mon Oct 26 16:18:30 +0000 2020,"@AmericanU 
doubling in person classes while canceling sprint beak? In a pandemic?? I mean this from the bottom of my heart......Suck my fucking dick. #americanuniversity"
11,Mon Oct 26 16:17:30 +0000 2020,"@Ryan_Deitsch @AmericanU Be a student of life, Ryan. I have faith that you’ll be able to make it financially through this time, without losing some important #LifeLessons
Help people by caring for your dear self first and always 🧡
Yes, there is a lot to do, but we need to pace ourselves. 
💙🌎🧡🌎💚🌎💙"
12,Mon Oct 26 16:11:46 +0000 2020,@AmericanU So many practices to learn from good (BU) and no so good. Let’s get going on asymptotic testing now and pilot it. You have students in and around campus.
13,Mon Oct 26 16:11:34 +0000 2020,@AmericanU sharing such a “comprehensive plan” for spring should require you to tell us how break days will be given. This blanket “promise” that breaks will be given throughout the semester is irresponsible. Students should feel empowered to make informed decisions.
14,Mon Oct 26 16:09:04 +0000 2020,@AmericanU There has been no new DHS guidelines in MONTHS and it would simply not go into effect until the start of the second semester. You should make a plan to let international come regardless.
15,Mon Oct 26 16:03:51 +0000 2020,@erinw_crim @AmericanU Are we talking about expanding mental health resources so you don't have to physically be located in DC to access them?
16,Mon Oct 26 16:03:43 +0000 2020,"@AmericanU This is stupid. You guys are trying to be innovative but ultimately will have to cancel the semester last minute, screwing over swaths of students, because you’re reaching with this. Aren’t you grown professionals? Why can’t you learn from your mistakes?"
17,Mon Oct 26 16:02:23 +0000 2020,"@thekatkendall @MembershipFirst to Jonathan Schaech actors are supposed to have ""sex"" appeal.  Really?  Is acting porn or an art form? I trained to be an actor. I'm an INFP so psychologically I'm a natural actor. I'm not here to be an object to fuck.  @AmericanU @McDanielCollege"
18,Mon Oct 26 15:59:15 +0000 2020,It’s unbelievable that I am trying to pay off my @AmericanU loan in FULL and they make it so incredibly difficult to obtain a simple balance sheet or invoice to do so. I thought considering the desperate need for money they would be thrilled to see a graduate pay them back...
