,created_at,full_text
0,Sun Oct 25 13:50:23 +0000 2020,When I was an undergrad at @UMassAmherst I had the very great privilege of attending a seminar at @AmherstCollege where I heard Dr. Gerald Fink give a game-changing lecture on the importance of GMOs. (1/2)
1,Fri Oct 23 13:31:03 +0000 2020,@RagkousiK @AmherstCollege @the_Node @___SDB___ Thank you for having me!
2,Fri Oct 23 13:30:09 +0000 2020,"We were fortunate to have @RogersLabUCD visit our remote Dev Bio @AmherstCollege  yesterday.

Thank you Prof. Rogers for the beautiful science, your perspective and advice for the future. Dev Bio field is lucky to have you!

@the_Node @___SDB___"
3,Fri Oct 23 00:12:35 +0000 2020,@AmherstCollege No mask!
4,Thu Oct 22 22:27:14 +0000 2020,@AmherstCollege Can't be visitors from @BowdoinCollege - wrong color.
5,Thu Oct 22 21:29:24 +0000 2020,@AmherstCollege Just be glad it wasn't a Mammoth.
6,Thu Oct 22 20:20:25 +0000 2020,"Looking forward to zooming into @ElProfeBarba's class today at @AmherstCollege on American Religious Traditions. Today we'll be discussing pieces from @smerconish and @RDispatches that explore the complex relationship between evangelicalism, conservatism, and American public life"
7,Wed Oct 21 17:50:57 +0000 2020,@AmherstCollege @DailyHampGaz Maybe Amherst should stop giving platforms to rape culture-denying speakers like George Will and Bret Stephens.
8,Wed Oct 21 02:29:50 +0000 2020,"@jeff12365848 @garyirelandesq @SydneyBIreland @AmherstCollege Also, maybe you would have more than zero followers if you treated the other half of the population the same as yours. Sad for you sir."
9,Wed Oct 21 02:28:39 +0000 2020,@jeff12365848 @garyirelandesq @SydneyBIreland @AmherstCollege Called the Scouts everywhere else on this earth. Only the US makes it a sexist club. Why? Girls can do everything that is done in scouting. Saying it is a BOYS only program means our daughters aren't treated fairly. Why shouldn't they have the bragging rights of an Eagle?
10,Tue Oct 20 21:39:58 +0000 2020,"omg John Kasich is the worst please don't... see, @AmherstCollege, this is what happens when you host, pay, and legitimize a climate science-denying, anti-choice homophobe."
11,Tue Oct 20 13:00:00 +0000 2020,"Today: 

LI students applying for colleges are facing unprecedented challenges. Our next @Newsday virtual event features @lanefiller talking to experts from @AmherstCollege, @HofstraU, @stonybrooku and @SyracuseU about how to cope, the application process and more. Sign up!"
12,Tue Oct 20 11:00:54 +0000 2020,"RT @ChrisCatoya: 6/ He founded and led one of the earliest chapters of the @ACLU in Northern California, served as Dean at @BrownUniversity…"
13,Tue Oct 20 02:24:26 +0000 2020,"@aaronecarroll @AmherstCollege thanks Aaron, trying to keep to the high standards of our room group"
14,Tue Oct 20 00:14:29 +0000 2020,@_OmQu @goleylab @triniscienceman @AmherstCollege Omar--this is such a remarkable reminder that there is great science out there by Black scientists--thanks so much for doing this!
15,Mon Oct 19 23:24:30 +0000 2020,@aaronecarroll @AmherstCollege Oh now it all makes sense. I’m swarthmore 94 -
16,Mon Oct 19 18:25:08 +0000 2020,@_OmQu @triniscienceman @AmherstCollege Bravo all. (I’m an @AmherstCollege alum) Thx @_OmQu for invitation
17,Mon Oct 19 18:17:50 +0000 2020,RT @NewsdayOpinion: Tomorrow: LI students applying for colleges are facing unprecedented challenges. Our next @Newsday virtual event featur…
18,Mon Oct 19 18:09:01 +0000 2020,RT @NewsdayOpinion: Tomorrow: LI students applying for colleges are facing unprecedented challenges. Our next @Newsday virtual event featur…
19,Mon Oct 19 17:18:21 +0000 2020,"Tomorrow: LI students applying for colleges are facing unprecedented challenges. Our next @Newsday virtual event features @lanefiller talking to experts from @AmherstCollege, @HofstraU, @stonybrooku and @SyracuseU about how to cope, the application process and more. Sign up!"
20,Mon Oct 19 15:44:24 +0000 2020,@aaronecarroll @AmherstCollege New England Small College Altruism Conference
21,Sat Oct 17 18:02:14 +0000 2020,@MindyForMA @AmherstCollege @hampshirecolg Wow Hampshire College has had NO cases! Great job!
