,created_at,full_text
0,Mon Oct 26 17:22:41 +0000 2020,@CharleyBelcher @AppState_FB @appstatesports @YOSEFCLUB @AppAlumni @appstate I am so jealous! I've  been wanting to get back to wv every since I found out I have family ties up there.
1,Sun Oct 25 17:47:38 +0000 2020,@Sub2ChristTrump @CalforNC @UNC @appstate Evidence is in the actions. He is never alone with another woman. He is courteous to others. He controls his anger. He is successful in his chosen field. He does not use profanity. He is a man present in his children’s lives. The main is that he is trying to make lives better.
2,Sun Oct 25 16:30:54 +0000 2020,"@daybrea35152575 @CalforNC @UNC @appstate Give me real actions done by him that can be looked up to, not imposed ones that you're assuming."
3,Sun Oct 25 16:22:36 +0000 2020,"@daybrea35152575 @CalforNC @UNC @appstate That's not tangible evidence for any young person to grasp when looking for a role model. Thanks for your input, but I'm going to have to disagree."
4,Sun Oct 25 10:50:25 +0000 2020,@Sub2ChristTrump @CalforNC @UNC @appstate He is a sinner saved by God’s grace is obvious.
5,Sun Oct 25 03:28:33 +0000 2020,@daybrea35152575 @CalforNC @UNC @appstate Can I ask what exactly you see in him that you consider role model status? Genuinely curious and would love to hear your view.
6,Sat Oct 24 23:28:55 +0000 2020,@Sub2ChristTrump @CalforNC @UNC @appstate As a matter of fact the only politician I would consider being worthy of role model status is VP Mike Pence. The rest have the morals of stray dogs and alley cats. Cal Cunningham included.
7,Sat Oct 24 23:04:48 +0000 2020,RT @CarlosLecturer: Since a lot of Media executives look at social media accounts to hire students. I suggest you upload your package to yo…
8,Sat Oct 24 22:47:36 +0000 2020,"@CharleyBelcher @AppState_FB @appstatesports @AppAlumni @appstate @LindsayBelcher Glad to hear that you made it on time. What a game! Oh, and just to let you know. Never heard of App. State until I saw you talk about them on your morning special. Now I'm hooked."
9,Sat Oct 24 17:37:05 +0000 2020,"@Sub2ChristTrump @CalforNC @UNC @appstate Joel maybe you're not familiar with election process in the US so I will enlighten you

In the US every we elect 2 senators for each state for a 6 year term

Cal is running for a US senate seat for the state of NC

The President TRump is running for US president"
10,Sat Oct 24 17:11:37 +0000 2020,Since a lot of Media executives look at social media accounts to hire students. I suggest you upload your package to your social media account @AppWeeklyNews @appstate @TheAppalachian @WASU_RADIO
11,Sat Oct 24 16:56:26 +0000 2020,@CharleyBelcher @AppState_FB @appstatesports @YOSEFCLUB @AppAlumni @appstate @LindsayBelcher Cool beans!
12,Sat Oct 24 16:41:57 +0000 2020,@rileycurtisj @isaacw_74 @appstate @NeersBarstool @ExploreBoone @BRCmagazine @BlueRidgeNPS @VisitNC @FOX46News @ourstatemag So gorgeous
13,Sat Oct 24 15:53:01 +0000 2020,@why_twit @CalforNC @UNC @appstate Let's talk about Trump and his sexual assault charges...
14,Sat Oct 24 15:52:05 +0000 2020,"@daybrea35152575 @CalforNC @UNC @appstate You realize no young people look up to local politicians as role models right? If they were, it's going to be the president. If they're looking up to Mr. President as a moral compass, they're already screwed."
15,Sat Oct 24 13:35:21 +0000 2020,@WayneGoodwinNC @Waynesville5247 @asheville @AFFA332 @appstate Where's Waldo?
16,Sat Oct 24 12:30:49 +0000 2020,@appstatepolice @wallin1973 @appstate #Rocking the pink unis!
17,Sat Oct 24 12:25:45 +0000 2020,@CalforNC @UNC @appstate Seems like we forget the young people can unite and be interested. I know their coalition will bring sanity back.
18,Sat Oct 24 00:49:15 +0000 2020,@CharleyBelcher @AppState_FB @appstatesports @AppAlumni @appstate @LindsayBelcher Wonderful picture of you both 😊💛🖤👏🙌🏻 #GoApps
19,Sat Oct 24 00:48:39 +0000 2020,@CharleyBelcher @AppState_FB @appstatesports @AppAlumni @appstate @LindsayBelcher Congratulations Apps 😊💛🖤👏🙌🏻 #GoApps
20,Fri Oct 23 21:50:27 +0000 2020,@CalforNC @UNC @appstate Big roll in this erection...
21,Fri Oct 23 21:32:14 +0000 2020,@CalforNC @UNC @appstate Please vote. Vote early.
22,Fri Oct 23 21:00:24 +0000 2020,"@AppChancellor @appstate As a member of Appalachian State I was very appreciative of the drive-through flu clinic! It was sponsored by Health Promotions for Faculty and Staff, with support from Student Heath Services and our local public health departments who supplied the nurses."
23,Fri Oct 23 20:08:58 +0000 2020,@LilaMar05801247 @DelanaV @CalforNC @UNC @appstate Surprised ol' Cummingham didn't pull a #Toobin
24,Fri Oct 23 20:07:08 +0000 2020,@CalforNC @UNC @appstate The guy met with disabled paralyzed veterans who served under him and then banged their wives... Forget the state’s future. We are more worried about what’s been in YOUR hands
25,Fri Oct 23 19:53:34 +0000 2020,"@CalforNC @CollegeDemsNC @UNC @appstate Vote blue to create a blue wave/tsunami so massive that it will be impossible to overcome. Your vote WILL matter, and it will determine the fate of your life, this country, and even the entire world. DO NOT REFUSE TO VOTE DURING THIS MOST IMPORTANT ELECTION IN U.S. HISTORY!"
26,Fri Oct 23 19:53:27 +0000 2020,"@CalforNC @CollegeDemsNC @UNC @appstate For in-person voting:

1. Assume that waiting in line all day is required. Bring water, snacks, personal entertainment, and perhaps a chair.

2. See if there are multiple voting locations. If so, find out which has the shortest line.

3. Report voter intimidation to the police."
27,Fri Oct 23 19:53:19 +0000 2020,"@CalforNC @CollegeDemsNC @UNC @appstate When voting:

1. Follow ALL instructions VERY CAREFULLY!

2. Vote for EVERY OFFICE, not just the president.

3. TRIPLE-CHECK that you did all steps and filled out your choices.

4. If possible, CONFIRM that your vote is received and counted."
