,created_at,full_text
0,Mon Oct 26 17:31:20 +0000 2020,@Sal_DiCiccio @ASU @michaelcrow @salmoncongress @michaelcrow  needs to step down or FIRE him!! He is a disgrace to ASU
1,Mon Oct 26 17:13:13 +0000 2020,@Sal_DiCiccio @ASU @michaelcrow @salmoncongress Is it me or does this make no sense?
2,Mon Oct 26 17:07:58 +0000 2020,@Sal_DiCiccio @ASU @michaelcrow @salmoncongress It’s way past time for @michaelcrow to step down.  He has allowed a very toxic environment to invade what was once a great university.
3,Mon Oct 26 16:48:50 +0000 2020,"@Sal_DiCiccio @ASU @michaelcrow @salmoncongress @ASU @michaelcrow @kristingilger   What a mess!  I’m totally behind @RaeLeeKlein  and @sonyaduhe    @ASU had no reason to to do what they did to these women!  Thanks for backing them along with so many others!  2 wonderful, extremely smart women!!"
4,Mon Oct 26 16:28:00 +0000 2020,"How did we get inspired to work w/ @AccessASU to get immersive in @VirBELA1 for #2021 @ASU Social Embeddedness Network Conference?

Our friends at @ASU_UTO, of course!

Read more: https://t.co/lGu6mX2ShV

Conference details to come very soon! https://t.co/7FdQN6U1Z3"
5,Mon Oct 26 12:55:59 +0000 2020,RT @devex: ASU and Devex are calling on university students around the globe to compete in our hackathon and create solutions to 5 real-wor…
6,Mon Oct 26 12:45:18 +0000 2020,RT @devex: ASU and Devex are calling on university students around the globe to compete in our hackathon and create solutions to 5 real-wor…
7,Mon Oct 26 04:16:16 +0000 2020,"RT @shardulgo: CARDINALS WIN 
CARDINALS WIN 🙌🏾

Game winning FG FROM @ASU ALUM ZANE GONZALEZ. 

LETS GO @AZCardinals"
8,Mon Oct 26 04:15:21 +0000 2020,"CARDINALS WIN 
CARDINALS WIN 🙌🏾

Game winning FG FROM @ASU ALUM ZANE GONZALEZ. 

LETS GO @AZCardinals"
9,Mon Oct 26 03:42:14 +0000 2020,"@statepress @ASU needs to open up for in-person learning. Stop the nonsense. They are doing more damage than good. 

My freshman daughter HATES online learning. She didn’t enroll in an online degree! 

Good luck to ASU in recruiting new students."
10,Mon Oct 26 01:41:37 +0000 2020,@ASUBiodesign @AZDHS @CityofFlagstaff @NAU @CityofPhoenixAZ @Tempegov @cityoftucson @GlendaleAZ @9thFloorAZ @ASU @ASUResearch @dougducey Are you guys working in conjunction with Halberd Corporation?
11,Mon Oct 26 01:10:42 +0000 2020,"@ASU Hello America Joe Biden will vote like a Democrat to ,-defund the police,-increase government regulation which destroys American jobs &amp; American industry!!
Protect your family THINK!! ,,
 Vote 100% Republican!!!"
12,Sun Oct 25 22:57:15 +0000 2020,@MelissaPicarie3 @sunshineroses12 @IngrahamAngle @POTUS because solar DC dose not deliver the needed wattage like AC dose theres also no way to store all the energy they tried this at @ASU main campus in tempe wind turbines to solar pannels on buildings parking structures the campus experinced blackouts and brownouts
13,Sun Oct 25 22:11:02 +0000 2020,@ASU Fallen &amp; captured soldiers are national teasures and to be honored they are not losers! Remember TOO the sustained mockery even to physcially imitating his ailing physical movements &amp; shuffling the sick evil cowardly scum Trump did to mock John McCain VOTE BIDEN
14,Sun Oct 25 21:09:02 +0000 2020,@imxvi @mike_sell This is what I feel about @ASU. I should have gone to @uarizona.
15,Sun Oct 25 19:01:55 +0000 2020,@ASU time for Trump to go! Vote BIDEN! Before Trump kills us all!
16,Sun Oct 25 18:39:05 +0000 2020,@ASU @ASUEngineering @klaus_lackner @statepress Very interesting 🤔
17,Sun Oct 25 16:54:51 +0000 2020,@ChiefMoir @TempePolice @davidlitt @COPSOffice It was a pleasure meeting you at the @ASU conference on policing in Feb. and even more so touring your PD and learning how evidence-based policing is being integrated under your leadership.  Thanks for your vision; policing loves you too!
18,Sun Oct 25 15:28:46 +0000 2020,@Kid_Cuda90 @APlayersProgram @ASU It’s ridiculous. They may have some decent guards but no bigs.
19,Sun Oct 25 09:29:55 +0000 2020,"@sleepnumber OF AGRICULTURE, MC AG WDUAL JIOINT VENTURE WITH  ASU &amp; UA AG EXTENSION STRICT RESEARCH FOR COTTON BOLL RESIST &amp; LONGEST AVG FIBER WITH MAX YIELD DROUGHT READY. 
Repubs kill everything they touch &amp; give away the rest then torch the chaff
@USDA @FCC @ASU @uazresearch
#Evangelicals"
20,Sun Oct 25 06:30:28 +0000 2020,"@nmsu @ASU @wyo_football 
I'm sure u guys like science."
21,Sun Oct 25 06:22:47 +0000 2020,"@Bryson_Hoier34 came up huge again tonight with a 2 run triple, he continues to smash the baseball. @HawaiiBaseball @CBUbaseball @USC_Baseball @ASU @BeaverBaseball @OregonBaseball @ArizonaBaseball @UCLABaseball"
22,Sun Oct 25 02:05:13 +0000 2020,"@ASU @asunews I’m just curious, honestly how did they wear those long dresses like that in the middle of August? 🥵 Lol"
23,Sat Oct 24 23:23:52 +0000 2020,@Nifemi_Air @collegefilm @ASU Thank you!!!
24,Sat Oct 24 20:49:37 +0000 2020,@matapuna1212 @SSI_Movement @IvankaTrump @ASU Arizona State university supports apartheid and occupation. Boycott #ASU @Mondoweiss @BDSmovement #BDS
25,Sat Oct 24 19:30:23 +0000 2020,@frostycwo @danielmkim @ASU You spelled football wrong.
26,Sat Oct 24 16:21:30 +0000 2020,"RT @innovation_co_: Today at #ThinkBigFestival: AI &amp; The Human Body 

How humans are using tech to change the way we experience the world.…"
27,Sat Oct 24 16:17:06 +0000 2020,"Today at #ThinkBigFestival: AI &amp; The Human Body 

How humans are using tech to change the way we experience the world. #AI 

Panelists: @Katerina_Axel (@TastryAI), @yuchenping (@PhiarUp), Brian Smith (@ASU), Randall Wilkinson (Wilkinson Baking Company)"
28,Sat Oct 24 16:13:27 +0000 2020,@ginblossoms @ASU I'll be watching.  :)
29,Sat Oct 24 15:41:42 +0000 2020,Still reeling from the loss of James Randi earlier this week. In 2012 he visited @ASU to speak to my Psychology of Magic students. Video from that meeting has never been seen publicly. I am currently working to convert it so that I can share it in the next few days. Stay tuned!
30,Sat Oct 24 15:01:53 +0000 2020,@cheasterkiller @CaptMarkKelly @SenMcSallyAZ @ASU @northropgrumman @GlendaleFire @PhoenixPolice @tucsontechie @RaytheonTech @NASA @ArizonaRetinaMD @Fort_Huachuca Now do trump.
31,Sat Oct 24 14:50:16 +0000 2020,@Sal_DiCiccio @Cronkite_ASU @ASU @michaelcrow Would you please consider boycotting all media outlets? The less we hear from you the better.
32,Sat Oct 24 14:48:26 +0000 2020,"The fact that @APlayersProgram got picked to finished 8th in conference is a complete joke.....

I think y’all got us confused with @ASU ......

Banners will tell you the real story... 

#BearDown"
33,Sat Oct 24 13:47:28 +0000 2020,@AzHealthLiving @ASU @GlobalSportASU Thank you 😊🌟
34,Sat Oct 24 04:37:25 +0000 2020,“Eurovision Song Contest: The Story of Fire Saga.”  Classic @netflix movie with some sneaky @ASU in it!  Enjoy.
35,Sat Oct 24 02:57:08 +0000 2020,"@CaptMarkKelly @ASU Thx to President Trump who asked the famous Taiwan semiconductor company TSMC  to Arizona, which will create so many high pay jobs to your state."
36,Sat Oct 24 02:16:44 +0000 2020,@CaptMarkKelly @ASU We need jobs for 2 and 4 year college graduates. Thank you for your continued service to our country.
37,Sat Oct 24 01:27:19 +0000 2020,@ASU Do students get a discount for fan cutouts?
38,Sat Oct 24 00:48:33 +0000 2020,@ASU Affected by COVID? Out of work and trying to find part-time/full-time? Even unsure of how to becoming debt free? Or where to save for future catastrophes? Send a DM and I can help! 😇 #FinancialFreedom #financialplanning #BePrepared
39,Sat Oct 24 00:26:18 +0000 2020,@SenatorSinema @ASU There's only one way to develop antibodies.
40,Sat Oct 24 00:17:20 +0000 2020,"@CaptMarkKelly @ASU Social security and libraries would be labeled “socialist” under modern day Republicans... And we need background checks on guns, end “right to work” jobs, require employers to give 2 weeks notice before firing someone... Voted Mark Kelly 👍"
41,Fri Oct 23 23:39:34 +0000 2020,@ginblossoms @ASU you guys rock! 🤘
42,Fri Oct 23 23:08:28 +0000 2020,@CaptMarkKelly @ASU You look like a total perv
43,Fri Oct 23 22:44:04 +0000 2020,@ASUStudentLife @ASU @ASUPAB @charlieputh @RemindMe_OfThis in 3 hours
44,Fri Oct 23 22:36:25 +0000 2020,"@ginblossoms @ASU You guys are the best, I am going through live GB withdrawals big time."
45,Fri Oct 23 22:06:35 +0000 2020,"@colleen2301 @CaptMarkKelly @ASU As far as I see the Republicans don't know how to manage the public health crisis.
Look at their mask usage recommendations."
46,Fri Oct 23 22:05:54 +0000 2020,@ginblossoms @ASU Can’t wait!  Thank you!  💖
47,Fri Oct 23 21:45:59 +0000 2020,@SenatorSinema @ASU These people are nuts. Live your life. Resist these trash restrictions. If you are sick stay home. Nearly everyone will be just fine.
