,created_at,full_text
0,Mon Oct 26 18:14:17 +0000 2020,@astrotoya @AuburnU is this and ice cube 😭
1,Mon Oct 26 11:40:04 +0000 2020,"The #WhitefieldCollegeCounseling team is connecting our students with @UofArizona, @Vstatenews, @AuburnU, and @wjcollege this week! As college visits wrap up, our students have met with representatives from 75+ colleges and universities. #AlwaysWhitefield #ForCollegeAndLife"
2,Mon Oct 26 03:16:09 +0000 2020,@DamonKB54 @stew_boss @DougJones @UofAlabama @AuburnU Yes. We know.
3,Sun Oct 25 22:36:12 +0000 2020,"I hate to tell @Patriots , replacing an @AuburnU QB with an @AuburnU QB, won't fix your problem.  #Patriots #SFvsNE #NFL #Patriots"
4,Sun Oct 25 22:31:38 +0000 2020,Fuck @AuburnU lol just bc im not an athlete I can’t go to the ONE DINING HALL on campus for breakfast or dinner? I PAY $15000 TO GO TO SCHOOL HERE TOO. Thx for NOT valuing your students✌🏼
5,Sun Oct 25 14:43:43 +0000 2020,@michelleCbush Your enthusiasm for @AuburnFootball is appreciated by REAL Auburn Family. And I would ALWAYS be proud of a son who's bettering himself and making it happen at a school as good as @AuburnU! I admire you. #WDE
6,Sun Oct 25 12:30:07 +0000 2020,"@DustinoTheGreat @SECOfficiating Is it time for @RazorbackFB and @OleMissFB to form @SECOfficiating #VictimSupportGroup? Hey #SECFootballSchools, we’ll leave room for you! (And maybe it’s time for the #NCAA to look into that @AuburnU Officiating Football Degree Program!) #ItJustMeansMore"
7,Sun Oct 25 05:44:37 +0000 2020,"on #LudwigvonMises and coincidentally enough, happen to  also move to #Auburn to attend @AuburnU and see @mises, making the connection and sense to make a google search to learn more.."
8,Sat Oct 24 19:54:54 +0000 2020,@jbrantley @AuburnU @AuburnFootball @AubietheTiger01 Well done!
9,Sat Oct 24 19:20:50 +0000 2020,@AuburnU I got $200 on Gus buyout today!!! I’m sure other students feel the same
10,Sat Oct 24 19:07:29 +0000 2020,@SECOfficiating_ you are kidding me???  Didn’t even review that?  Whose kid in the @SEC office attends @AuburnU 🙄 #WPS #HottyToddy this one should have been over too and wasn’t even reviewed???
11,Sat Oct 24 16:29:48 +0000 2020,@_liljayyg @AuburnU @AuburnFootball says the guy who sits in the backseat and takes selfies 😴
12,Sat Oct 24 16:28:44 +0000 2020,BO NIX IS GARBAGE @AuburnU @AuburnFootball
13,Sat Oct 24 14:34:34 +0000 2020,@cosamau @auphysics @AuburnU @Space_Station Can you repost this and tag @AuburnPhysics? The other link is an old one that we don't use anymore.
14,Fri Oct 23 22:21:07 +0000 2020,"@michelleCbush @AuburnU @bretholmes_2 He's very talented and I hope it does allow him to rise up the ranks. But the days of being an ARCA lifer are over, and it would be a major shame if he can't make it any further."
15,Fri Oct 23 21:52:56 +0000 2020,"@TylerMBarth1 @AuburnU @bretholmes_2 Man, what a negative spin. 

Driving (and particularly winning) in ARCA will help get him to the higher levels of auto sports. 

A nice, “congrats” would’ve sufficed."
16,Fri Oct 23 21:09:21 +0000 2020,@AuburnU That’s a sweet helmet!
17,Fri Oct 23 03:54:34 +0000 2020,@AuburnU @octaviaspencer @AuburnUPC @henry_p2312 tell@me@you are going!?! She’s a total queen. War Eagle!
18,Fri Oct 23 03:17:14 +0000 2020,@AGreeneIV @octaviaspencer @AuburnU Fans has lost enthusiasm.#firegus
19,Fri Oct 23 02:53:57 +0000 2020,NAME A BUILDING ON THE @AuburnU CAMPUS FOR OCTAVIA SPENCER 🧡💙
20,Fri Oct 23 02:47:46 +0000 2020,@Ermanmd @AuburnU War Eagle!!! Great school!!
21,Fri Oct 23 02:07:07 +0000 2020,@AGreeneIV @octaviaspencer @AuburnU YOU’RE SO INCREDIBLY AUSOME OCTAVIA! THE BEST OF THEM! 💙🧡💙🧡🦅
22,Fri Oct 23 00:42:30 +0000 2020,@AGreeneIV @octaviaspencer @AuburnU The family thing is not just a cliche. #WarEagle
23,Thu Oct 22 21:27:49 +0000 2020,@AuburnU @octaviaspencer @AuburnUPC War Eagle @octaviaspencer !!!!!!
24,Thu Oct 22 21:27:10 +0000 2020,"@AGreeneIV @octaviaspencer @AuburnU I love @octaviaspencer !  Great actress.  Great human being.  War Eagle, Octavia!"
25,Thu Oct 22 21:13:32 +0000 2020,@maddieemiller @AuburnU Such a great tip. Ric Smith has always been extremely helpful. The advisors are always there as a great resource as well. #Sisson3280
26,Thu Oct 22 20:16:45 +0000 2020,@RepMikeRogersAL @AuburnU Grest job
27,Thu Oct 22 20:15:57 +0000 2020,@AuburnU @octaviaspencer @AuburnUPC Wow!  This is great.
28,Thu Oct 22 19:10:34 +0000 2020,@RepMikeRogersAL @AuburnAg @AuburnU Ty for your service
29,Thu Oct 22 16:21:41 +0000 2020,@RepMikeRogersAL @AuburnU Does he know what a COWARD you are?!?
30,Thu Oct 22 14:53:57 +0000 2020,@AuburnU @octaviaspencer @AuburnUPC Very kind gesture. War Eagle!
31,Thu Oct 22 14:32:17 +0000 2020,@AuburnU @octaviaspencer @AuburnUPC Please clap
32,Thu Oct 22 14:21:56 +0000 2020,"@RepMikeRogersAL @AuburnAg @AuburnU Is it how to apply for a bailout, how to declare bankruptcy, or how to sell your family farm to a corporation because of Trump's tariffs?"
33,Thu Oct 22 13:21:56 +0000 2020,"@astrotoya @AuburnU Dear Daughter graduates too in the same term in the same academic field &amp; she's told me she's taking a gap year to travel the world before starting grad school. (She's also on course to graduate with high honours.)
I endorse &amp; support both y'all in whatever you decide or land."
34,Thu Oct 22 13:19:22 +0000 2020,@Amys_theWise_1 @AuburnU I’m not sure yet. I honestly need some time to think about grad school because undergrad is kicking my ass😂
