,created_at,full_text
0,Sun Oct 25 16:53:22 +0000 2020,"RT @babson: To help celebrate the first-ever #BlackEntrepreneursDay today (thank you @TheSharkDaymond!), we're sharing some of our Black en…"
1,Sun Oct 25 15:54:15 +0000 2020,"RT @babson: To help celebrate the first-ever #BlackEntrepreneursDay today (thank you @TheSharkDaymond!), we're sharing some of our Black en…"
2,Sat Oct 24 14:02:46 +0000 2020,"RT @babson: To help celebrate the first-ever #BlackEntrepreneursDay today (thank you @TheSharkDaymond!), we're sharing some of our Black en…"
3,Sat Oct 24 11:16:30 +0000 2020,"@InnoLead @KPMG @HighlineBETA @planbox @PA_Consulting @hypeinnovation @edison_365 @WazokuHq @GIANTInnovate @startgridco @babson @CooperPerkins @HackworksInc @TheInovoGroup Due to unavoidable circumstances, couldn't attend it. 😐"
4,Sat Oct 24 09:54:32 +0000 2020,"@InnoLead @KPMG @HighlineBETA @planbox @PA_Consulting @hypeinnovation @edison_365 @WazokuHq @GIANTInnovate @startgridco @babson @CooperPerkins @HackworksInc @TheInovoGroup Learned much, enjoyed the breakouts. Rejuvinated by data!"
5,Fri Oct 23 21:39:32 +0000 2020,@InnoLead @KPMG @planbox @PA_Consulting @hypeinnovation @edison_365 @WazokuHq @GIANTInnovate @startgridco @babson @CooperPerkins @HackworksInc @TheInovoGroup Happy to support!
6,Fri Oct 23 16:26:55 +0000 2020,"RT @JPAM_DC: We are happy to announce the winners of JPAM’s annual “Excellence in Refereeing Awards”: @ericwchan @babson, @ Amy Farrell @NU…"
7,Fri Oct 23 16:17:37 +0000 2020,"RT @JPAM_DC: We are happy to announce the winners of JPAM’s annual “Excellence in Refereeing Awards”: @ericwchan @babson, @ Amy Farrell @NU…"
8,Fri Oct 23 16:16:39 +0000 2020,@JPAM_DC @ericwchan @babson @NU_SCCJ @jenniheissel @NPS_Monterey Congrats! It means a lot to have helpful referees!
9,Fri Oct 23 16:07:16 +0000 2020,"@JPAM_DC @ericwchan @babson @NU_SCCJ @jenniheissel @NPS_Monterey Congrats winners!

As a person who is trying to do a good job refereeing but never really knowing for sure if I am, I was curious if you have tip or two that you think could improve referee reports? (totally understand if not or if ""tips"" don't translate well for refereeing)"
10,Fri Oct 23 15:54:15 +0000 2020,"RT @JPAM_DC: We are happy to announce the winners of JPAM’s annual “Excellence in Refereeing Awards”: @ericwchan @babson, @ Amy Farrell @NU…"
11,Fri Oct 23 15:45:00 +0000 2020,"RT @JPAM_DC: We are happy to announce the winners of JPAM’s annual “Excellence in Refereeing Awards”: @ericwchan @babson, @ Amy Farrell @NU…"
12,Fri Oct 23 15:35:51 +0000 2020,"We are happy to announce the winners of JPAM’s annual “Excellence in Refereeing Awards”: @ericwchan @babson, @ Amy Farrell @NU_SCCJ, @jenniheissel @NPS_Monterey. Each winner will be awarded with a $500 cash prize and receive a letter of commendation from the journal."
13,Fri Oct 23 00:00:46 +0000 2020,@bmuehlmann @FinancialTimes @babson Any thoughts on whether Disney will retain a significant portion of its subscribers after the Verizon free period ends?
14,Thu Oct 22 22:35:40 +0000 2020,@m_ratsim @JFPuget @nvidia @BU_Tweets @babson LOL. Thanks. Hi @bu_tweets and @babson. Actually that wasn’t what I was referring too.
15,Thu Oct 22 22:21:31 +0000 2020,"@judah @the_engi_nerd @JFPuget @nvidia Lovely, when you can't use facts i.e. showing your Kaggle team/profile or code you resort to ad hominem.

And you're a teacher at @BU_Tweets @babson 

“If the facts are against you, argue the law. [...] If the law and the facts are against you, pound the table and yell like hell”"
16,Thu Oct 22 22:12:44 +0000 2020,"@judah @JFPuget @nvidia ""I will show you if you buy"" is plain intimidation tactics. Quoting you is bullying you? @BU_Tweets @babson Judah is apparently among your faculty, are you fine with faculty using intimidation to market their product instead of proving themselves? Kaggle is public, comp/team?"
17,Thu Oct 22 22:06:35 +0000 2020,"@lanitraberger @babson @babson_ose @NAFSA Thank you, @lanitraberger! We discussed your presentation today and how it can inform our work @babson"
18,Thu Oct 22 18:35:07 +0000 2020,RT @lanitraberger: Fantastic discussion @babson about #socialjustice &amp; #intled . Thanks to Amir Reza &amp; his entire team. We discussed how po…
19,Thu Oct 22 18:26:32 +0000 2020,"Fantastic discussion @babson about #socialjustice &amp; #intled . Thanks to Amir Reza &amp; his entire team. We discussed how power, comfort, &amp; ignorance impact our social justice work. Congrats to Babson for responding to the call to action! @babson_ose @NAFSA"
20,Thu Oct 22 16:05:03 +0000 2020,@MoNscience Let’s get you some @babson interns!  Science + business.
21,Wed Oct 21 19:15:21 +0000 2020,🔥@pandatropic's search for new board members and amazing #research going on through @babson
22,Wed Oct 21 18:43:51 +0000 2020,@XiziLuo @babson Thanks for volunteering your time to be apart of the panel! Grateful for our alumni 💚
23,Wed Oct 21 03:01:17 +0000 2020,@babsonalumni @babson @BabsonAthletics We are so doing this!!! @BabsonSwimDive
24,Tue Oct 20 01:09:40 +0000 2020,RT @apbyers: I had the pleasure of joining a @babson entrepreneurial finance class tonight at the invitation of @littweb to discuss fundrai…
25,Tue Oct 20 00:19:39 +0000 2020,I had the pleasure of joining a @babson entrepreneurial finance class tonight at the invitation of @littweb to discuss fundraising and what I'm building with @ScroobiousInc. Enthused to see a very diverse and engaged student group. Can't wait to support them as founders!
26,Mon Oct 19 23:15:05 +0000 2020,@XiziLuo @babson @MTarawally Can’t wait!!
27,Mon Oct 19 19:58:34 +0000 2020,@XiziLuo @babson @MTarawally Awesome!
28,Sat Oct 17 20:02:45 +0000 2020,RT @blacklionking73: Thank you to @babson for having me speak to your students about BLACKTOP WASTELAND it was my honor and pleasure
