,created_at,full_text
0,Mon Oct 26 16:14:05 +0000 2020,"RT @BallState: The Multicultural Center, SGA, and the Dean of Students Office will host a discussion on Bias Response and Freedom of Expres…"
1,Mon Oct 26 15:52:34 +0000 2020,"RT @BSUCCIM: S/O to Dean @paaige, @_TylerBradfield, @BpopeTV, @nataliethomison, @DarkGuidry, @GraceHollars, @_seena_greiwe, @Brittney_NBC15…"
2,Mon Oct 26 15:48:51 +0000 2020,"S/O to Dean @paaige, @_TylerBradfield, @BpopeTV, @nataliethomison, @DarkGuidry, @GraceHollars, @_seena_greiwe, @Brittney_NBC15, @DrewBogs623, @bsusportslink @BallStateCT and @CharliesChirps for sharing your story with us! 
- 
@BallState @BSUTCOM @BSUCOMM @bsujourn @BallStateCICS"
3,Mon Oct 26 00:53:51 +0000 2020,"RT @BallState: The Multicultural Center, SGA, and the Dean of Students Office will host a discussion on Bias Response and Freedom of Expres…"
4,Sun Oct 25 20:55:10 +0000 2020,"RT @BallState: The Multicultural Center, SGA, and the Dean of Students Office will host a discussion on Bias Response and Freedom of Expres…"
5,Sun Oct 25 19:06:11 +0000 2020,"RT @BallState: The Multicultural Center, SGA, and the Dean of Students Office will host a discussion on Bias Response and Freedom of Expres…"
6,Sun Oct 25 17:43:22 +0000 2020,"@PresidentMearns @BallState @NPR @waitwait Will always be a proud Cardinal, President Mearns!!"
7,Sun Oct 25 00:09:07 +0000 2020,"RT @WalterJayJr: Attending the ""So you want to write for a magazine"" presentation by @BallState Director of the Unified Media Lab, @LisaRen…"
8,Sat Oct 24 17:48:03 +0000 2020,Since so many machines have been closed down with just as many people as ever working out @BallState should do a reserve system like how it is for a room in bracken. You go on the website and pick your time bracket and it shows how full it is
9,Sat Oct 24 17:20:30 +0000 2020,"Attending the ""So you want to write for a magazine"" presentation by @BallState Director of the Unified Media Lab, @LisaRenze #CollegeMedia20"
10,Sat Oct 24 15:32:48 +0000 2020,Hearing some @BallState love on @waitwait @NPR #chirpchirp
11,Sat Oct 24 15:26:26 +0000 2020,@PresidentMearns @MuncieSchools @BSUCCIM @BallState Very informative and exciting for both MCS and BSU!
12,Fri Oct 23 23:48:04 +0000 2020,@Natetheworld @TheNational @GratefulDead @phish @EmensAuditorium i saw Bb King at the Harvard of the Midwest! @BallState
13,Fri Oct 23 19:44:54 +0000 2020,@BsUpandemic @BallState They also only covid test at the crack of dawn now. Only mon-fri 9am-11am and they won't test you if you're asymptomatic anymore
14,Fri Oct 23 18:44:16 +0000 2020,@EMUJohnStaunton @MACSports @BallState @BallStateSports @bgoetz12 @PresidentMearns Thank you John! Honored to be among amazing nominees like you!
15,Fri Oct 23 16:53:58 +0000 2020,@MACSports @BallState @BallStateSports @bgoetz12 @PresidentMearns @mmjourn Congratulations!!!
16,Fri Oct 23 14:55:34 +0000 2020,@gabbymarek @BallState Omg that’s crazy! Wish they could’ve done that when we were there 😂😂
17,Fri Oct 23 13:35:02 +0000 2020,"@martiaus10281 @BallState Very cool, James! Thank you for visiting 🙏📸✨"
18,Fri Oct 23 12:14:51 +0000 2020,@BallState That’s totally not what it currently looks like. The entire building is always built.
19,Thu Oct 22 23:21:54 +0000 2020,@BallState @Ariells03  wow what a remodel
20,Thu Oct 22 22:23:20 +0000 2020,"@BallState please bring quiznos back, this is painful"
21,Thu Oct 22 21:52:01 +0000 2020,@BallStateAlumni @BallState Aren’t we blessed to have such a beautiful campus! Thanks Mother Nature and our BSU Grounds Crew!!
22,Thu Oct 22 21:22:24 +0000 2020,@SurgeryCenterOK @BallState Great presentation! Valuable information on application of free market principles in health care
23,Thu Oct 22 21:19:06 +0000 2020,@BallState Virtual black people~!
24,Thu Oct 22 15:51:11 +0000 2020,@minter Now we need @BallState to sponsor D1 hockey and play a few games out there...
25,Thu Oct 22 15:28:01 +0000 2020,"@julien_lafleur @EconTalker @BallState Hooray! We'll ""see"" you there."
26,Thu Oct 22 14:56:20 +0000 2020,@nuggets @WilliamsBob75 @BallCorpHQ Will you offer souvenir Ball jars in the gift shop? @ballstate
27,Thu Oct 22 14:50:11 +0000 2020,@ballstate the student center is stinky
28,Thu Oct 22 14:44:36 +0000 2020,"@Econlib @EconTalker @BallState To paraphrase Phineas and Ferb, 

Yes. Yes I am!"
29,Thu Oct 22 14:18:37 +0000 2020,"@BallState Why are they pictured at commencement when there won’t be a commencement for them? False advertising, the students graduating in spring and summer 2020 didn’t get one, we didn’t forget."
30,Thu Oct 22 14:14:40 +0000 2020,"RT @Skivvies2: @317lindquist @Indychick31 @BallState @indystar ""Peyton's places"" is so great. He should have been nominated for an Emmy. No…"
