,created_at,full_text
0,Mon Oct 26 18:02:21 +0000 2020,Submitted citizenship documentation for @BaruchCollege last semester and things went well. Somehow @NYStudentFinAid @FAFSA cannot pull up those documentations submitted and is asking for another submission of citizenship documentation this semester. Submitted it 4 weeks ago.
1,Mon Oct 26 17:35:17 +0000 2020,"@HistoryBaruch @BaruchCollege @MarkRiceHistory, your course sounds amazing. If we can't travel in person, it will be nice to do through a course like yours."
2,Mon Oct 26 17:33:35 +0000 2020,@HistoryBaruch @BaruchCollege Looking good!
3,Mon Oct 26 17:19:01 +0000 2020,@SikhVotes @LuMerriam @BaruchCollege @SikhVotes @BaruchCollege @LuMerriam Thank you for sharing! #StartHereGoAnywhere!
4,Mon Oct 26 16:59:22 +0000 2020,@SikhVotes @bmcc_cuny @BaruchCollege @BaruchCollege is my home college and I couldn’t be happier with it as my home base and launchpad for so much cool work
5,Mon Oct 26 12:43:20 +0000 2020,RT @mdotus: @ceceilia0502 @moshe_friedman @jacobkornbluh @Pinnyringel @YLefkowitz FlashbackFriday FF cc @BillSpadea @NYCMayor @BilldeBlasio…
6,Mon Oct 26 01:01:39 +0000 2020,@CristinaMBalboa @BaruchCollege Thank you @CristinaMBalboa and @SarahCBishop !
7,Mon Oct 26 00:05:07 +0000 2020,"@LuMerriam CUNY was the best choice I made and @bmcc_cuny and @BaruchCollege got me to where I needed to be. Admittedly I’m a political science graduate, but I wouldn’t trade that experience for anything else"
8,Sat Oct 24 23:36:20 +0000 2020,RT @MaryElizGorman: @UNMSRocks @alexandralozada @NaomiPenaNYC @motherLeeEarth7 @meliwitz Way to go UNMS! And @alexandralozada - I see you r…
9,Sat Oct 24 17:55:41 +0000 2020,@MaryElizGorman @UNMSRocks @NaomiPenaNYC @motherLeeEarth7 @meliwitz @BaruchCollege Always!  Go Bearcats!!
10,Sat Oct 24 17:27:32 +0000 2020,@UNMSRocks @alexandralozada @NaomiPenaNYC @motherLeeEarth7 @meliwitz Way to go UNMS! And @alexandralozada - I see you reppin @BaruchCollege 😊
11,Fri Oct 23 17:05:13 +0000 2020,"@lavueltablog @MarkRiceHistory @BaruchCollege @Baruch_Weissman @Baruch_CTL @JCBLibrary This is really great, tocayo, thanks."
12,Fri Oct 23 16:56:30 +0000 2020,"@MarkRiceHistory @BaruchCollege @Baruch_Weissman @Baruch_CTL @JCBLibrary Mark, this is super helpful.  Thanks so much for sharing."
13,Fri Oct 23 16:10:18 +0000 2020,"@lavueltablog @BaruchCollege @Baruch_Weissman @Baruch_CTL @JCBLibrary This time we used Tulane's great photo collection. Overall, its a nice option that encourages critical thinking and student-led research, but is fairly low-stress and can be done asynchronously to make lemonade out of the lemons of having to teach online."
14,Fri Oct 23 16:06:25 +0000 2020,"@lavueltablog @BaruchCollege @Baruch_Weissman @Baruch_CTL Once I had a handle on the site, I created a series of module, asynchronous assignments (about one every 4 weeks) in which I introduce students to an online archive. Students then must select one archival doc/image and analyze it using our class readings and discussions"
15,Fri Oct 23 16:04:44 +0000 2020,"@lavueltablog @BaruchCollege @Baruch_Weissman Sure! Baruch has a great platform, Blogs at Baruch, which is a wordpress template that is ready-to-go for us (so even a tech-challenged person like me can operate it). @Baruch_CTL has also been great at giving tutorials in how to use the platform."
16,Fri Oct 23 15:34:29 +0000 2020,@BaruchCollege your offices are closed and no one is responding to calls/emails. How will students get help? Please advise.
17,Fri Oct 23 15:33:54 +0000 2020,Hi @BaruchCollege I’ve tried contacting Financial Aid for over 3 weeks now. I’ve left voicemails &amp; emails and no one has gotten back to me. Can y’all help?
18,Fri Oct 23 15:31:48 +0000 2020,"@MarkRiceHistory @BaruchCollege @Baruch_Weissman Fantastic, Mark. Would you be willing to share how you structured the assignment? Looking to add some digital history elements to my classes and this seems great."
