,created_at,full_text
0,Mon Oct 26 15:15:07 +0000 2020,@sara_andrabi @shahkevp @VRamachandranMD @JadenKohn @anooshamo @JesalShahMD @DocJGay731 @bcmhouston @BCM_Alumni Congratulations!!! Strong work.
1,Mon Oct 26 12:47:02 +0000 2020,@TXChildrensPEM @KiyettaAlade @DrAshaMorrow @DolleeMama @TexasChildrens @bcmhouston @BCMHouston_News We do too!
2,Sun Oct 25 20:42:35 +0000 2020,@ARosen380 @bcmhouston @milenasuarez @bcm_gihep @BCMHouston_News Thank you for sharing your incredible story!
3,Sun Oct 25 17:07:38 +0000 2020,@thesaveclinic @hyperbaricmed @wounddoctorshah @CarolineFifeMD @bcmhouston Great to be apart of this conference and to see some of my toe and flowmigos...virtually! Congrats to @wounddoctorshah and thank you for including me in the event! #ActAgainstAmputation #Teams #ToeFlowandGo
4,Sat Oct 24 23:14:21 +0000 2020,@YaleGenetics @nhnchrd @bcmhouston @YaleMed @YalePediatrics @YaleSPH @YaleIMed Check out the alt text! Love seeing it.
5,Sat Oct 24 20:03:31 +0000 2020,@MagnifyWellness It is! So glad @bcmhouston is a part of it
6,Sat Oct 24 19:09:17 +0000 2020,@Fidaa_Shaib @bcmhouston @jmcdeavitt @BCM_Lung Don't be a selfish idiot and help spread a pandemic!  You can deal with one missed holiday vs someone dying and no possible future holidays!
7,Sat Oct 24 11:58:18 +0000 2020,@ShybutMD @drspoon8 @BCM_OrthoSports @BCMOrthoRes @bcmhouston Was this recorded Selina? Are you interested in joining @OrthoDiversity Would love to share?
8,Sat Oct 24 00:01:40 +0000 2020,@TXChildrensPEM @KiyettaAlade @DrAshaMorrow @DolleeMama @TexasChildrens @bcmhouston @BCMHouston_News ❤️❤️ And I miss working with them!!
9,Fri Oct 23 23:41:55 +0000 2020,@TCHRadiology @TexasChildrens @bcmhouston So well deserved!!
10,Fri Oct 23 15:33:51 +0000 2020,@TCHRadiology @TexasChildrens @bcmhouston Congratulations!!!! 🥳🥳🥳
11,Fri Oct 23 14:53:01 +0000 2020,@ResearchAmerica @CnBsNana @PeterHotez @bcmhouston THIS IS A MANUFACTURED STRUGGLE; DUE TO THE INDIFFERENCE INACTION; AND ABSOLUTE GREED OF THE TRUMP ADMINISTRATION AND THE REPUBLICAN SENATE WHO HAS ENABLED ITS DESTRUCTION OF OUR NATION!!!!!!!!
12,Fri Oct 23 14:38:51 +0000 2020,"@PeterHotez @KatyTurNBC With so much request for your time, any issues with @NIH effort reporting?

@bcmhouston @TexasChildrens"
13,Fri Oct 23 02:03:21 +0000 2020,@TCHRadiology @TexasChildrens @bcmhouston Congratulations Amy!  You Rock!!
14,Thu Oct 22 22:17:28 +0000 2020,"@hcphtx @PeterHotez @sherifink @ashishkjha @ushahmd @Brown_SPH @bcmhouston Dr. Hotez predicted what would happen if we did not trust the science. He has educated Americans since March.
Politicians failed citizens and trusted Donald Trump."
15,Thu Oct 22 21:18:15 +0000 2020,@102_virus @PeterHotez @sherifink @ashishkjha @ushahmd @Brown_SPH @bcmhouston We have recorded the sessions. Will keep everyone posted on how we will share them!
16,Thu Oct 22 21:16:20 +0000 2020,"@hcphtx @PeterHotez @sherifink @ashishkjha @ushahmd @Brown_SPH @bcmhouston thanks for organizing this event!

Will the recording be posted online? Youtube?"
17,Thu Oct 22 21:02:02 +0000 2020,"@hcphtx @ashishkjha @sherifink @bcmhouston @ushahmd @PeterHotez @Brown_SPH When will @ushahmd start including CHINESE VIETNAMESE &amp; ARABIC in @hcphtx’s #COVID19 social media campaign?

#Houston is home to the largest Asian/MiddleEastern community in the South, incl the 3rd largest VIETNAMESE community in the USA."
18,Thu Oct 22 18:04:07 +0000 2020,"@SolnicaKrezelL @VGZT2020_21 @Uchile_EN @bcmhouston @GetYourChorion Beautiful talks this morning!
#zebrafish"
19,Thu Oct 22 17:47:10 +0000 2020,@TCHRadiology @TexasChildrens @bcmhouston Wow! Congratulations Dr. Mehollin-Ray!
20,Thu Oct 22 15:41:29 +0000 2020,"RT @townsquaretalk: RIGHT NOW on #TownSquareTalk with @ErnieOnTV, we discuss the impact of #COVID on school reopenings and the community wi…"
21,Thu Oct 22 15:23:07 +0000 2020,@sunjaydevarajan @CF_Foundation @bcmhouston @kathyjramos @gretchemaben @JenTaylorCousar Same! This question is coming up a lot. Agree that it makes sense in non-lung tx patients but more challenging discussion post-lung tx. Look forward to more data emerging. #NACFC2020
22,Thu Oct 22 15:13:28 +0000 2020,"@TCHRadiology @TexasChildrens @bcmhouston Congratulations and Happy Birthday 🎂🎉🥳🎁🎈 @AmyMehollinRay Don't forget to take ""the two🤳☺️🤳🤪 #selfies"" with the #BirthdayClub!!"
23,Thu Oct 22 12:00:37 +0000 2020,"RT @drraghutg: @PrathitKulkarni @EvaAmenta @A_Spallonii @BCMDeptMedicine @bcmhouston @BiykemB Thanks for this timely, well laid out and ver…"
24,Thu Oct 22 12:00:29 +0000 2020,@drraghutg @EvaAmenta @A_Spallonii @BCMDeptMedicine @bcmhouston @BiykemB Thank you very much!
25,Thu Oct 22 11:23:20 +0000 2020,"@PrathitKulkarni @EvaAmenta @A_Spallonii @BCMDeptMedicine @bcmhouston @BiykemB Thanks for this timely, well laid out and very needed article."
26,Thu Oct 22 09:19:01 +0000 2020,@DrGunjanParikh @gottesman_lab @TheNewANA1 @kj4VA @UVANeurology @thriv_i @LD_McCullough @UTHealth @UTHealthStroke @bcmhouston @UNTHSC @BIDMCRad May we have the honor to send you the device publication and introduction per mail for further cooperation discussion? Our contact is info@delicasz.com; What is your hospital/institution and email contact?
27,Thu Oct 22 09:18:51 +0000 2020,@DrGunjanParikh @gottesman_lab @TheNewANA1 @kj4VA @UVANeurology @thriv_i @LD_McCullough @UTHealth @UTHealthStroke @bcmhouston @UNTHSC @BIDMCRad Dear Sir/Madam. This is Delica Medical who is working on robotic-TCD for neuro ICU cerebral automatic monitoring and multimodal solutions. We have reference sites across Europe and USA.
28,Thu Oct 22 00:51:30 +0000 2020,RT @BCMAnesthesia: Thank you to @bcmhouston Associate Provost of Academic Affairs and Health Systems Science Dr. Nana E. Coleman for her pr…
29,Wed Oct 21 22:37:16 +0000 2020,"Thank you to @bcmhouston Associate Provost of Academic Affairs and Health Systems Science Dr. Nana E. Coleman for her presentation to our department this morning titled ""Keep Well, Keep Safe: Self-preservation and Survival amid Difficult Times"""
30,Wed Oct 21 21:58:50 +0000 2020,"RT @JettieEddleman: @AHRQNews @bcmhouston @MedStarIQS Thanks all, and especially  @PMcGaffigan_IHI @TheIHI Dr. Jeff Brady, @AHRQNews leadin…"
31,Wed Oct 21 21:41:52 +0000 2020,"RT @townsquaretalk: RIGHT NOW on #TownSquareTalk with @ErnieOnTV, we discuss the impact of #COVID on school reopenings and the community wi…"
32,Wed Oct 21 21:17:16 +0000 2020,"RT @townsquaretalk: RIGHT NOW on #TownSquareTalk with @ErnieOnTV, we discuss the impact of #COVID on school reopenings and the community wi…"
33,Wed Oct 21 20:48:22 +0000 2020,@TaylorJ_MD @doctorpemm @NatureComms @MDAndersonNews @LeukemiaMDA @cbg_ethz @nicholas_navin @bcmhouston @MissionBio Thank you Justin! @TaylorJ_MD
34,Wed Oct 21 20:05:50 +0000 2020,"RT @townsquaretalk: RIGHT NOW on #TownSquareTalk with @ErnieOnTV, we discuss the impact of #COVID on school reopenings and the community wi…"
35,Wed Oct 21 20:03:51 +0000 2020,"RIGHT NOW on #TownSquareTalk with @ErnieOnTV, we discuss the impact of #COVID on school reopenings and the community with @DrStephenPont @TexasDSHS, @DrLuisO @bcmhouston &amp; @A_Dewey @HFT2415. Tune in 3 - 4PM on News 88.7 @HoustonPubMedia. Phones: 888-486-9677"
36,Wed Oct 21 19:44:42 +0000 2020,@bcmhouston @Evelin_Y_ @Evelin_Y_  ... thanks for spreading the word...
37,Wed Oct 21 17:53:23 +0000 2020,@nepherson @EvaAmenta @A_Spallonii @BCMDeptMedicine @bcmhouston @BiykemB Many thanks @nepherson!!
38,Wed Oct 21 17:53:18 +0000 2020,@mhill226 @bcmhouston Thank you for helping to spread the word!
39,Wed Oct 21 17:53:14 +0000 2020,RT @nepherson: @PrathitKulkarni @EvaAmenta @A_Spallonii @BCMDeptMedicine @bcmhouston @BiykemB Congratulations! Thank you for this excellent…
40,Wed Oct 21 17:52:30 +0000 2020,"@PrathitKulkarni @EvaAmenta @A_Spallonii @BCMDeptMedicine @bcmhouston @BiykemB Congratulations! Thank you for this excellent review which improves understanding of ""post-acute COVID-19"" @EvaAmenta @A_Spallonii @PrathitKulkarni"
41,Wed Oct 21 16:25:32 +0000 2020,What a cool talk from @AntebiLab during today's MCB seminar series! So many awesome findings about the nucleolus and longevity. Thanks for the virtual visit to @bcmhouston!
42,Wed Oct 21 14:59:25 +0000 2020,@JenniferSpicer4 @EmoryMedicine @ChidaNatasha @bcmhouston Great work @JenniferSpicer4! Was able to help with one of these. Outstanding job by you and your team!
43,Wed Oct 21 14:57:35 +0000 2020,@JenniferSpicer4 @EmoryMedicine @bcmhouston Such a thrill to work with such awesome colleague and the future of ID! And congrats to @JenniferSpicer4 for some amazing mentorship!
44,Wed Oct 21 03:38:54 +0000 2020,@sloaneguy @bcmhouston We’d love to visit you once Covid-19 is a bit under control. Thanks!
45,Wed Oct 21 02:00:33 +0000 2020,"@CheckRare @bcmhouston @AcroCommunity Great article, thank you for sharing. It is astounding how long it can take for members of the #raredisease and rare disorder community to receive a proper diagnosis."
