,created_at,full_text
0,Mon Oct 26 17:02:24 +0000 2020,RT @guidancenorth1: Virtual college visits this week @GeorgeMasonU  @MarywoodU  @Georgiancourt @binghamtonu @MoravianCollege @LycomingColle…
1,Mon Oct 26 16:50:50 +0000 2020,@binghamtonu why don’t you offer communications as a major
2,Mon Oct 26 15:51:24 +0000 2020,Virtual college visits this week @GeorgeMasonU  @MarywoodU  @Georgiancourt @binghamtonu @MoravianCollege @LycomingCollege @NJIT ...just to name a few SIGN UP IN NAVIANCE!!
3,Mon Oct 26 15:40:48 +0000 2020,@LuisMateusRocha @binghamtonu Congrats Luis! That's a good shot! AdMaiora
4,Mon Oct 26 15:27:22 +0000 2020,@binghamtonu Any plans to get verified?
5,Mon Oct 26 02:29:21 +0000 2020,@JeffPlatsky @binghamtonu @NYT First Colonial/Bearcat to serve in Congress.
6,Sun Oct 25 15:32:42 +0000 2020,@LuisMateusRocha @binghamtonu We'll miss you but congratulations!! Best wishes for your journey!
7,Sun Oct 25 15:15:47 +0000 2020,"@LuisMateusRocha @binghamtonu Congratulations, Luis and Deborah! This sounds like excellent news! And a bit closer to Europe :)"
8,Sun Oct 25 12:45:37 +0000 2020,@LuisMateusRocha @binghamtonu Congrats Luis! I'm getting some really good vibes about 2021... Complexity science FTW!
9,Sun Oct 25 08:14:57 +0000 2020,"@LuisMateusRocha @binghamtonu Congratulations !!!
Big move - very interesting."
10,Sun Oct 25 06:00:39 +0000 2020,@LuisMateusRocha @binghamtonu Congratulations!!
11,Sun Oct 25 03:24:00 +0000 2020,@LuisMateusRocha @binghamtonu Congratulations!
12,Sat Oct 24 22:03:59 +0000 2020,@LuisMateusRocha @binghamtonu That’d be so cool!
13,Sat Oct 24 21:51:10 +0000 2020,@LuisMateusRocha @binghamtonu Congratulations @LuisMateusRocha !!! It’s a well deserved honor.
14,Sat Oct 24 20:37:14 +0000 2020,@LuisMateusRocha @binghamtonu Congratulations 🎉
15,Sat Oct 24 20:03:09 +0000 2020,@LuisMateusRocha @barrosolab @binghamtonu Congratulations!
16,Sat Oct 24 19:20:56 +0000 2020,@LuisMateusRocha @binghamtonu Congratulations to you and to Binghamton.
17,Sat Oct 24 19:14:57 +0000 2020,@LuisMateusRocha @binghamtonu Congratulations!!!!!
18,Sat Oct 24 19:06:05 +0000 2020,@LuisMateusRocha @binghamtonu Congratulations!
19,Sat Oct 24 18:11:09 +0000 2020,"@LuisMateusRocha @binghamtonu Congratulations,"
20,Sat Oct 24 17:54:28 +0000 2020,@LuisMateusRocha @binghamtonu Congratulations Luis!! So happy for you. It sounds like a great change for professional and personal reasons.
21,Sat Oct 24 17:33:08 +0000 2020,@LuisMateusRocha @binghamtonu Congratulations! We will miss you @ IU but I can’t wait to continue developing fun bold projects with you 😊. Here’s to a new adventure!
22,Sat Oct 24 16:58:29 +0000 2020,@LuisMateusRocha @binghamtonu Congratulations! 👏
23,Sat Oct 24 16:54:19 +0000 2020,@svscarpino @binghamtonu Thanks Sam! we will be a little closer :)
24,Sat Oct 24 16:47:04 +0000 2020,@LuisMateusRocha @binghamtonu Congratulations! This is wonderful news and very well deserved.
25,Fri Oct 23 23:06:13 +0000 2020,#MBA Question: Is it better to have joint investors in one business and joint laborers? @binghamtonu
26,Fri Oct 23 21:33:52 +0000 2020,"College Visits for 10/29
Sign up on  @Naviance

Binghamton University-8:49 am 
@binghamtonu
 
University of Lynchburg-9:40 am 
@go2lynchburg
 
Palm Beach Atlantic University-1:04 pm 
@PBAAdmissions
 
Barry University-1:55 pm 
@BarryAdmissions"
27,Fri Oct 23 01:52:06 +0000 2020,"RT @readsthepapers: Pure joy watching my beloved colleague Thomas Glave introduce @jerichobrown on behalf of the sea, sun, stars, and sky @…"
28,Thu Oct 22 23:56:52 +0000 2020,"Pure joy watching my beloved colleague Thomas Glave introduce @jerichobrown on behalf of the sea, sun, stars, and sky @binghamtonu. ""These poems that moved dolphins and whales alike to tears""!"
29,Thu Oct 22 14:14:47 +0000 2020,@binghamtonu When are you starting a medical school?
30,Thu Oct 22 12:19:24 +0000 2020,@lisasburch @binghamtonu @OSchoolsPR I hope he can attend. Feel free to reach out to our rep.    Mncohen@binghamton.edu
31,Thu Oct 22 12:13:06 +0000 2020,RT @OHSNYcounselors: Virtual Binghamton session! 10/27 5pm. Bing students will share their experiences. Join with this link. @binghamtonu…
32,Thu Oct 22 11:18:45 +0000 2020,@OHSNYcounselors @binghamtonu @OSchoolsPR Thank you for this. My son missed the info session at school yesterday.
33,Thu Oct 22 10:21:13 +0000 2020,RT @SUNY: NEWS: Chancellor Malatras and @BinghamtonU President Stenger Announce Cases on Campus Stabilize and Broome County Health Departme…
34,Thu Oct 22 10:18:00 +0000 2020,Virtual Binghamton session! 10/27 5pm. Bing students will share their experiences. Join with this link. @binghamtonu  @OSchoolsPR  #beabearcat @https://connect.binghamton.edu/register/?id=6a742e1e-8701-4432-8f3b-fbc1e64787a2
35,Thu Oct 22 02:29:36 +0000 2020,"🎭Tomorrow in my @binghamtonu online #Shakespeare course is: ""Invite a #Theater Practitioner *to Work* Day"" 

(emphasis on *to work*, as #COVID19 has presented significant challenges for theater directors, actors, etc.—people who love their vocation and craft...invite them in)🎭"
36,Thu Oct 22 01:34:30 +0000 2020,@KatieJonesTV @SasinaWBNG @binghamtonu @WBNG12News Thank you Scott!
37,Wed Oct 21 21:45:27 +0000 2020,"@JordanRab @binghamtonu Amazing accomplishment, congrats!"
38,Wed Oct 21 20:03:50 +0000 2020,@Tydolatry @binghamtonu Thank you friend! Feels real good.
39,Wed Oct 21 20:01:22 +0000 2020,"@JordanRab @binghamtonu Congrats, brother! A truly great day."
40,Wed Oct 21 20:00:37 +0000 2020,RT @SUNY: NEWS: Chancellor Malatras and @BinghamtonU President Stenger Announce Cases on Campus Stabilize and Broome County Health Departme…
41,Wed Oct 21 20:00:20 +0000 2020,@JordanRab @binghamtonu I’ll do it for you - #PaidInFull
42,Wed Oct 21 19:57:16 +0000 2020,RT @SUNY: NEWS: Chancellor Malatras and @BinghamtonU President Stenger Announce Cases on Campus Stabilize and Broome County Health Departme…
43,Wed Oct 21 19:45:50 +0000 2020,@binghamtonu ...handling the situation properly! Thank you.
44,Wed Oct 21 19:43:41 +0000 2020,RT @SUNY: NEWS: Chancellor Malatras and @BinghamtonU President Stenger Announce Cases on Campus Stabilize and Broome County Health Departme…
45,Wed Oct 21 19:26:14 +0000 2020,RT @SUNY: NEWS: Chancellor Malatras and @BinghamtonU President Stenger Announce Cases on Campus Stabilize and Broome County Health Departme…
46,Wed Oct 21 19:07:57 +0000 2020,NEWS: Chancellor Malatras and @BinghamtonU President Stenger Announce Cases on Campus Stabilize and Broome County Health Department Lifts Precautionary Pause
47,Wed Oct 21 18:53:18 +0000 2020,"@jimmalatras @binghamtonu @pressconnects Proud to have my son attend!  Great job from President Stenger and the entire staff and student body.  Keep being mindful, considerate, patient and vigilant.  Everyone will pull through this if we support and respect one another!"
