,created_at,full_text
0,Mon Oct 26 01:41:40 +0000 2020,"Dr. Lee's is using her JD to benefit @BoiseState faculty as well by representing @BoiseStateSPS on Faculty Senate which, given the current issues facing higher education, is incredibly important work."
1,Mon Oct 26 01:41:40 +0000 2020,Dr. Lee prides herself on serving students. She is currently the @BoiseState Pre-Law Society Advisor assisting students in preparing for law school and a @BoiseState BroncoLife faculty member working with student-athletes.
2,Sun Oct 25 23:12:52 +0000 2020,"215,784-San Bernardino, CA
217,827-Tacoma, WA
220,236-Baton Rouge, LA (capital city of Louisiana and home of @LSU)
222,081-Spokane, WA
228,959-Boise, ID (capital city of Idaho and home of @BoiseState)
230,436-Richmond, VA (capital city of VA &amp; home of @VCU &amp; @URichmond)"
3,Sun Oct 25 21:30:09 +0000 2020,"@boomi @DellTech @BarryUniversity @BoiseState @educause Help us by donating USD $ 1 to save the lives of my wife and children.
 👉https: //t.co/pTiQFnWJqk
 Spread our campaign and read our story👉https: //t.co/xzICIsq8we"
4,Sun Oct 25 03:34:52 +0000 2020,"@MattBauscher @CityOfBoise @MarleneTromp @BroncoSportsFB COVID must be more dangerous around Blue Turf. Makes as much sense as any of the reasons @BoiseState would give for not permitting limited # of fans. 
At least let the players families in!!!!"
5,Sun Oct 25 03:34:29 +0000 2020,@ArizonaHotspur @BoiseState Don’t show them eastern Washington university where it’s red!
6,Sun Oct 25 02:35:50 +0000 2020,@davet7462 @BoiseState Awful on TV.
7,Sun Oct 25 02:35:11 +0000 2020,"@simomcook @BoiseState Yes, works brilliantly. No team enjoys playing there. Also, their blue uniforms blend into the turf. Unwatchable on TV."
8,Sun Oct 25 01:29:11 +0000 2020,@ArizonaHotspur @BoiseState And no fun watching it either.
9,Sun Oct 25 01:19:58 +0000 2020,@owenmiller75 @BoiseState @BroncoSportsFB So happy the Broncos are back! 🏈💙
10,Sun Oct 25 01:13:08 +0000 2020,"@simomcook @ArizonaHotspur @BoiseState As a fan of a team in their conference, it's no fun playing there."
11,Sun Oct 25 00:46:16 +0000 2020,Being back the @TurnoverThrone ! @boisestate
