,created_at,full_text
0,Mon Oct 26 14:21:32 +0000 2020,"@JaredDudley619 @JaredDudley619 @KingJames Hey Jared, congratulations on winning a championship!  I’ve been a fan of you since your days at @BostonCollege. I’m a big BC fan. King James congratulations to you and the rest of the @Lakers too. Too bad it wasn’t the @DetroitPistons"
1,Sun Oct 25 21:14:02 +0000 2020,@HomefieldApparl Just surprise me with glorious angry bird logos please @BostonCollege
2,Sun Oct 25 16:47:18 +0000 2020,"@GreaterBoston @BostonCollege @naehomelessness I can't wait until you remove that lying, biased , horrible person you have hosting the show so I can watch once again"
3,Sun Oct 25 07:00:05 +0000 2020,@BCIrishStudies @IrelandBoston @BostonCollege @Adams1887 @BCDublin Good session and congratulations to @BCIrishStudies for ingeniously overcoming unexpected technical difficulties.
4,Sun Oct 25 05:57:21 +0000 2020,@KyleHunterPicks @BostonCollege @DocsSports Thank you sir. It was fun and you've had a million of them.
5,Sun Oct 25 05:47:04 +0000 2020,@DougUpstone @BostonCollege @DocsSports Great job Doug!
6,Sun Oct 25 01:25:44 +0000 2020,@BostonCollege @BCCampusMin @americamag Thus is so true.  My freshman Is choosing not to return to campus after thanksgiving because there is no reason to stay.  Forging new friendships has been very difficult.  College is isolating.
7,Sat Oct 24 21:19:22 +0000 2020,"RT @UMBSACNAS: Just had an amazing New England regional networking meeting with the chapters @SACNASatBrown, @BrandeisU, @HarvardSACNAS, @U…"
8,Sat Oct 24 21:18:41 +0000 2020,@browning3s @AOC @BU_Tweets @BostonCollege Sorry to offend BC grads. Yes I meant BU.
9,Sat Oct 24 21:13:26 +0000 2020,"@pdxclone Hi, @AOC has a @BU_Tweets degree. She did not attend @bostoncollege"
10,Sat Oct 24 14:22:03 +0000 2020,@JanTaylor1 Thanks for posting this. My brother earned his bachelor and law degrees at @BostonCollege so I sent him this story.
11,Sat Oct 24 10:31:02 +0000 2020,"@jkrahnert3 @BCdee97 @BostonCollege @BCEagles Football is a bigger rebuild relative to basketball.  Smaller schools with fewer resources have built respectable hoops programs.  This doesn’t factor in Villanova which is obviously at the highest level.  It’s not that hard.  Either fix it or don’t have a team, I say fix it."
12,Sat Oct 24 00:38:49 +0000 2020,"RT @UMBSACNAS: Just had an amazing New England regional networking meeting with the chapters @SACNASatBrown, @BrandeisU, @HarvardSACNAS, @U…"
13,Fri Oct 23 23:28:50 +0000 2020,@bemightygood @BostonCollege 💜🙏🏻thank you for sharing this
14,Fri Oct 23 23:10:35 +0000 2020,@BostonCollege @BCCarrollSchool @naehomelessness Just saw his story @ABCWorldNews w/ @DavidMuir. What a remarkable young man. Going the distance for @naehomelessness. Way to go Gordon! 💪👏👏👏 #PersonOfTheWeek
15,Fri Oct 23 23:05:58 +0000 2020,"Hey @DavidMuir, Please tell #Gordonwayne @BostonCollege @ABCWorldNews when he'd like, he's welcome to a home cooked meal...#COVID19 free of course!
Congratulations Gordon! Welcome to the Best city in the world!!!"
