,created_at,full_text
0,Mon Oct 26 18:08:26 +0000 2020,"@maggieNYT @yashar @AOC Yes, and she went to @BU_Tweets"
1,Mon Oct 26 17:46:56 +0000 2020,@booktoss @HabenGirma @BUQuestrom @BU_Tweets @BUWheelock Thank you! I would love to chat.
2,Mon Oct 26 17:12:38 +0000 2020,"""they were supposed to be sent back from @Northeastern or @BU_Tweets , but instead, they're down there in @GlobeMcGrory's dungeon. Not that @John_W_Henry would ever have a room where people were having sex and he was watching it. That's absurd. To even suggest. Absurd..."" -KM"
3,Mon Oct 26 16:58:17 +0000 2020,"RT @JohnAWhitePhD: Congratulations to @BuMechE &amp; @BostonU_BME  superstar @MorganLabBU, awarded the inaugural Maysarah K. Sukkar Professorsh…"
4,Mon Oct 26 16:36:40 +0000 2020,"Congratulations to @BuMechE &amp; @BostonU_BME  superstar @MorganLabBU, awarded the inaugural Maysarah K. Sukkar Professorship in Engineering at @BU_Tweets!"
5,Mon Oct 26 15:23:30 +0000 2020,"RT @mbsiegel: MA has reached 1,000 cases per day, and one week earlier than I predicted. This means transmission is now accelerating. I fin…"
6,Mon Oct 26 14:26:22 +0000 2020,"RT @mbsiegel: MA has reached 1,000 cases per day, and one week earlier than I predicted. This means transmission is now accelerating. I fin…"
7,Mon Oct 26 14:00:36 +0000 2020,"RT @mbsiegel: MA has reached 1,000 cases per day, and one week earlier than I predicted. This means transmission is now accelerating. I fin…"
8,Mon Oct 26 13:59:03 +0000 2020,"RT @mbsiegel: MA has reached 1,000 cases per day, and one week earlier than I predicted. This means transmission is now accelerating. I fin…"
9,Mon Oct 26 13:53:38 +0000 2020,"@Meemsly313 @DeafGirlWalking @HabenGirma @BUQuestrom @BU_Tweets Which means DEI is still performative and not inclusive. We already have guidelines and enforceable case law around accessibility that pull it out. While DEI is ""on the table"" it's the ideal time to ensure that all the DEI hulabaloo does NOT leave out accessibility."
10,Mon Oct 26 13:40:32 +0000 2020,"@mbsiegel @BUSPH @BU_Tweets The flu is deadlier at this point, relax."
11,Mon Oct 26 13:32:32 +0000 2020,"MA has reached 1,000 cases per day, and one week earlier than I predicted. This means transmission is now accelerating. I find it unconscionable for @BUSPH and @BU_Tweets to continue to force faculty/staff into the classroom. The right thing to do is...     /1"
12,Mon Oct 26 12:24:02 +0000 2020,"@HabenGirma @BUQuestrom @BU_Tweets @BUWheelock @BUDeafStudies Really, captioning is literally the least we can do. 

Inclusion must be part of the fabric of the university and it is not. Not yet anyway. 

The facts are clear. You asked. They didn’t comply. 

#ADA #Ally #CoConspirator  #BLM"
13,Mon Oct 26 12:12:14 +0000 2020,"@HabenGirma @BUQuestrom @BU_Tweets @HabenGirma I have been taking twitter break on the weekends so I am just seeing this now. 

First. I just want to say #FFS! 
Then, I wanted to let you know that folks from @BUWheelock where @BUDeafStudies is housed is reaching out to Questrom. 

1/2"
14,Mon Oct 26 12:04:05 +0000 2020,"RT @bu_phd_students: There were 1,097 new cases of COVID in MA today (5 on @BU_Tweets campus) and BU is still not informing instructors if…"
15,Mon Oct 26 11:49:50 +0000 2020,@DeafGirlWalking @HabenGirma @BUQuestrom @BU_Tweets IDEA is a great idea! Accessibility often will be forgotten in many ways.
16,Mon Oct 26 11:39:04 +0000 2020,"RT @bu_phd_students: There were 1,097 new cases of COVID in MA today (5 on @BU_Tweets campus) and BU is still not informing instructors if…"
17,Mon Oct 26 08:30:31 +0000 2020,"@ThackeryBrown @ytquiroz @BU_Tweets @buCSNneuro @BUMedicine @BUmemoryloss @joshfoxfuller @celpluim @INSneuro @APADivision40 @NANneuropsych @MGHmapp Thanks! About darned time, right?"
18,Mon Oct 26 07:52:53 +0000 2020,"RT @DeafGirlWalking: @HabenGirma @BUQuestrom @BU_Tweets Here’s an IDEA: instead of Diversity, Equity &amp; Inclusion (#DEI ) workshops / semina…"
19,Mon Oct 26 05:34:11 +0000 2020,"RT @bu_phd_students: There were 1,097 new cases of COVID in MA today (5 on @BU_Tweets campus) and BU is still not informing instructors if…"
20,Mon Oct 26 04:36:56 +0000 2020,"RT @bu_phd_students: There were 1,097 new cases of COVID in MA today (5 on @BU_Tweets campus) and BU is still not informing instructors if…"
21,Mon Oct 26 03:30:57 +0000 2020,"RT @bu_phd_students: There were 1,097 new cases of COVID in MA today (5 on @BU_Tweets campus) and BU is still not informing instructors if…"
