,created_at,full_text
0,Mon Oct 26 13:32:37 +0000 2020,@BowdoinWBB @BowdoinCollege Congrats to all!
1,Sun Oct 25 21:12:15 +0000 2020,"@CreativeMarbles @mgcato @BowdoinCollege Truly a pleasure conversing with you, and connecting you with the Forum.

#FTTE"
2,Sun Oct 25 03:01:22 +0000 2020,@premagupta @BowdoinCollege My daughter is a junior at Bowdoin and applying to vet schools this spring to be a zoo vet. Thanks to Dr. Georoff for leading the way!
3,Thu Oct 22 22:27:14 +0000 2020,@AmherstCollege Can't be visitors from @BowdoinCollege - wrong color.
4,Thu Oct 22 21:09:43 +0000 2020,Wondering about partners near you? Check out @cm_healthcare @unitycollege @MCbysodexo @umpiowls @umfinthenews @usouthernmaine @umainemachias @bowdoincollege @cm_healthcare @colbycollege @mecaart @maine_maritime @shipyardbrewing @smccmaine @thomascollege @unitycollege @unetweets
5,Thu Oct 22 19:14:16 +0000 2020,Many thanks to @BryanAlexander and @BowdoinCollege's Michael Cato for a lively discussion about the current state of higher education in the time of COVID! Lovely to be a part of the Future Trends Forum. #FTTE @mgcato
6,Thu Oct 22 10:54:45 +0000 2020,@DaleEArnold @BowdoinCollege Wipe that cum off your chin dale
7,Wed Oct 21 16:06:05 +0000 2020,@TheBowdoinStore @BowdoinCollege Thank you.  Updated link?  Didn't work for me.
8,Wed Oct 21 15:35:45 +0000 2020,"RT @ohambiguity: Good morning #ISDP2020 @devpsybio!! 

I hope you’re ready for my curious and excited @BowdoinCollege students the next thr…"
9,Wed Oct 21 13:38:27 +0000 2020,"RT @ohambiguity: Good morning #ISDP2020 @devpsybio!! 

I hope you’re ready for my curious and excited @BowdoinCollege students the next thr…"
10,Wed Oct 21 13:34:21 +0000 2020,"Good morning #ISDP2020 @devpsybio!! 

I hope you’re ready for my curious and excited @BowdoinCollege students the next three days! We can’t wait to hear all the great science!"
11,Wed Oct 21 01:41:13 +0000 2020,"@BowdoinCollege This feels eerie! I applied to seven colleges and you've listed five of them plus Carleton, which is where my sister went."
12,Wed Oct 21 00:57:02 +0000 2020,"@alexmlwrites @BowdoinCollege Ahh thanks so much, Alex!! Your students were brilliant and thought-provoking and it was such a pleasure to chat with them."
13,Tue Oct 20 23:59:56 +0000 2020,@DaleEArnold @BowdoinCollege I hope there is going to be a year long tribute. Shame he's leaving. I could listen to him do play by play of grass growing.
14,Tue Oct 20 20:15:11 +0000 2020,@DaleEArnold @BowdoinCollege His knowledge and enthusiasm for the game along with his very quick wit made watching hockey even more enjoyable. I enjoyed your book and the stories of the people you worked with to get where you are.
15,Tue Oct 20 15:11:22 +0000 2020,"@DaleEArnold @BowdoinCollege Legend in your own mind, Dale."
16,Tue Oct 20 14:32:23 +0000 2020,@DaleEArnold @BowdoinCollege Hockey just won’t be the same
17,Tue Oct 20 13:41:58 +0000 2020,"@DaleEArnold @BowdoinCollege @DaleEArnold growing up in Brunswick, I remember listening to you call high school &amp; @BowdoinCollege games. Obviously your time with Doc was well spent!"
18,Tue Oct 20 11:40:11 +0000 2020,"@matthew_klingle @BowdoinCollege @JTRoane And a great @BowdoinCollege showing in the audience too, though we didn't have time to read out all their questions!"
19,Tue Oct 20 10:34:09 +0000 2020,@DaleEArnold @BowdoinCollege Simply the best.
20,Tue Oct 20 10:08:05 +0000 2020,@DaleEArnold @BowdoinCollege The best play by play hockey announcer in the business who started here in Maine and just a great guy.
21,Tue Oct 20 04:14:11 +0000 2020,@DaleEArnold @BowdoinCollege TICK- D🕕C.  Final horn.
22,Tue Oct 20 03:29:12 +0000 2020,@DaleEArnold @BowdoinCollege Did you ever work with @BigSteve207 over at Bowdoin?
23,Tue Oct 20 02:53:58 +0000 2020,@DaleEArnold @BowdoinCollege Who said you have a PhD?
24,Tue Oct 20 02:52:55 +0000 2020,@DaleEArnold @BowdoinCollege I watched his video this morning and had tears in my eyes towards the end.  he will be missed.
25,Sun Oct 18 23:13:19 +0000 2020,@DemaestriC @devpsybio @BowdoinCollege your poster is on their itinerary! :) hopefully you'll see a few of them drop by!
26,Sun Oct 18 20:30:29 +0000 2020,"RT @ohambiguity: So excited for @devpsybio conference this week! 

I'm finishing up a curated itinerary for the 21 undergraduate @BowdoinCo…"
27,Sun Oct 18 20:10:06 +0000 2020,@ohambiguity @devpsybio @BowdoinCollege That's so amazing! see you all there!
28,Sun Oct 18 17:32:36 +0000 2020,"RT @ohambiguity: So excited for @devpsybio conference this week! 

I'm finishing up a curated itinerary for the 21 undergraduate @BowdoinCo…"
29,Sun Oct 18 14:21:42 +0000 2020,"So excited for @devpsybio conference this week! 

I'm finishing up a curated itinerary for the 21 undergraduate @BowdoinCollege students (my affective neuro lab course and an independent study) that will be attending with me. For many this will be their first ever conference!"
