,created_at,full_text
0,Mon Oct 26 03:26:28 +0000 2020,@Pres_Rogers @SandyEarleBG @DanceBGSU @bgsu They always do an amazing job and are such an inspiration to younger dancers! 🧡
1,Sun Oct 25 19:08:57 +0000 2020,@bgsu Wow that’s amazing! Thanks for the info!
2,Sun Oct 25 01:16:32 +0000 2020,"@Pres_Rogers @SandyEarleBG @DanceBGSU @bgsu Silver lining of Covid...getting to watch BGSU dance in Utah. Great show, I loved it!"
3,Sat Oct 24 23:56:05 +0000 2020,"@Pres_Rogers @SandyEarleBG @DanceBGSU @bgsu 🧡The BGSU dance program was a huge part of my time at bg as a undergrad &amp; grad student... and now alum! Can’t wait to watch again tonight. So proud of our students, dancers, alum, and community for putting this show together!! Thanks for the support, President Rogers!! #TalonsUp"
4,Sat Oct 24 23:43:28 +0000 2020,@Pres_Rogers @SandyEarleBG @DanceBGSU @bgsu Thank you for supporting the dance program at BGSU! 🧡 #proudalum
5,Sat Oct 24 19:49:55 +0000 2020,@Pres_Rogers @SandyEarleBG @DanceBGSU @bgsu Thank you so much for coming last night! I am so glad that you enjoyed the show!
6,Sat Oct 24 19:21:31 +0000 2020,@Pres_Rogers @SandyEarleBG @DanceBGSU @bgsu What a fantastic event! BGSU has such a strong dance program! Our whole family loved it!
7,Sat Oct 24 19:17:41 +0000 2020,@Pres_Rogers @SandyEarleBG @DanceBGSU @bgsu Thank you for coming last night and it was so nice getting to talk to the both of you after the show
8,Sat Oct 24 19:11:36 +0000 2020,@Pres_Rogers @SandyEarleBG @bgsu Thank you so much for your support! It was an honor to have you and @SandyEarleBG at the performance! 🧡
9,Sat Oct 24 16:12:58 +0000 2020,"@Pres_Rogers @SandyEarleBG @DanceBGSU @bgsu Mr, president  hope 🙏 you and   family 👪  🙏  and every in bg doing well and safe"
10,Sat Oct 24 14:02:52 +0000 2020,@Pres_Rogers @DanceBGSU @SandyEarleBG @bgsu So honored to be a part of it from Denver and to have the opportunity to view the show!!
11,Sat Oct 24 02:06:36 +0000 2020,"@Pres_Rogers @DanceBGSU @bgsu Loved this performance by our talented, creative students expressing so many emotions during this remarkable time. Both the town of Bowling Green and BGSU are featured and celebrated. Thank you so much! Please join in tomorrow at 8 pm. @DanceBGSU @bgsu"
12,Fri Oct 23 18:03:46 +0000 2020,RT @NWOstem: We are proud recipients of a continued partnership w. Army Educational Outreach Program Junior Science &amp; Humanities Symposium!…
13,Fri Oct 23 18:03:43 +0000 2020,"RT @USAEOP: @NWOstem @NtlJSHS @NSTA @OSLN @bgsu @edhdbgsu Without our #partners, AEOP programs would not be possible. Thank you for your co…"
14,Fri Oct 23 15:41:31 +0000 2020,"@nklpkl @ADeCurtis @RollingStone @bgsu I...don't recall. Actually, I wasn't on campus the semester this came out. I was in Miamisburg at the nuclear facility. As we did."
15,Fri Oct 23 14:50:50 +0000 2020,@BrettHenneNYC @ADeCurtis @RollingStone @bgsu Didn't BGNews do a write up on this as well?  Memory is fuzzy.
16,Thu Oct 22 23:34:36 +0000 2020,@bgsu Give us spring break back you thieves
17,Thu Oct 22 17:07:53 +0000 2020,@MACSports @bgsu @BGathletics @bemoose Congratulations!
18,Thu Oct 22 14:59:41 +0000 2020,"@RachaelRayShow Hey fellow @bgsu @FalconAlumni, I hope you were able to see one of our fellow Falcons Erica receive a makeover on today's show from the great @MallyRoncal @mallybeauty on @rachaelray!  #AyZiggy"
19,Thu Oct 22 14:39:16 +0000 2020,@BrettHenneNYC @RollingStone @bgsu You ARE famous.
20,Thu Oct 22 14:04:08 +0000 2020,"@nyctowl @RollingStone @bgsu I was ""Almost Famous."""
21,Thu Oct 22 13:59:38 +0000 2020,"@BrettHenneNYC @RollingStone @bgsu OMG, that's fantastic!"
22,Wed Oct 21 15:28:04 +0000 2020,@KShy613 @bgsu 2nd school not my main school. My heart was never at BG sorry falconer
23,Wed Oct 21 15:26:34 +0000 2020,@foultrouble23 ...you went to @bgsu
24,Wed Oct 21 14:52:56 +0000 2020,@FalconOutfitter My favorite @bgsu logo! My brother-in-law &amp; former Falcon Football player has this logo tattooed on his calf! @katiepollock14
25,Wed Oct 21 14:11:53 +0000 2020,"RT @BGFalconMedia: .@NHLonNBCSports broadcast legend and @bgsu alumnus Mike ""Doc"" Emrick has inspired the staff of @BGRSO over the course o…"
26,Wed Oct 21 02:58:13 +0000 2020,@LtGovHusted @JonHusted @bgsu Anyone with half a brain will take their stem education and their career to another state so it won’t be wasted here by a Governor and his minion who want to keep businesses shackled to meaningless and economy killing mandates. Plus you had these careers here but pissed them away
27,Wed Oct 21 00:13:43 +0000 2020,@LtGovHusted @bgsu Just talking about what a great program this is with Mike Woytek at Ohio Academy of Science and John Klipfell from Believe in Ohio Entrepreneurial Engagement Program! Literally as you posted this.
28,Tue Oct 20 22:01:03 +0000 2020,@resmik4 @bgcollegeoftech @bgsu @WomeninTechBGSU Congratulations! Well -deserved I’m sure. 😊
29,Tue Oct 20 20:03:43 +0000 2020,@carrierd @bgsu @maggieoleksiak @BGSUHHS @MJLudy @maggieoleksiak worked in my lab last summer and she was terrific. Glad to see her internship study was also successful!
30,Tue Oct 20 18:26:28 +0000 2020,"RT @MearsyNHL: When I was at @Bgsu, one day I decided to search Mike Emrick’s name in the database of the school library since that’s where…"
31,Tue Oct 20 17:51:06 +0000 2020,Happy #NationalDayOnWriting  can’t wait to write some cool poetry for my writing class! @bgsu
32,Tue Oct 20 13:28:04 +0000 2020,"RT @BGFalconMedia: .@NHLonNBCSports broadcast legend and @bgsu alumnus Mike ""Doc"" Emrick has inspired the staff of @BGRSO over the course o…"
33,Tue Oct 20 12:51:48 +0000 2020,"RT @BGFalconMedia: .@NHLonNBCSports broadcast legend and @bgsu alumnus Mike ""Doc"" Emrick has inspired the staff of @BGRSO over the course o…"
34,Tue Oct 20 12:50:02 +0000 2020,".@NHLonNBCSports broadcast legend and @bgsu alumnus Mike ""Doc"" Emrick has inspired the staff of @BGRSO over the course of his more than 3,750-game career.

With the announcement of his retirement, here's how our current and former broadcasters are saying #ThankYouDoc:"
