,created_at,full_text
0,Mon Oct 26 01:50:41 +0000 2020,"""Hayden said we're going to Chicago to end the war and not to fuck around.""
""Tell Hayden I went to @BrandeisU and I can do both.""
So true."
1,Sat Oct 24 21:19:22 +0000 2020,"RT @UMBSACNAS: Just had an amazing New England regional networking meeting with the chapters @SACNASatBrown, @BrandeisU, @HarvardSACNAS, @U…"
2,Sat Oct 24 02:05:12 +0000 2020,@ScottFeinberg @BrandeisU That line made me giggle.
3,Sat Oct 24 00:38:49 +0000 2020,"RT @UMBSACNAS: Just had an amazing New England regional networking meeting with the chapters @SACNASatBrown, @BrandeisU, @HarvardSACNAS, @U…"
4,Fri Oct 23 23:24:25 +0000 2020,@craftyiscool @camanpour @BrandeisU You are amazing!
5,Fri Oct 23 23:04:11 +0000 2020,@craftyiscool @camanpour @BrandeisU This is phenomenal!!!
6,Fri Oct 23 22:12:02 +0000 2020,@_ChristineOrtiz @BrandeisU Wow! Gorgeous. Super fab!!
7,Fri Oct 23 20:39:53 +0000 2020,"“We’re here to end the war, not to fuck around.”

“I went to Brandeis, I can do both.”

@trialofchicago7 @BrandeisU @BrandeisUAlumni"
8,Fri Oct 23 17:31:48 +0000 2020,"Just had an amazing New England regional networking meeting with the chapters @SACNASatBrown, @BrandeisU, @HarvardSACNAS, @UMassMedical, @TuftsUniversity, @BU_Tweets and @BostonCollege!! Feeling energized and ready to collaborate #SACNAS2020"
9,Fri Oct 23 16:26:29 +0000 2020,@Chronic_FLKeys @BrandeisU @cdc @supportprop This is sad. I have seen what these pills do to people and their families. Unfortunately we have these “ Pain Management “ offices that are highly to blame because they keep people addicted so that they keep coming back for their own $$ pockets . Keeping people addicted
10,Fri Oct 23 14:11:10 +0000 2020,"@_ChristineOrtiz @BrandeisU Congratulations, Christine!"
11,Fri Oct 23 13:09:59 +0000 2020,@_ChristineOrtiz @BrandeisU That photo is stunning!
12,Fri Oct 23 03:15:56 +0000 2020,@BoriLoco91 @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @_AdamFitzgerald I think it's ridiculous lol
13,Fri Oct 23 03:15:30 +0000 2020,@investigate3112 @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @_AdamFitzgerald About Jimmy Carter being the mastermind of the Iranian revolution of 1979.
14,Fri Oct 23 03:14:38 +0000 2020,@BoriLoco91 @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @_AdamFitzgerald about what?
15,Fri Oct 23 03:13:59 +0000 2020,@investigate3112 @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @_AdamFitzgerald What do you think?
16,Fri Oct 23 01:32:14 +0000 2020,"@SAALTweets @theaerogram @BrandeisU Congratulations to those who are resisting moves like the one Brandeis is doing.

It is in the context of the Indian traditions that it becomes clear that social sciences smuggle missionary theology in secular clothes."
17,Thu Oct 22 19:51:02 +0000 2020,RT @BoriLoco91: @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU…
18,Thu Oct 22 19:50:58 +0000 2020,RT @BoriLoco91: @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU…
19,Thu Oct 22 19:50:54 +0000 2020,RT @BoriLoco91: @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU…
20,Thu Oct 22 19:43:33 +0000 2020,@investigate3112 @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @_AdamFitzgerald This guy is off his rocker.
21,Thu Oct 22 19:27:50 +0000 2020,@BoriLoco91 @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @_AdamFitzgerald The guy thinks that Jimmy Carter orchestrated the 1979 Iranian revolution? Is that seriously what I'm reading?
22,Thu Oct 22 19:17:58 +0000 2020,"@BoriLoco91 @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU She's actually a Triple agent working for the IRGC!

Duh"
23,Thu Oct 22 19:17:55 +0000 2020,RT @investigate3112: @BoriLoco91 @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC…
24,Thu Oct 22 19:11:47 +0000 2020,"@BoriLoco91 @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU What fucking world do these people live in?

Lol

It's like they operate in a completely different reality divorced from facts. 

Obama gave the Iranian government their own money back, while capitulating to Saudi and Israel at EVERY OTHER TURN.

That's reality"
25,Thu Oct 22 19:10:16 +0000 2020,@investigate3112 @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU That's exactly true! Lmaoooo
26,Thu Oct 22 19:07:56 +0000 2020,RT @investigate3112: @mtrkeh @BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC…
27,Thu Oct 22 19:06:33 +0000 2020,"@mtrkeh @BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU Lol

If they lobbied for Obama to pay ""terrorists,"" then they got a raw deal because Obama ended up authorizing the CIA to carry out the most expensive CIA operation in the agency's history to arm nut-job Salafi-jihadists to fight Iranian militias and Hezbollah in Syria."
28,Thu Oct 22 17:56:55 +0000 2020,"@BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi OK, this terrorist sympathizer and friend of islamic states in Iran blocked me!
""They overthrew mosaddegh and installed Shah!"" 😂😂😂😂😂
He/She was a LEGEND, I'll miss him/her 😂😂😂😂"
29,Thu Oct 22 17:52:43 +0000 2020,@_AdamFitzgerald @mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU What an idiot.
30,Thu Oct 22 17:50:35 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi That's Mossadegh shaking hands with Abol-Ghasem Kashani, not Ayattolah Khomeini."
31,Thu Oct 22 17:35:29 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi his ""crimes against the revolution"" and Carter said ""NO"", which triggered the US hostage crisis in Tehran and led to Carter into supporting Saddam Hussein against Iran, in the Iran-Iraq war (1980-1988), in order to contain the Iranian revolution, and of course Carter slapped..."
32,Thu Oct 22 17:33:16 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi when Jimmy Carter (under pressure from David Rockefeller and Henry Kissinger) allowed the ousted Shah to enter the US, to seek medical treatment for his cancer. The Iranian regime demanded that Carter extradite him to Iran, so that he can be able to be held accountable for.."
33,Thu Oct 22 17:30:52 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi would remain friendly and open to America and its interests, which led to Jimmy Carter to advise the Iranian Shah loyalists to hold off their coup against Khomeini, after Khomeini overthrew the Shah. Then he turned around and fooled/backstabbed Jimmy Carter. Matters became worse"
34,Thu Oct 22 17:28:14 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi trying to overthrow him by leading the White Revolution against Pahlavi's regime. I know that the CIA had maintained contact with Khomeini since 1963. In 1979, the Shah was diagnosed with terminal cancer and his government was falling apart. Then Khomeini told Carter that he..."
35,Thu Oct 22 17:24:44 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi Jimmy Carter was told by his CIA, ""hey don't worry about him, he's our old asset from back in day and he helped us overthrow Iranian PM Mossadegh back in 1953 &amp; install the Shah Mohammed Reza Pahlavi in power, in Tehran"". Yeah and, then the Shah had him exiled to Iraq in 1963 for"
36,Thu Oct 22 17:21:36 +0000 2020,@_AdamFitzgerald @BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU Damn! He blocked me! Why these Democrats are all bunch of a__holes?
37,Thu Oct 22 16:45:22 +0000 2020,"@mtrkeh @BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU Oh, you are one of those figures, who espouse wild conspiracy theories, such as the media and government are being overrun by islamic regime agents."
38,Thu Oct 22 16:43:31 +0000 2020,"@_AdamFitzgerald @BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU You again lost the subject matter, we're talking about islamic regime's agents taking over media and government inside US. What the hell does it with Arabia?!"
39,Thu Oct 22 16:40:23 +0000 2020,@mtrkeh @BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU Like Saudi Arabia? Iran doesnt fit the bill friend.
40,Thu Oct 22 16:37:56 +0000 2020,@_AdamFitzgerald @BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU You just need to stop supporting islamic terrorist regime and it's supporters. That's it.
41,Thu Oct 22 16:35:51 +0000 2020,@BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi Again wrong
42,Thu Oct 22 16:35:39 +0000 2020,@mtrkeh @BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU Do we have more Gulf backers trying to manipulate the american citizenry to engage Iran in a military conflict?
43,Thu Oct 22 16:35:12 +0000 2020,@BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi You are wrong
44,Thu Oct 22 16:29:46 +0000 2020,@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi I'm pointing out the US hypocrisy that the US supports similar autocratic regimes that claim to be against. I'm not Joe Biden.
45,Thu Oct 22 16:27:54 +0000 2020,"@BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi We are talking about iran now not Saudi, you are so forgetful about the subject matter. Are you Joe Biden by any chance?"
46,Thu Oct 22 16:27:19 +0000 2020,@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @_AdamFitzgerald @investigate3112 see thread
47,Thu Oct 22 16:24:29 +0000 2020,@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi I know the democrats are a bunch of corrupt politicians.
48,Thu Oct 22 16:20:07 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi saw an opportunity to grow and fight in #Afghanistan against the Soviets, who invaded #Afghanistan on Christmas day, 1979."
49,Thu Oct 22 16:17:03 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi Jimmy Carter is not the founder of Islamic regime. He brokered the peace deal 1978 peace treaty between Egypt and Israel, which fueled Jihadist terrorism and gave rise to jihadi groups like al-Jama'a Islamiyyah &amp; Egyptian Islamic Jihad, &amp; whose members, along with Abdallah Azzam,"
50,Thu Oct 22 16:13:09 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi That's horrible. However, US supports Saudi Arabia, a horrible regime that crucifify and behead people and a terror sponsor, even though they consider the Iranian regime, as a despotic authoritarian regime and as an adversary. No outrage there. Do you see the hypocrisy?"
51,Thu Oct 22 16:07:44 +0000 2020,"@BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi By the way, did you know Demonstrates are a bunch of currupted politicians?"
52,Thu Oct 22 16:02:21 +0000 2020,"@BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi You are obviously a supporter of islamic regime occupying iran., you definitely are."
53,Thu Oct 22 16:02:18 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi receives no funding from #Iran's government nor the US government. They get their funding  from American philanthropic foundations, such as the Ploughshares Fund and Rockefeller Brothers Foundation. I will not speak against Iran sanctions and critics of the JCPOA, however..."
54,Thu Oct 22 15:58:41 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi Again. No evidence. I'm not a supporter of the #Iranian regime. I do wish the people of #Iran to have a democratic system that represents their interests. @tparsi has regularly criticized the Iranian regime. The @NIACouncil is a non-profit 501(c)(3) civil society, NGO that..."
55,Thu Oct 22 15:47:25 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi those assets and gave Iran access to it because they no longer under sanctions. The $1.8 billion was money and interest that the US owed Iran from previous arms deals, since 1979, which they had froze after the Iranian Islamic revolution of 1979, the US hostage crisis, and the"
56,Thu Oct 22 15:46:16 +0000 2020,"@BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi Trita parsi is a traitor to people in Iran. NIAC is an islamic regime's lobbyist &amp; apologist group, just like Negar Mortazavi. You are defending tyrants and killers and oppressors and their supporters, most probably knowingly, if not, you've been lied to, and that's it."
57,Thu Oct 22 15:42:52 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU @NIACouncil @tparsi received, it was their money/financial assets that were frozen in international bank accounts. When Iran agreed to adhere to/comply with the stipulations &amp; limits listed in the #JCPOA, the UN Security Council agreed to lift the international sanctions off #Iran, which unfroze"
58,Thu Oct 22 15:38:06 +0000 2020,"@mtrkeh @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU None of them work for @NIACouncil. NIAC is a moderate lobbying group who regularly criticizes the regime, however are against the Iran sanctions &amp; Trump's JCPOA exit. Ask @tparsi. Obama did not pay ""millions"" to terrorists. If you're referring to the $150 billion that Iran...."
59,Thu Oct 22 05:44:07 +0000 2020,@BoriLoco91 @Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU Working anywhere doesn't change the fact that she is an islamic regime's agent. They even had agents inside the whitehouse. Just read about NIAC and it's agenda and how they arranged that Obama paid millions to terrorists. These are all related and known to Iranians.
60,Thu Oct 22 05:13:23 +0000 2020,"@Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU (Taeb and Mortazavi) maybe fervent left wing progressive liberals who believe in universal healthcare and free college, but they are not ""agents"" of the Iranian regime. Stupid baseless conspiracy theories."
61,Thu Oct 22 05:11:02 +0000 2020,"@Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi @nytimes @HuffPost @AlJazeera @PRI @BBC @MSNBC @BrandeisU Yasmine Taeb is an Iranian-American human rights lawyer and DNC official. She was a senior She is a senior policy counsel at the Center for Victims of Torture, where she conducted research on CIA torture programs at the black site and was an ardent critic of Gina Haspel. They"
62,Thu Oct 22 05:06:14 +0000 2020,"@Ibn_alMuqaffa @adrianahoyos @DailyCaller @NegarMortazavi is an Iranian-American journalist you idiot. She's worked for the @nytimes, @HuffPost, @AlJazeera, @PRI, @BBC, @MSNBC, and international outlets in #Lebanon, #Iraq, #Israel, #Turkey, #Japan, and  #Switzerland. She went to @BrandeisU in Waltham, Massachusetts."
63,Wed Oct 21 21:24:12 +0000 2020,"RT @Health_Affairs: Live now, Dolares Acevedo-Garcia of @BrandeisU explains the findings of the Child Opportunity Index 2.0 from her resear…"
64,Wed Oct 21 20:52:37 +0000 2020,"RT @Health_Affairs: Live now, Dolares Acevedo-Garcia of @BrandeisU explains the findings of the Child Opportunity Index 2.0 from her resear…"
65,Wed Oct 21 18:42:56 +0000 2020,"RT @Health_Affairs: Live now, Dolares Acevedo-Garcia of @BrandeisU explains the findings of the Child Opportunity Index 2.0 from her resear…"
66,Wed Oct 21 18:34:07 +0000 2020,"RT @Health_Affairs: Live now, Dolares Acevedo-Garcia of @BrandeisU explains the findings of the Child Opportunity Index 2.0 from her resear…"
67,Wed Oct 21 18:33:57 +0000 2020,"Live now, Dolares Acevedo-Garcia of @BrandeisU explains the findings of the Child Opportunity Index 2.0 from her research. “There are large inequities in child opportunity across the country, but 91% of inequities happen within metropolitan areas."" #ChildrensHealth #Equity"
68,Wed Oct 21 05:04:46 +0000 2020,@RBReich @BrandeisU take note of this disgrace
69,Tue Oct 20 22:33:51 +0000 2020,@waterfrontbos @BrandeisU @faithevebee @ferryfaerie @BrandeisUAlumni @BostonHarborNow @HeyThereHarbor Awesome - hope to see you at the event! :)
70,Tue Oct 20 22:25:35 +0000 2020,@science_hitch @BrandeisU @faithevebee @ferryfaerie @BrandeisUAlumni We have at least two alums at @BostonHarborNow. Director of Programming @HeyThereHarbor is also a fellow Brandeisian. 🦉🦉
71,Tue Oct 20 22:19:13 +0000 2020,@waterfrontbos @BrandeisU @faithevebee @ferryfaerie @BrandeisUAlumni have the coolest jobs! I didn't know about this connection.
72,Tue Oct 20 19:47:47 +0000 2020,@chrislhayes Freshman year classic at @BrandeisU
73,Tue Oct 20 16:31:30 +0000 2020,@ThereseSteiner @aleliabundles @BillKristol @Dr_ChadWilliams @BrandeisU @ACLU @DonnaGayleBrown @sylvestermonroe @mmedry @mcurtisnc3 @Sunny_Slaughter @sree @wallstdemocrat @DrAlliRich @JowettNatalie @JusticethruArts Wow! Head on. Say its name. Great panel!
74,Tue Oct 20 05:10:32 +0000 2020,@juanes_lab @CurrentBiology @BrandeisU @teesideuni @TU_NHC Congratulations 🎉
75,Tue Oct 20 05:01:07 +0000 2020,"Just reading the latest-yuk-it occurs to me I’ve gone to school with (at least) 3 Famous People who’ve been caught in high-profile Scandals. 2 went to @Harvard_Law, 1 @BrandeisU. 2 of the Scandals involved sex, 1 (kinda 2) involved money. All white men. Coincidence? I think not."
