,created_at,full_text
0,Mon Oct 26 18:14:45 +0000 2020,RT @BYU: RT if your team is still undefeated.
1,Mon Oct 26 18:11:47 +0000 2020,"RT @BYU: “People talk about negative impacts for veterans: they’re damaged, they have PTSD, they’re violent, they’re more likely to divorce…"
2,Mon Oct 26 17:36:38 +0000 2020,"“People talk about negative impacts for veterans: they’re damaged, they have PTSD, they’re violent, they’re more likely to divorce. We should be mindful of these aspects, but we ought to look at the whole experience of veterans and the positive contributions of military service."""
3,Mon Oct 26 16:23:50 +0000 2020,@sarahansen201 @HeardAtBYU @BYU #scamdemic Some people are just smarter than others. Heaven forbid they show it.
4,Mon Oct 26 16:12:27 +0000 2020,"@sarahansen201 @BYU ""lEt'S nOt MaKe ThIs PoLiTiCaL."" 

It's not. It's science! You'd think people studying science for their chosen profession would appreciate that."
5,Mon Oct 26 15:41:37 +0000 2020,@danielallan224 @BYU It’s a complete lack of empathy and respect
6,Mon Oct 26 15:38:41 +0000 2020,@sarahansen201 @BYU This is horrifying. The requirement to wear a mask is no more an infringement on freedom than the requirement to wear shoes and a shirt.
7,Mon Oct 26 15:30:05 +0000 2020,@uku_hailey @BYU Spot on
8,Mon Oct 26 15:22:03 +0000 2020,@uku_hailey @sarahansen201 @BYU just because they don’t like being called out for their bs it doesn’t make it a “political” issue all of a sudden lmao
9,Mon Oct 26 15:20:54 +0000 2020,@sarahansen201 @BYU I’m dying at the “let’s not get political :) I don’t like when conversations are had :) opinions scare me :) I’d rather sit in silence than watch someone call another person out for their bs :) :) just a suggestion! :) :) :)”
10,Mon Oct 26 15:15:06 +0000 2020,"@sarahansen201 @BYU “Take covid seriously, it’s dangerous!”

“Woah woah, lets not get political here!!”

Wonder why they see it as a political issue🥴"
11,Mon Oct 26 13:56:13 +0000 2020,"@BYU Hi Um i am new BYU fan 

Chicago bears. Need a Qb for the Future soo Lets go Zach"
12,Mon Oct 26 04:43:37 +0000 2020,@juttlieberman @addieeg Interesting. You would imagine @BYU would have better sex Ed classes. No one wants a pruned penis.
13,Mon Oct 26 04:38:17 +0000 2020,RT @sjgayauthor: Saw pics of fans *not* social distancing at the BYU game. What’s that about it being safe again? What’s that about this be…
14,Mon Oct 26 04:32:59 +0000 2020,@jmargetts13 @BYU Yeah idk either. it’s the twitter(?) for me though
15,Mon Oct 26 04:29:38 +0000 2020,@DeplorableUte @jessicaxfoard @allenpickett10 @fox13 My guess is @BYU is trying to control on campus spread by mass testing so they know who needs to isolate. The way they have found as incentive is by threatening that those who do not test just isolate. I doubt they are reporting it as positive tests 🙄
16,Mon Oct 26 04:07:18 +0000 2020,"@BelericaOquendo @kloading18 Oh, no. @kloading18 gonna be around for some time at @BYU, and should be getting more touches in the weeks ahead.

Dude is a legit receiver. With speed. And soft hands."
17,Mon Oct 26 03:49:08 +0000 2020,RT @sjgayauthor: Saw pics of fans *not* social distancing at the BYU game. What’s that about it being safe again? What’s that about this be…
18,Mon Oct 26 03:04:56 +0000 2020,"RT @BYU: ""God loves unity and desires for us, His children, to be unified.""

- @EbooPatel #byudevo"
