,created_at,full_text
0,Mon Oct 26 16:47:23 +0000 2020,@greenesoprano @BklynCollege411 so sad
1,Mon Oct 26 16:29:51 +0000 2020,"The session starts at 1 pm. Dr. Taylor is a graduate of @BklynCollege411 and @GC_CUNY and has published several books, including Fight the Power: African Americans and the Long History of Police Brutality in New York City."
2,Mon Oct 26 12:50:46 +0000 2020,@greenesoprano @nferno @BklynCollege411 This is pretty bad!
3,Mon Oct 26 07:25:34 +0000 2020,"@TisharraRahl @mountainmama91 @greenesoprano @williamlegate @BklynCollege411 Who wears than in NYC.

You're not allowed to. You'd get your ass kicked.

That's why almost all of us stay in the f*cking closet in NYC.  We'd get beat up and insulted and hurt.

Look what happened to the Jews for Trump people."
4,Mon Oct 26 07:20:17 +0000 2020,@tomaspaine76 @mountainmama91 @greenesoprano @williamlegate @BklynCollege411 Yeah. We always run around wearing MAGAt gear made in China...
5,Mon Oct 26 06:34:51 +0000 2020,@greenesoprano @BklynCollege411 @HeadlinerClip caption
6,Mon Oct 26 03:30:26 +0000 2020,@seebrooklyn @Bdubbsnyc @greenesoprano @BklynCollege411 Anyone blaming Jews in this neighborhood for calling in a complaint is trying to start trouble. We have seen this happen all over. White supremacists pull this shit all the time. The FBI just reported on this and we all KNEW who was pulling this shit. Be careful y’all.
7,Mon Oct 26 03:05:00 +0000 2020,@Bdubbsnyc @BunneeShelton @greenesoprano @BklynCollege411 What cul de sacs?
8,Mon Oct 26 02:53:43 +0000 2020,@seebrooklyn @Bdubbsnyc @greenesoprano @BklynCollege411 I grew up in Midwood. It’s all predominantly Jewish.
9,Mon Oct 26 02:48:45 +0000 2020,RT @Bdubbsnyc: @greenesoprano @BklynCollege411 I was in this line and heard that the residents complained. The poll workers took steps to r…
10,Mon Oct 26 02:44:30 +0000 2020,RT @MichelleMonlo: @greenesoprano @shaunking @BklynCollege411 🙄 I see white people everywhere should I report that? Wtf is wrong with peopl…
11,Mon Oct 26 02:44:01 +0000 2020,RT @seebrooklyn: @Bdubbsnyc @greenesoprano @BklynCollege411 I heard some of the complaints as well.  The line went into a predominately jew…
12,Mon Oct 26 02:43:56 +0000 2020,RT @Bdubbsnyc: @greenesoprano @BklynCollege411 I was in this line and heard that the residents complained. The poll workers took steps to r…
13,Mon Oct 26 02:43:19 +0000 2020,"RT @greenesoprano: @EllaFrederickNY @BklynCollege411 as an alum, I think this is also a wake up call for @BklynCollege411 and @BCPresAnders…"
14,Mon Oct 26 02:43:18 +0000 2020,"RT @greenesoprano: @EllaFrederickNY @BklynCollege411 The neighborhood surrounding brooklyn college is SUPER diverse. Sadly, not all populat…"
15,Mon Oct 26 02:43:10 +0000 2020,RT @EllaFrederickNY: @greenesoprano @BklynCollege411 We’re just in that line talking about how this was freaking out that very Trump neighb…
16,Mon Oct 26 02:21:50 +0000 2020,"@greenesoprano @EllaFrederickNY @BklynCollege411 It’s diverse, but it’s very segregated. I live here, I know. The difference between the blocks with mostly apartments and the blocks with single family houses is literally black and white."
17,Mon Oct 26 01:09:22 +0000 2020,RT @Reesistor: @greenesoprano @BklynCollege411 I'm so confused on this one. Half of me is absolutely enraged at the caller and the other ha…
18,Mon Oct 26 00:49:43 +0000 2020,@greenesoprano @BklynCollege411 I'm so confused on this one. Half of me is absolutely enraged at the caller and the other half wants to jump for joy at so many black people voting. I need coffee.
19,Mon Oct 26 00:43:30 +0000 2020,"@theabsurdhero @TweetingYarnie @greenesoprano @shaunking @BklynCollege411 That's a good thing.

But most white liberals that are soooo progressive and care sooooo much about diversity live in ultra white segregated wealthy neighborhoods in NY, California, etc.

The way they live their lives belie their stated values."
20,Mon Oct 26 00:15:43 +0000 2020,RT @EllaFrederickNY: @greenesoprano @BklynCollege411 @BCPresAnderson Calling the police on black voters! This has to be called out. @luvsof…
21,Sun Oct 25 22:28:35 +0000 2020,@Yvonne4166 @greenesoprano @shaunking @BklynCollege411 There was a little trump get together today in the small town by mine. I thought about it. Lol.... for a second
22,Sun Oct 25 22:02:57 +0000 2020,@greenesoprano @BklynCollege411 What a freaking boob
23,Sun Oct 25 19:59:03 +0000 2020,"@bklyncyclone83 @pearsoncrz @greenesoprano @BklynCollege411 There's like 2 Republicans.

But lots of racist white liberal Democrats.

Oh of course they don't ""say it.""  They use code words like ""up and coming neighborhood"" and I want to live in a neighborhood with a ""good school district"" to express their segregated ways."
24,Sun Oct 25 19:15:25 +0000 2020,@tomaspaine76 @pearsoncrz @greenesoprano @BklynCollege411 There are some Republicans here. They are a small minority in most neighborhoods but not all.
25,Sun Oct 25 19:08:04 +0000 2020,"@JBOrl11 @greenesoprano @samwhiteout @BklynCollege411 There was always a law, they just are deciding to occasionally enforce it now! #amycooper"
26,Sun Oct 25 18:34:12 +0000 2020,RT @BaysideRory: @greenesoprano @6to12elbow @BklynCollege411 Black Lives Matter and Black Votes Matter!!
27,Sun Oct 25 18:20:04 +0000 2020,@greenesoprano @stanley_earl_jr @BklynCollege411 ykw ima start calling the police on white ppl cause wtf is this
28,Sun Oct 25 17:53:51 +0000 2020,"@MarkFaria @MichelleMonlo @greenesoprano @shaunking @BklynCollege411 I do. Every time. I call and report a terrorist.
The cops haven’t fined me yet."
29,Sun Oct 25 16:57:25 +0000 2020,RT @BaysideRory: @greenesoprano @6to12elbow @BklynCollege411 Black Lives Matter and Black Votes Matter!!
30,Sun Oct 25 16:08:41 +0000 2020,@Adam_Michaelson @tomaspaine76 @greenesoprano @BklynCollege411 Reported &amp; blocked.
31,Sun Oct 25 15:01:37 +0000 2020,@RoadDaw25575800 @greenesoprano @Jacob4progress @BklynCollege411 These crakkkas think we dumb smh
32,Sun Oct 25 14:56:42 +0000 2020,"@greenesoprano @lorenkwaters @shaunking @BklynCollege411 @CitizenAppNYC Exactly why you need to go back to the fields you came from , need apps to tell u it's safe outside 😂 a map app to tell you the trains,  if it wasn't for these apps y'all would still be in Middle America worrying about meth"
33,Sun Oct 25 14:49:47 +0000 2020,"@GarGwill @twstedcyclepath @greenesoprano @People4Bernie @BklynCollege411 Look at this guy reping antifa and BLM ... THIS IS THE ""NEW"" WHITE SUPREMACY. They won't be upfront cus there's hate crimes instead they pretend to be on your side then sell you the fuck out ...BLM is Anti Black MAN.Antifa destroying the hood not Wall Street."
34,Sun Oct 25 13:52:41 +0000 2020,RT @BaysideRory: @greenesoprano @6to12elbow @BklynCollege411 Black Lives Matter and Black Votes Matter!!
35,Sun Oct 25 13:49:42 +0000 2020,"@qinghu @BGSHonorSociety @bckoppelman @BklynCollege411 @CUNY Great advice, thanks for sharing"
36,Sun Oct 25 13:38:20 +0000 2020,"@Mr_Jacksonandon @MichelleMonlo @greenesoprano @shaunking @BklynCollege411 I have done the same thing, anytime I see these “open carry” jerkoffs."
37,Sun Oct 25 12:23:53 +0000 2020,RT @Flamingogrrl: @greenesoprano @justinhendrix @BklynCollege411 I guess mass quantities of early voters really freak white supremacists ou…
38,Sun Oct 25 12:16:40 +0000 2020,@tomaspaine76 @greenesoprano @BklynCollege411 Yea the libs have been the one saying there isn't a race issue boy good one. Worked hard im sure on that one...and what no rich people on republican side?
39,Sun Oct 25 12:10:04 +0000 2020,"@greenesoprano @BklynCollege411 Filing a false report is a crime, trace the call and arrest the person."
40,Sun Oct 25 11:31:34 +0000 2020,@twstedcyclepath @greenesoprano @People4Bernie @BklynCollege411 They want the police to 'deal with the problem'
41,Sun Oct 25 09:09:38 +0000 2020,@RoadDaw25575800 @justifiedjay @greenesoprano @BklynCollege411 Nah you shut up mayo boy.
42,Sun Oct 25 08:12:01 +0000 2020,"@mwpolitico @Yuppy_Puppys @greenesoprano @williamlegate @BklynCollege411 Yes, we’re registered automatically. And our polling stations are so numerous (and our voter turnout so low) that there are almost no lines."
