,created_at,full_text
0,Mon Oct 26 18:09:21 +0000 2020,Saddened to learn of the passing of Prof. Anani Dzidzienyo. His smile always lit up a room as did his warmth and kindness. RIP great man. ❤️@BrownUniversity #AfricanaStudies
1,Mon Oct 26 18:06:45 +0000 2020,@shittybonmots @BrownUniversity Im so sorry for your loss
2,Mon Oct 26 17:59:30 +0000 2020,"@maireneq @Brown_SPH @BrownUniversity NICE - anything but! By your own words: ""Our guidelines help health and social care professionals to: prevent ill health."" By the way the NHS treated, and is treating, its patients with other illnesses than Covid-19, you have FAILED miserably."
3,Mon Oct 26 17:17:17 +0000 2020,@MarieMyungOkLee @BrownUniversity Not to mention we’re still in early phases of studying immunity to this virus because we barely understand any of how that part of this all works.
4,Mon Oct 26 17:12:34 +0000 2020,"I took a biomed class at @BrownUniversity on vaccine development and the vaccine worked on DID create antibodies but was NOT EFFECTIVE so it never went to market. This is COMMON, as the human immune system is tricky"
5,Mon Oct 26 16:52:52 +0000 2020,"@YourMindinBloom @Yale @BrownUniversity @BrownandProv @INFONewHaven @DowntownNHV @TheShopsatYale @ThayerStreetPVD @YaleMed We hope you'll be able to visit again soon! ☕️ Thanks for checking in, and we hope you're doing well!"
6,Mon Oct 26 16:51:00 +0000 2020,@shittybonmots @BrownUniversity A beautiful man indeed!!
7,Mon Oct 26 16:50:31 +0000 2020,"RT @shittybonmots: One of my favorite professors at @BrownUniversity has gone home to the ancestors. Anani Dzidzienyo was a beautiful man,…"
8,Mon Oct 26 16:48:06 +0000 2020,"RT @shittybonmots: One of my favorite professors at @BrownUniversity has gone home to the ancestors. Anani Dzidzienyo was a beautiful man,…"
9,Mon Oct 26 16:44:34 +0000 2020,"RT @shittybonmots: One of my favorite professors at @BrownUniversity has gone home to the ancestors. Anani Dzidzienyo was a beautiful man,…"
10,Mon Oct 26 16:39:15 +0000 2020,"RT @shittybonmots: One of my favorite professors at @BrownUniversity has gone home to the ancestors. Anani Dzidzienyo was a beautiful man,…"
11,Mon Oct 26 16:33:47 +0000 2020,@brightg13 @BrownUniversity That seriously warms my heart. He was so dedicated to his students and to the work.
12,Mon Oct 26 16:25:00 +0000 2020,@shittybonmots @BrownUniversity Such a huge loss! Part of my research focuses on Prof. Dzidzienyo’s contributions to the development of Black Studies
13,Mon Oct 26 16:19:58 +0000 2020,"RT @shittybonmots: One of my favorite professors at @BrownUniversity has gone home to the ancestors. Anani Dzidzienyo was a beautiful man,…"
14,Mon Oct 26 16:19:31 +0000 2020,"RT @brightg13: Prof. Dzidzienyo was a leading scholar of Afro-Latin American politics and history, specifically on Afro-Brazilians. He taug…"
15,Mon Oct 26 16:19:26 +0000 2020,"RT @brightg13: Wow! Professor Anani Dzidzienyo has joined the ancestors. What a great loss! Prof. Dzidzienyo, a Ghanaian scholar, pioneered…"
16,Mon Oct 26 16:15:41 +0000 2020,"RT @shittybonmots: One of my favorite professors at @BrownUniversity has gone home to the ancestors. Anani Dzidzienyo was a beautiful man,…"
