,created_at,full_text
0,Mon Oct 26 14:19:32 +0000 2020,@witfnews @BucknellU E-cigarettes don't produce carbon monoxide unless cranked up on a dry hit that no vapor would ever inhale.  Carbon monoxide (CO) is a product of combustion.  E-cigarettes are not combustion-based.  Numerous studies show blood CO plummets when smokers switch to nicotine vaping.
1,Sat Oct 24 21:18:33 +0000 2020,@thserra @KayseMaass @annasdtc @BucknellU Thanks for sharing. I bookmarked this and will be sharing also with my students.
2,Sat Oct 24 21:12:32 +0000 2020,@KayseMaass @thserra @BucknellU Yay!!!! Thanks so much!!
3,Sat Oct 24 02:20:46 +0000 2020,@thserra @annasdtc @BucknellU Wonderful!! Thanks for sharing!
4,Fri Oct 23 22:39:43 +0000 2020,@annasdtc @BucknellU @thserra Any chance this was recorded? I'd love to watch!
5,Fri Oct 23 18:15:31 +0000 2020,@DeborahSills @michiganstateu @BucknellU We have a requirement. But apparently it isn't enforced. University physician will hear from me
6,Fri Oct 23 18:11:09 +0000 2020,@Susan_Masten @michiganstateu Big part of my life is fighting for masking on campus @BucknellU
7,Thu Oct 22 23:24:16 +0000 2020,"@mikey718_ @BucknellU Yes, let’s talk!!"
8,Thu Oct 22 23:09:40 +0000 2020,@artfullyawear @BucknellU I appreciate that 🙏🏾 would love to collab with you and the team one day on something for the culture.
9,Thu Oct 22 23:09:10 +0000 2020,@D0MINICANNA @BucknellU Thank you 🙏🏾
10,Thu Oct 22 21:06:12 +0000 2020,@epchamberlin @BucknellU Looks awesome and way fun!
11,Thu Oct 22 17:13:02 +0000 2020,And thanks to a @BucknellU alumna for sharing this opportunity with us through LinkedIn! We &lt;3 when you #HireABison
12,Thu Oct 22 15:57:51 +0000 2020,"I would like to commend 
@BucknellU for its outstanding job on keeping the students safe, on campus and in classroom learning.  It hasn’t been easy but they have been working diligently to make this happen.  
@gettysburg
 ...not so much. #bucknell #gburg #gettysburg #bucknellians"
13,Thu Oct 22 12:07:14 +0000 2020,@mikey718_ @BucknellU Love this
14,Thu Oct 22 11:16:36 +0000 2020,@mikey718_ @BucknellU Loved reading about your passions &amp; enjoyed this format. You’re an inspiration!!
15,Thu Oct 22 00:49:19 +0000 2020,@kafurlong @BucknellU Thanks for joining us tonight!
16,Wed Oct 21 23:40:55 +0000 2020,@StadlerCenter Thank you for bringing Ross Gay to @bucknellu! It was a joy to loiter &amp; lollygag and meet Uncle Earle tonight.
17,Wed Oct 21 22:06:11 +0000 2020,@RudyElie @BucknellU @holy_cross Oh I remember playing them that’s dope. Appreciate you 🙏🏾🙏🏾
18,Wed Oct 21 21:28:06 +0000 2020,@mikey718_ @BucknellU You went to the rival school of my alma mater @holy_cross but bro this here is so dope.
19,Wed Oct 21 20:31:47 +0000 2020,@MartineBotany @BucknellU @BucknellCAS Nice view 😁😁
20,Wed Oct 21 18:11:09 +0000 2020,@_willthompson @BucknellU thank you 🙏🏾
21,Wed Oct 21 18:04:42 +0000 2020,@mikey718_ @BucknellU This is rad congrats
22,Wed Oct 21 17:35:49 +0000 2020,"@mikey718_ @BucknellU Three up top, brother!"
23,Wed Oct 21 17:30:08 +0000 2020,@mikey718_ @BucknellU The GOAT getting some flowers! Let's goooo!
24,Mon Oct 19 19:30:35 +0000 2020,"RT @YllonaJanine: @aswadiaspora @Bibliophilenick @BucknellU @PSUPress This book looks fascinating! Added to my list, and sending the link t…"
25,Mon Oct 19 18:55:37 +0000 2020,@YllonaJanine @aswadiaspora @BucknellU @PSUPress Thank you!! 🥳🥳🙏🏾🙏🏾🎉🎉
26,Mon Oct 19 18:51:33 +0000 2020,"@aswadiaspora @Bibliophilenick @BucknellU @PSUPress This book looks fascinating! Added to my list, and sending the link to others. 👏🏽 🎭👏🏽"
