,created_at,full_text
0,Mon Oct 26 17:37:16 +0000 2020,@jillianldempsey @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor Adding to the family! 🥳
1,Mon Oct 26 17:04:43 +0000 2020,@marcuswdrover @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor Very nice work!!
2,Mon Oct 26 17:01:01 +0000 2020,@marcuswdrover @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor Ooh!  Another example of Cp protonation! Awesome!
3,Mon Oct 26 15:50:33 +0000 2020,@marcuswdrover @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor Nice work Marcus! Very cool stuff!
4,Mon Oct 26 15:38:11 +0000 2020,@connormacneil @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor Cheers!
5,Mon Oct 26 15:38:07 +0000 2020,@ANDesnoyer @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor Thanks Addison!
6,Mon Oct 26 15:35:48 +0000 2020,@marcuswdrover @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor Well done Marcus!
7,Mon Oct 26 15:29:35 +0000 2020,"@JosephSchember Regarding the closure of Erie Coke, have you thought about calling your sister ""who is a Rocket Scientist with a Ph.D. in Fluid Mechanics from Cal Tech"" to solve the pollution issues? @Caltech #caltech #coal #failingeconomy #GreenNewDeal"
8,Mon Oct 26 15:29:06 +0000 2020,"@marcuswdrover @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor Well done, Marcus. Very nice!"
9,Mon Oct 26 14:45:59 +0000 2020,"@marcuswdrover @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor Nice, congrats! 🥳 #IronIsTheBest 😉"
10,Mon Oct 26 14:37:06 +0000 2020,"@manar2710 @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor ty, Manar!"
11,Mon Oct 26 14:32:02 +0000 2020,@LehighChemist @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor Cheers! We've certainly read many of your team's papers in the area! 😊
12,Mon Oct 26 14:30:44 +0000 2020,@marcuswdrover @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor Congrats!
13,Mon Oct 26 14:29:43 +0000 2020,@marcuswdrover @J_A_C_S @Caltech @CaltechCCE @ChemUWindsor Beautiful work!
14,Mon Oct 26 00:28:22 +0000 2020,"@lpachter @Caltech Nice job @caltech! Keep everyone safer, on campus or off."
15,Sun Oct 25 08:09:10 +0000 2020,"@doc_lex @GJ_Both @AnimaAnandkumar @kazizzad @Caltech Sorry I am not very familiar with the volterra integro-differential equations. But our method can work as a black box. If you have a dataset of inputs and outputs, you can learn an operator on that. Thanks!"
16,Sun Oct 25 02:35:37 +0000 2020,@ZongyiLiCaltech @GJ_Both @AnimaAnandkumar @kazizzad @Caltech Curious: does this work for volterra-type   integro-differential equations?
17,Sat Oct 24 23:17:36 +0000 2020,@rileynoceros @Caltech arrrghhh
18,Sat Oct 24 21:53:10 +0000 2020,@rileynoceros @GrebeFoot @Caltech A sacrifice to the Amazon gods 🙏
19,Sat Oct 24 19:54:17 +0000 2020,"@3blue1brown
 Many thanks for ""Essence of Linear Algebra""! Watching them had an *unbelievable* return-on-investment when I took linalg two yrs ago. I recommend them often at @Caltech (and you've gotten my first and only Patreon donation, as a belated token of my gratitude)."
20,Sat Oct 24 19:33:57 +0000 2020,"@muir_jack @Caltech I’m going to try to get them to reimburse me for the plants/seeds at least, but knowing caltech..."
21,Sat Oct 24 19:11:33 +0000 2020,@rileynoceros @Caltech Can you bill them for lost labor &amp; capital investment?
22,Sat Oct 24 18:51:37 +0000 2020,"@GrebeFoot @Caltech Just bed 4, which includes both of my plots :( they are putting a cable in for the amazon building, so we’ll be able to replant after. But we will lose everything we’ve been waiting all summer for 😭"
23,Sat Oct 24 18:48:06 +0000 2020,@rileynoceros @Caltech oh noo they’re bulldozing that garden? I want to just evaporate
24,Sat Oct 24 10:57:40 +0000 2020,RT @Wojtek_44: @Ojdadana @UTP_Bydgoszcz @polonium_org @Caltech @MIT @elonmusk @ETH_en @Stanford @BBCScienceNews @Harvard @UTPOfficial @EPFL…
25,Sat Oct 24 10:57:30 +0000 2020,"@Ojdadana @UTP_Bydgoszcz @polonium_org @Caltech @MIT @elonmusk @ETH_en @Stanford @BBCScienceNews @Harvard @UTPOfficial @EPFL @ScienceMagazine I see what the person did there - Jan Czochralski was named ""Berlin scientist"" instead of Polish.

Do also note that no Western Twitter account devoted to science and engineering tweeted anything about Czochralski #OTD. If he were a Westerner, he would be a scientific hero today."
26,Sat Oct 24 03:41:42 +0000 2020,"@elizabethweill @Taniel @Caltech @NASAJPL ""Tear down this wall"", America."
27,Sat Oct 24 03:40:27 +0000 2020,"@elizabethweill @Taniel Funny, the whole time I was in elementary school, once a month we practiced getting under desks so we'd be convenient carbon lumps when USSR incinerated General Dynamics, @Caltech, &amp; @NASAJPL 'cause we fought against such tyrannies. LA's air raid sirens rang monthly 'til '85."
28,Sat Oct 24 03:04:12 +0000 2020,@UeliRutishauser @UCBerkeley @UCBerkeleyNeuro @berkeleyMCB @Caltech That would be amazing! :)
29,Sat Oct 24 02:40:11 +0000 2020,"@doristsao @UCBerkeley @UCBerkeleyNeuro @berkeleyMCB Congratulations Doris !! We will miss you very much in Pasadena, big win for @UCBerkeleyNeuro , huge loss for @Caltech. maybe i should join you :)"
30,Fri Oct 23 21:12:02 +0000 2020,@jrmstrng @cobarnes27 @Caltech We missed it but would love to get access to a recording if there is one available?
31,Fri Oct 23 20:00:12 +0000 2020,"@ZongyiLiCaltech @AnimaAnandkumar @kazizzad @Caltech Thank you!
I don't see the link to the code here.
We can discuss the application of your approach to complex geometries. I will message you."
32,Fri Oct 23 19:57:43 +0000 2020,@knutson_brain @Caltech I think the copyright expired long ago.
33,Fri Oct 23 19:52:56 +0000 2020,@AFNIman @Caltech Hope you don’t mind if I steal that word...
34,Fri Oct 23 19:15:52 +0000 2020,"@knutson_brain Even after 27 years in fMRI, I’m still astounded and horrified by people who never look at their data. When I was a kid at @Caltech , we had a word for that level of shock - “Gnog”."
35,Fri Oct 23 18:27:39 +0000 2020,"@khanacademy Hogwarts for high school 
, @Caltech for undergrad (which I did!!) and Starfleet Academy for grad school 😄. #Ravenclaw #GDBG #TTBOAI"
36,Fri Oct 23 12:58:18 +0000 2020,"@DrHaroldChang @MIT_CSAIL @Caltech When I need you to speak - I'll smile at you. Otherwise keep looking pretty and crunch those numbers.

ps: also solve global warming, feeding 12bn, unlimted free energy and internet from space without wires.

Now get cracking"
37,Fri Oct 23 12:36:22 +0000 2020,@unsorsodicorda @SmallerNNsPls @AnimaAnandkumar @kazizzad @Caltech @threadreaderapp please unroll
38,Fri Oct 23 10:49:24 +0000 2020,@iamdelboy @MIT_CSAIL @Caltech ya explain it like we're your trophy wife
39,Fri Oct 23 06:31:02 +0000 2020,"It's quite fascinating to see that how a Ph.D seeks a non-professional man for donations to his work.
#fascinating
@Fermilab @Caltech"
40,Fri Oct 23 05:31:39 +0000 2020,"@kazizzad @ZongyiLiCaltech @AnimaAnandkumar @Caltech Thank you very much, you meant his github repo, right? I will check out it later on, and perhaps read the papers thoroughly as well 👍"
41,Fri Oct 23 05:21:24 +0000 2020,"@AnimaAnandkumar @ZongyiLiCaltech @chenna1985 @kazizzad @Caltech Oh, so nice of you! Thank you!

But yes, the Taylor-Couette system can make for a good benchmark.  Step 1. Modelling states near regime boundaries. 2. Modelling transitions between regimes. 3. Accu. of a trained model over a large volume (many regimes) in the *parameters* space."
42,Fri Oct 23 04:22:06 +0000 2020,"@liufu_ty @ZongyiLiCaltech @AnimaAnandkumar @Caltech Why later, right now, the recent works by @ZongyiLiCaltech can be used for such applications."
43,Fri Oct 23 04:03:46 +0000 2020,"@ZongyiLiCaltech @AnimaAnandkumar @kazizzad @Caltech Sorry I am very new to this but I would like to ask: could this method later be a good candidate for 3d games or visual effects that generating real time water, air, cloud, fire or dust movement?"
44,Fri Oct 23 01:48:54 +0000 2020,"@jennthetutor @ArunWise @Cornell @TestFreeNow @WeGo2CollegeLLC @nikklani @Caltech Also, I've been wondering what content I would use the gif you posted lol"
45,Fri Oct 23 01:48:13 +0000 2020,@jennthetutor @ArunWise @Cornell @TestFreeNow @WeGo2CollegeLLC @nikklani @Caltech Lol. Twitter character limits wouldn't let me add it. Twitter thinks I'm aggressive and a dick.
46,Fri Oct 23 01:47:32 +0000 2020,@unsorsodicorda @SmallerNNsPls @AnimaAnandkumar @Caltech Thanks for the list dear @unsorsodicorda
47,Fri Oct 23 01:45:22 +0000 2020,@unsorsodicorda @SmallerNNsPls @AnimaAnandkumar @kazizzad @Caltech What are the recommended books for someone who know the theory of PDEs (Evans) and no experience in DL/ML? Interested in ML techniques to solve Naviers Stokes for solid earth and associated seismicity.
48,Fri Oct 23 01:33:25 +0000 2020,@SusanGroden @CounselorTejada @Cornell @TestFreeNow @WeGo2CollegeLLC @nikklani @Caltech Awww this made my night!
49,Fri Oct 23 01:29:05 +0000 2020,@CounselorTejada @jennthetutor @Cornell @TestFreeNow @WeGo2CollegeLLC @nikklani @Caltech Really great conversation! I plan to share with families when it’s available!
50,Fri Oct 23 00:45:34 +0000 2020,"@CounselorTejada @jennthetutor @Cornell @TestFreeNow @WeGo2CollegeLLC @nikklani @Caltech Hey, I think someone hacked your account bro b/c there's no Sasha Banks GIFs. You might want to look into that!

Also, this series is terrific. Thank you and @jennthetutor for having the vision and executing on it! Look forward to checking them out."
51,Fri Oct 23 00:42:24 +0000 2020,"@akilbello @CounselorTejada @Cornell @TestFreeNow @WeGo2CollegeLLC @nikklani @Caltech You were mentioned 

The “Akil rule”- if you say we need a test you have to take it"
52,Fri Oct 23 00:29:11 +0000 2020,@CounselorTejada @jennthetutor @Cornell @TestFreeNow @WeGo2CollegeLLC @nikklani @Caltech I dont understand why i didn’t get a personal invite.
53,Thu Oct 22 23:27:42 +0000 2020,"@caltechalumni @Caltech @USNewsEducation The Jewel in the Crown of US, nay World, higher education!"
54,Thu Oct 22 23:08:25 +0000 2020,@unsorsodicorda @AnimaAnandkumar @kazizzad @Caltech Thank you! This kind of breakdown is exactly what I wanted. 🙂
55,Thu Oct 22 22:41:15 +0000 2020,@unsorsodicorda @SmallerNNsPls @AnimaAnandkumar @kazizzad @Caltech Please do! This thread was great and very appreciated 💪
56,Thu Oct 22 22:06:07 +0000 2020,@caltechalumni @Caltech @USNewsEducation I’d say #1. If it’s your kind of place.
57,Thu Oct 22 22:03:55 +0000 2020,"@MIT_CSAIL @Caltech I have no idea what that means, but I'm comforted that people out there have retweeted it.

Save us super geeks."
58,Thu Oct 22 21:55:39 +0000 2020,"@SmallerNNsPls @AnimaAnandkumar @kazizzad @Caltech Ah, I almost forgot! These are all books on the theory of PDEs. If you're looking for books on numerical solution of PDEs, let me know I can provide a few references for those too."
59,Thu Oct 22 20:35:20 +0000 2020,"@SmallerNNsPls @unsorsodicorda @AnimaAnandkumar @kazizzad @Caltech I would recommend Evans book, partial differential equations for a theory al intro."
60,Thu Oct 22 20:34:19 +0000 2020,"@chenna1985 @AnimaAnandkumar @kazizzad @Caltech That's right. The discretization of the data does project into the model. For the graph-based methods, we sample random graphs from the data's discretization, in the hope to alleviate the effect of underlying discretization."
61,Thu Oct 22 20:07:52 +0000 2020,"@AnimaAnandkumar @kazizzad @Caltech In the end, it's all the same.
You have to use ""some data"" to train the NN model for the PDE operator, and that ""data"" must be based on some discretisation of the operator. So, whatever the discretion you used for generating the data is projected onto the operator NN model."
62,Thu Oct 22 20:00:42 +0000 2020,@AnimaAnandkumar @kazizzad @Caltech Impressive!
63,Thu Oct 22 19:42:53 +0000 2020,"@ZongyiLiCaltech @AnimaAnandkumar @kazizzad @Caltech It'd be great if you could share a repository and scripts to make comparisons. Lots of engineering has gone into PyTorch and it's only fair to use good methods and implementations for the conventional solvers, especially if you report relative timings (which I think is important)"
64,Thu Oct 22 19:42:22 +0000 2020,"@AnimaAnandkumar @kazizzad @Caltech Worthy mentioning, the figured experiment is trained on the 64×64×20 dataset and evaluated on 256×256×80. Usually, people can only generalize to different spatial resolutions, but we can transfer to different time resolutions."
65,Thu Oct 22 19:27:26 +0000 2020,"@ZongyiLiCaltech @ColinJMcAuliffe @AnimaAnandkumar @kazizzad @Caltech It's a nonlinear preconditioner (which is okay) and it seems hard to guarantee it is nonsingular. And it has to be faster/more accurate than existing preconditioners like multigrid. Perhaps look at geophysical inverse problems (e.g., tomography) or time-periodic ocean spin-up."
66,Thu Oct 22 19:27:14 +0000 2020,@five9a2 @AnimaAnandkumar @kazizzad @Caltech I agree. There are many many powerful PDE solvers and researchers have invested hundreds of years into them. We didn't mean to beat all the PDE-solvers. By using the data-driven methods we can save some human efforts to craft these solvers and also save some time of PhD labors.
67,Thu Oct 22 19:21:41 +0000 2020,"@five9a2 @AnimaAnandkumar @kazizzad @Caltech The velocity remains the same order of magnitude. 
And sorry I have to admit that I am not an expert on the conventional solvers (wanna be one). The data generation scripts are written by our applied math collaborators. I can share the code if you want to take a look🙂"
68,Thu Oct 22 19:20:35 +0000 2020,"@ZongyiLiCaltech @AnimaAnandkumar @kazizzad @Caltech With many orders of magnitude coefficient contrast &amp; coherent structures, it's necessary to use more technical MG methods, which have higher setup costs (per coefficient realization, unless they are similar) and tend to rely on sparse matrices (perf limited by memory bandwidth)."
69,Thu Oct 22 19:16:12 +0000 2020,"@ZongyiLiCaltech @AnimaAnandkumar @kazizzad @Caltech The beauty of ""conventional"" PDE solvers is reliable generalization. FWIW, the low-contrast case you've studied (with or without coherent structures) can be solved to discretization error in 5 work units using geometric multigrid (at any scale, including trillions of dofs)."
70,Thu Oct 22 19:09:11 +0000 2020,@ZongyiLiCaltech @AnimaAnandkumar @kazizzad @Caltech Is velocity larger when reducing viscosity (in your normalization of forcing)? And could you be more precise about the time splitting method you've used? It's easy to end up first order or with loss of stability near the imaginary axis. Exponential RK is a good high-order choice.
71,Thu Oct 22 19:07:47 +0000 2020,"@gautamcgoel @Stanford @Caltech Ohhh good question 😅

Stanford does a fantastic job emphasizing collaboration, thinking big &amp; frameworks 🌲

Caltech is brilliant at forcing you to question your first principles, work independently &amp; revere details 🦫

Their lessons harmonize beautifully bc they're divergent!"
72,Thu Oct 22 19:05:02 +0000 2020,@ZongyiLiCaltech @AjitRJadhav @chenna1985 @kazizzad @Caltech I don't recall why I blocked you. In the past I have blocked people who have made remarks in bad faith. But once in awhile I also accidentally block someone else. I have now unblocked you..
73,Thu Oct 22 19:00:14 +0000 2020,@AjitRJadhav @chenna1985 @kazizzad @AnimaAnandkumar @Caltech Thanks for your suggestion! We will take a look.
