,created_at,full_text
0,Mon Oct 26 17:47:52 +0000 2020,Man I REALLY wish I could get a media pass or something to the @Fresno_State game on Thursday. @FresnoStateFB @FSAthletics
1,Mon Oct 26 17:40:03 +0000 2020,"In case I forgot to say it, @Fresno_State and @FSAthletics are pathetic."
2,Mon Oct 26 00:51:04 +0000 2020,@blamberty @BearPascoe @Fresno_State @NFL @SuperBowl @JayNovacek84 Indeed
3,Sun Oct 25 23:40:46 +0000 2020,@Fresno_State @tamarakeithNPR South Valley represent! 🍇🍊🍋🍑🐄🌳🌄🙂
4,Sun Oct 25 23:35:27 +0000 2020,@SteveWeakland @BearPascoe @Fresno_State @NFL @SuperBowl @JayNovacek84 We had some tremendous Cowboys from Nebraska... and they still do
5,Sun Oct 25 23:29:09 +0000 2020,@blamberty @BearPascoe @Fresno_State @NFL @SuperBowl @JayNovacek84 was the best
6,Sun Oct 25 20:28:24 +0000 2020,@Larry_Salinas @JosephICastro @Fresno_State How about a replica of @VictorEBulldog 😉❤️
7,Sun Oct 25 19:23:02 +0000 2020,@Larry_Salinas @JosephICastro @Fresno_State Or award me with a ‘Top Dog 🏆’  😂
8,Sun Oct 25 04:27:07 +0000 2020,"RT @crinnaj: @FresnoState_AD This is not an “challenge” issue. This is an administration issue. Definitely no diversity or equity. 

Do NOT…"
9,Sun Oct 25 02:47:59 +0000 2020,"RT @mederiosbabb: @_JMG18 @Fresno_State @KSEE24 @FresnoStateFB This is awesome, would one of your guys be willing to interview with me? We…"
10,Sun Oct 25 02:47:55 +0000 2020,@mederiosbabb @Fresno_State @KSEE24 @FresnoStateFB Sure!
11,Sun Oct 25 00:03:03 +0000 2020,@mederiosbabb @_JMG18 @Fresno_State @KSEE24 @FresnoStateFB Do It..!! Mederios is one of the out there..!!
12,Sat Oct 24 23:37:25 +0000 2020,"@_JMG18 @Fresno_State @KSEE24 @FresnoStateFB This is awesome, would one of your guys be willing to interview with me? We could do in person or zoom. I’m a reporter with Ksee24."
13,Sat Oct 24 23:36:49 +0000 2020,"RT @Fresno_State: @_JMG18 @KSEE24 @FresnoStateFB Happy Birthday, Dad! Go ‘Dogs! 🏈🐾🥳"
14,Sat Oct 24 19:22:07 +0000 2020,@FresnoStateSOC students are putting learning into action to advance #waterjustice in #Fresno County. Props to @LCJandA and @Lesamartinez_ for connecting @Fresno_State students to the powerful research and #activism of residents. Water is a #HumanRights issue.
15,Sat Oct 24 17:49:35 +0000 2020,@smalldickryan70 @Fresno_State YOU don’t have to cheer
16,Sat Oct 24 17:47:06 +0000 2020,@smalldickryan70 @Fresno_State so rude
17,Sat Oct 24 17:03:53 +0000 2020,@smalldickryan70 @Fresno_State why be rude
18,Sat Oct 24 16:29:51 +0000 2020,@KSEE24 @FresnoStateFB @Fresno_State Where can we watch?
19,Sat Oct 24 15:46:30 +0000 2020,"@bobsmietana @dandarling 2/ Many of my nursing team members who went to @Fresno_State , worked hard, are told by conservative Fox News watching parents &amp; relatives that Covid is a hoax. The teams are constantly treated disrespectfully &amp; want to quit."
20,Sat Oct 24 15:36:55 +0000 2020,"@FresnoState_AD This is not an “challenge” issue. This is an administration issue. Definitely no diversity or equity. 

Do NOT attend @Fresno_State for a business or accounting degree! They can’t manage or budget!"
21,Sat Oct 24 05:20:41 +0000 2020,"@MandiJStewart @Fresno_State So fucking proud of you, babe! Keep being true to you and keep kicking ass!"
22,Sat Oct 24 02:54:32 +0000 2020,"Today marks 1 year since I decided that I had to leave my job that I loved at @Fresno_State and I'm having a lot of feelings.

I am so thankful for the people that believed me and stood by my side this year."
23,Fri Oct 23 22:38:05 +0000 2020,@KSEE24 @Fresno_State 437 oddly specific lol
24,Fri Oct 23 04:12:00 +0000 2020,@FSJordanCollege @Fresno_State @Bayer4Crops Wonderful! How do you protect the nuts from squirrels?
25,Fri Oct 23 00:58:07 +0000 2020,@KSEE24 @Fresno_State Dogs Need More local tv coverage thanks you
26,Fri Oct 23 00:15:22 +0000 2020,RT @MrCalderon_phs: @gabegetsbucketz @csuci @Fresno_State All the credit and accolades go to you! Your relentless attitude and hard work go…
27,Fri Oct 23 00:07:07 +0000 2020,@gabegetsbucketz @csuci @Fresno_State All the credit and accolades go to you! Your relentless attitude and hard work got you there. Keep it pushing! 👨‍🏫
28,Fri Oct 23 00:05:28 +0000 2020,RT @gabegetsbucketz: @MrCalderon_phs @csuci @Fresno_State Thank you Mr. Calderon! It’s people like you along my journey that inspired me th…
29,Fri Oct 23 00:05:01 +0000 2020,"Meet Tyler!🇺🇸 ""Since my active duty with the @USArmyReserve is over, I want to pursue a greater sense of fulfillment &amp; accomplishment in life. Thanks @Fresno_State &amp; supporters of this program for giving me the opportunity to continue blazing a better path to a brighter future."""
30,Thu Oct 22 23:55:56 +0000 2020,@MrCalderon_phs @csuci @Fresno_State Thank you Mr. Calderon! It’s people like you along my journey that inspired me that anything is possible! 🙌🏽❤️
31,Thu Oct 22 20:24:57 +0000 2020,@Fresno_State @JosephICastro @CityOfHanford Congrats! An honor well deserved! I hope you had time to reward yourself w/ a treat from Superior Dairy!
32,Thu Oct 22 19:38:37 +0000 2020,@Fresno_State The Restaurant's of course.
33,Thu Oct 22 18:46:12 +0000 2020,@ElMendozatti @FSHomecoming @FresnoStateCAH @Fresno_State @VictorEBulldog @FSHealthCenter @USUProductions @JosephICastro @FSDogDays @OCSLProgram @FresnoStateCCGC @fresnostateusu @FresnoStateASI @ElMendozatti You may be logged into a Gmail account not associated with Fresno State. Could you try accessing the form via a private browser window and *only* be logged in with your Fresno State email?
34,Thu Oct 22 17:42:54 +0000 2020,"@FresnoStateAlum @FresnoState @Fresno_State @FSAthletics Bachelor’s in 2007
Master’s in 2009
GO DOGS!!!!"
35,Thu Oct 22 16:42:52 +0000 2020,"@FSHomecoming @Fresno_State @VictorEBulldog @FSHealthCenter @USUProductions @JosephICastro @FSDogDays @OCSLProgram @FresnoStateCCGC @fresnostateusu @FresnoStateASI Link doesn't work, page loads Saying ""You Need Permission"""
36,Thu Oct 22 16:32:08 +0000 2020,@FresnoStateAlum @FresnoState @Fresno_State @FSAthletics 2017 and honestly .... my time was too short. I loved Fresno State and will always be my 2nd home. My goal is to return but as staff or even faculty one day 👊🏻💯
37,Thu Oct 22 11:57:53 +0000 2020,@kroberts118 @Buckeye158 @FresnoState_AD @Fresno_State Stop taking away everything that pushes young men to be great. I’d be a shell of me had I never wrestled.
38,Thu Oct 22 04:36:03 +0000 2020,@FresnoStateAlum @FresnoState @Fresno_State @FSAthletics 2012! 🥳 And soon to be 2023!
39,Wed Oct 21 21:25:21 +0000 2020,@rkrodriquez @Fresno_State @JosephICastro @fresnounified Congratulations!!! This is how we improve access and equity! 👏👏👏
40,Wed Oct 21 21:01:26 +0000 2020,"Just a note, @Fresno_State has yet to respond to WxP's California Public Records Act request from last Friday. Legally, they have until Monday, October 26th to respond. #SaveFresnoStateWrestling #KeepFresnoStateWrestling #d1wrestle @SaveFresnoWres"
41,Wed Oct 21 17:04:23 +0000 2020,"@MedinaHigherEd @FSHomecoming @Fresno_State Modelo, you look fantastic!!!"
42,Wed Oct 21 16:53:55 +0000 2020,@AshleighPanoo @Fresno_State Thank you for shining light on this amazing program that’s changing lives.
43,Wed Oct 21 16:51:16 +0000 2020,@acrowellsoci @Fresno_State @AshleighPanoo Awesome!!
44,Wed Oct 21 16:31:05 +0000 2020,@WestCoastCFB @HawaiiFootball @FresnoStateFB @Fresno_State @FSAthletics Go Dogs!!
45,Wed Oct 21 16:25:19 +0000 2020,@BriannaCalix @Fresno_State @AshleighPanoo Khoi is my mentee!! I am forever proud of him
46,Wed Oct 21 02:47:56 +0000 2020,@Fresno_State Time out without the V and with the V.
47,Wed Oct 21 00:00:04 +0000 2020,"Crazy to think @FresnoStateWBB &amp; @FSAthletics gets three more years of the Cavinder twins! They may well become the two greatest recruiters and brand ambassadors @Fresno_State has ever had, thanks to social media. #GoDogs #BulldogBornBulldogBred"
48,Tue Oct 20 19:02:30 +0000 2020,"@kroberts118 @FresnoState_AD @Fresno_State If the government passes another stimulus bill, we should push for them to include funding to keep collegiate athletics afloat! This is crazy. Fresno State NEEDS to keep Wrestling!"
49,Tue Oct 20 13:06:05 +0000 2020,@DonaldMunroArts @Fresno_State @benjaminvboone @OriginRecords @atticusboone Happy Belated Birthday Ben Trane!
50,Tue Oct 20 05:33:04 +0000 2020,@hmsterluvr @Fresno_State bring us back onto campus!
51,Tue Oct 20 05:20:27 +0000 2020,@hmsterluvr @Fresno_State ask the lawmakers not the schools trying to follow them to stay open
52,Tue Oct 20 04:39:10 +0000 2020,@Fresno_State please
53,Tue Oct 20 04:37:48 +0000 2020,"Hey @Fresno_State , can you guys send us some stress balls... please! 😰 @JosephICastro"
54,Tue Oct 20 02:10:23 +0000 2020,RT @kroberts118: Inquiring minds want to know!! What did @Fresno_State want from their @FresnoStateWRES wrestling program? Was it more than…
55,Mon Oct 19 22:05:43 +0000 2020,When is @Fresno_State going to realize that cutting the Wrestling program will never fly in the Valley?
56,Mon Oct 19 21:37:31 +0000 2020,Inquiring minds want to know!! What did @Fresno_State want from their @FresnoStateWRES wrestling program? Was it more than 57% of the team members from the Valley?
57,Mon Oct 19 15:58:49 +0000 2020,"@ChristyCee5 @Fresno_State @FSHomecoming Hey there, Bleu! Happy Monday and HAPPY HOMECOMING WEEK!"
58,Mon Oct 19 05:52:17 +0000 2020,@CMCContent @TheCollegian @FresnoStateFB @Fresno_State Stay in the basement buckoo
59,Mon Oct 19 03:53:29 +0000 2020,@FresnoStateCLAS @Fresno_State I’ve had a few ask me about majoring/minoring and I referred them to Dr. Sanchez and Dr. Herrera. I will follow up with them this week to see if they reached out.
60,Mon Oct 19 02:28:24 +0000 2020,"@vivilara33 @Fresno_State Please encourage them to sign up as majors, minors, or double majors! Info on our website!"
61,Sun Oct 18 21:09:31 +0000 2020,@lalamillo2012 @FresnoStateCLAS @Fresno_State @EdDFresnoState Happy to serve our students! #perroschatos #GoDogs
62,Sun Oct 18 20:11:24 +0000 2020,@vivilara33 @FresnoStateCLAS @Fresno_State Happy @EdDFresnoState alumna teaching on campus #servingtheCSU
63,Sun Oct 18 19:57:12 +0000 2020,"@BubbaBrix @Fresno_State for sure - just really would hate to pay tuition to just not get in any class I need. I'm done with gen eds minus a life science and other science, which are most likely to get filled :\"
