,created_at,full_text
0,Mon Oct 26 18:03:44 +0000 2020,@csuf Been trying to get ahold of Admissions regarding my transcripts for TWO WEEKS with no reply. A student shouldn’t be put through this or treated as if they’ve done something wrong!
1,Mon Oct 26 17:33:57 +0000 2020,"RT @csufpd: Power to @csuf main campus has been restored. 

Thank you for your cooperation."
2,Mon Oct 26 16:56:05 +0000 2020,"Power to @csuf main campus has been restored. 

Thank you for your cooperation."
3,Mon Oct 26 16:35:05 +0000 2020,Andersen professionals will participate in the @csuf office hours today!
4,Sun Oct 25 03:38:53 +0000 2020,Turner is a beast because he’s a former @csuf titan ✊🏼
5,Sun Oct 25 03:12:05 +0000 2020,@redturn2 just continues to get it done 👊 love the approach and work ethic.  To think not too long ago he did not have a place to play until @Dodgers bench coach saw him in @csuf alumni game hit #WorldSeries
6,Sun Oct 25 00:23:01 +0000 2020,. @csuf @FullertonBSB legend @redturn2 💙🤍 #record
7,Sun Oct 25 00:17:50 +0000 2020,He is just on another level - @redturn2 with another solo homerun at the top of the first inning for @Dodgers #WorldSeries game 4. That’s #TitanPower @csuf
8,Sat Oct 24 21:32:41 +0000 2020,@MkirbyE @andywickert @CSUFGeology @csuf @csufcnsm Can you wait a few more years for my student Estefania to be done?
9,Sat Oct 24 20:58:13 +0000 2020,Congrats to Angelina Zuelow of @csuf for your student presentation award in Marine Science! #SACNAS2020
10,Sat Oct 24 12:08:12 +0000 2020,@csuf  why am I taking a midterm at 7am in a Saturday when my class in on Tuesday / Thursdays.. this has to be against school policy .. it’s not even finals week
11,Sat Oct 24 08:06:54 +0000 2020,@WuTangDaveBBN @thesquaddoc @SYFYWIRE @csuf @GravitasVOD @Pilgrim_Studios Hardcore.
12,Sat Oct 24 04:25:24 +0000 2020,@csuf @redturn2 What years was @redturn2 a Titan?
13,Sat Oct 24 00:57:41 +0000 2020,@csuf @redturn2 Go Titans! #tusksup
14,Sat Oct 24 00:15:54 +0000 2020,Turner making us Titans proud 😆👏 @Dodgers @csuf 💙🧡
15,Fri Oct 23 21:31:38 +0000 2020,"The fact that @csuf is not taking these concerns seriously as an institution of higher learning is disheartening. Honestly, I don't expect the university to walk back its purchase - I expect that the contract has been set for a multi-year service... (5/n)"
16,Fri Oct 23 21:31:37 +0000 2020,"While I do feel a little bad that the @Proctorio rep was peppered with greater questions about privacy and ethics that were way above his pay grade to answer during @csuf Tech Day Q&amp;A, they're still valid concerns to address. 1/n"
17,Fri Oct 23 21:26:45 +0000 2020,@sandysiri19 @csuf Hi Sandy!!!
18,Fri Oct 23 18:37:00 +0000 2020,"@pegysmith @CSUFUACRE @Sustain_Center @csuf Hi Peggy, Stephanie here! Yes I recorded. Can you email me your contact and I will share🙂sdelrosario@fullerton.edu"
19,Fri Oct 23 18:29:37 +0000 2020,"RT @pegysmith: @sustainCSUF @CSUFUACRE @Sustain_Center @csuf Dang, I just saw this today 10/23. Did you happen to record any of this, espec…"
20,Fri Oct 23 17:44:20 +0000 2020,"@sustainCSUF @CSUFUACRE @Sustain_Center @csuf Dang, I just saw this today 10/23. Did you happen to record any of this, especially on urban farming that I can have my students watch?"
21,Fri Oct 23 17:39:03 +0000 2020,"We're now joined by Dr. Roberto Soto, Assistant Professor Of Mathematics at @csuf and one of this year's Faculty Innovation Leadership Award winners. #TheTimeIsNow"
22,Fri Oct 23 15:43:17 +0000 2020,"@ABC7 1,347 OC residents have died from COVID-19; 11 residents died in 1 day alone on; Thursday, Oct. 22nd. @csuf factor in what it would cost California had Disneyland remained open 👀"
23,Fri Oct 23 01:36:37 +0000 2020,Covering the live event of the final debate of 2020 for the presidential race for my communications class @CSUF. President Trump and Former VP Biden both respond to #Coronavirus. #Biden said #Trump has no plan for heading into the dark flu season. #rqcomm201
24,Fri Oct 23 00:52:24 +0000 2020,We welcome Ashley Scholder to the @csuf Paleoclimatology Lab for her undergraduate thesis. Lake Elsinore Holocene floods - we're coming for you! @CSUFGeology @CtyLakeElsinore
25,Thu Oct 22 23:55:57 +0000 2020,@brenden_099 6'2 185lbs with a fastball that sits 88-91mph gets the start in game 2 tomorrow at the Easton Fall Classic against the SW Sticks Baseball. @CSUB_Baseball @CalBaseball @csuf @UCLABaseball @UCIbsb @USC_Baseball @ArizonaBaseball @ASU_Baseball @HawaiiBaseball
26,Thu Oct 22 20:02:52 +0000 2020,"RT @udhumanrights: Allison Varzally, Professor of History @csuf speaks on her research on ""Amerasians,"" children of U.S. soldiers and Vietn…"
27,Thu Oct 22 19:06:52 +0000 2020,Great job @CSUF on the 26th annual #EconomicForecast Conference! Timely report from Dr. Puri and Dr. Farka on the #SociallyDistantRecovery
28,Thu Oct 22 17:51:35 +0000 2020,"@ricardovalp @CSULB @csuf @commCSUF Thank you for joining us today! You got us all excited about historical methods, theory, and political identities."
29,Thu Oct 22 17:34:06 +0000 2020,"@csuf The reasons behind these efforts were complex, involving ""a desire to redeem defeat in Vietnam, faith in the nuclear family, and commitment to capitalism."""
30,Thu Oct 22 17:33:17 +0000 2020,"Allison Varzally, Professor of History @csuf speaks on her research on ""Amerasians,"" children of U.S. soldiers and Vietnamese women and America's efforts to bring many of these Vietnamese youths and their families to the U.S."
31,Thu Oct 22 16:33:33 +0000 2020,To think next year I'll be submitting my application to @csuf  !
32,Wed Oct 21 17:13:21 +0000 2020,"She is a fellow @CSUF Titan alumnus, and lifelong Lakers and Dodgers fan, so October is keeping her busy celebrating/cheering them both on. I'm glad we had some time to discuss ways we can make the American political process more meaningful and relevant for the Latinx community."
33,Wed Oct 21 02:04:18 +0000 2020,@MkirbyE @csuf @CSUFGeology Looks interesting! Can't wait to see the record associated with it.
34,Tue Oct 20 22:44:20 +0000 2020,RT @deejayslim: @FullertonBSB @redturn2 where can I get on of those @csuf jerseys @TitanPrezVirjee
35,Tue Oct 20 22:15:22 +0000 2020,@csuf I'm so proud of my alma mater
36,Tue Oct 20 21:51:14 +0000 2020,@DrSha @csuf @commCSUF @CSUF_LCI @thedailytitan @OCNewsCSUF @aldiacsuf @Tusk_Magazine Are you going to talk about how you're ripping off thousands of CSUF students?
37,Tue Oct 20 19:52:28 +0000 2020,@court_with_a_K @redturn2 Some of us go back even further. Guys like @hanktee and other @csuf Alums go back to 2004 when Justin helped @FullertonBSB help win the 2004 @NCAACWS - along with @JDWindsor &amp; @Ricky_Ro24. I also got Justin at 26-1 to be #Postseason MVP. Let's go #LATogether @Dodgers
38,Tue Oct 20 19:34:56 +0000 2020,Love how I register for spring semester in 2 weeks and csuf hasn’t even put up which professors are teaching @csuf
39,Tue Oct 20 17:34:37 +0000 2020,@FullertonBSB @redturn2 where can I get on of those @csuf jerseys @TitanPrezVirjee
40,Tue Oct 20 15:44:21 +0000 2020,@Nicktong3 @csuf @calstate @CSUFstudents @CICE_CSUF We meet via Zoom twice a week for one to two hours. The internship is unpaid and for academic credit only. The interns work independently on tasks assigned and track their hours and progress.
41,Tue Oct 20 03:23:56 +0000 2020,"@CASOSvote @csuf @UCSanDiego @CSULB @SJSU @sacstate @UofCalifornia @calstate @aiccucal @CalCommColleges I'm torn....happy to see students registered to vote (go Gauchos), but only 3%, really? How many 100s of thousands of YAs comprise the college student base? How can we do better next time to drive registration?"
42,Tue Oct 20 02:30:37 +0000 2020,@court_with_a_K @redturn2 Just spent a couple of hours with Roger Kotch!  He was a guest speaker in a class that my buddy @tamnguyenabc and I teach at @csuf  We ALL are rooting for you and the @Dodgers You are STILL the Big Man on Campus here.  We love you and Kourt!
43,Tue Oct 20 02:19:56 +0000 2020,@tarynmejia @xtineou @csuf With a recovering hamstring too
44,Mon Oct 19 23:41:09 +0000 2020,@csufpd @csuf @calstate @CSUFstudents @CICE_CSUF so you did a whole Zoom meeting for the day... interesting. I like that job lol
45,Mon Oct 19 22:12:07 +0000 2020,@carsonvaughan cal state fullerton’s arboretum is world class @csuf
46,Mon Oct 19 21:23:11 +0000 2020,@CSUF_AARC @csuf Is the angry fist the right symbol for a resource center at a public university? It is the universal symbol of murderous communist regimes. Just asking @csuf
47,Mon Oct 19 21:17:52 +0000 2020,"RT @CoreyWelch_STEM: Dr. David Carreon Bradley as our Emcee, we are in good hands! David is the Faculty Diversity Officer at @csuf  #SACNAS…"
48,Mon Oct 19 20:31:10 +0000 2020,"RT @JaneatSea: ""Bring your whole self to science"" - @csuf Dr. David Carreon Bradley. I'll be tweeting out words of wisdom and tidbits I hea…"
49,Mon Oct 19 18:19:18 +0000 2020,"RT @JaneatSea: ""Bring your whole self to science"" - @csuf Dr. David Carreon Bradley. I'll be tweeting out words of wisdom and tidbits I hea…"
50,Mon Oct 19 18:18:35 +0000 2020,"""Bring your whole self to science"" - @csuf Dr. David Carreon Bradley. I'll be tweeting out words of wisdom and tidbits I hear this week at #SACNAS2020. Hello fellow conference goers out there!"
51,Mon Oct 19 18:09:22 +0000 2020,"Dr. David Carreon Bradley as our Emcee, we are in good hands! David is the Faculty Diversity Officer at @csuf  #SACNAS2020"
52,Mon Oct 19 17:11:09 +0000 2020,@titanshops @csuf @OCAnimalCare This precious baby 🥺🥺🥺
53,Mon Oct 19 08:10:06 +0000 2020,Finishing my chem BS at @CSUF and starting my BSN at @westcoastu next term if all goes well!🥳🥳
54,Mon Oct 19 05:29:33 +0000 2020,"@MLBONFOX @redturn2 @Dodgers Titan pride from @redturn2 . My boy was born to be a dodger . From the suburban league to @csuf to @Dodgers ... one of my favorites , all time !!! He said it, “We’re not done yet”. See you boys on Tuesday!!!!!!"
55,Mon Oct 19 02:08:01 +0000 2020,A nice Cal State Fullerton @csuf shout-out from Smoltz. @FullertonBSB #TusksUp #nlcs #dodgers
56,Sun Oct 18 05:44:59 +0000 2020,@pattmlatimes .@csuf has a research facility out there and one of my professors would pronounce it ZY-zix so that’s what I’d go with!
57,Sat Oct 17 21:10:36 +0000 2020,@Dodgers @csuf @FullertonBSB let's gooooo
58,Sat Oct 17 18:28:20 +0000 2020,@CoptWoman @csuf Thank you!!
