,created_at,full_text
0,Mon Oct 26 15:41:11 +0000 2020,"@beachwbb @LBSUAthletics @CSULB @PresConoley @CammonJeffrey @BryanCamacho__ @CoachDink @kevinwadams @TheAndyFee @LBSU_SAAC @LBSUBAF Stay safe, LBSU Women's Basketball!"
1,Mon Oct 26 01:27:11 +0000 2020,@A___Fisher @GregCruz0525 @CSULB Did he find my pops for it along upper San Juan Trail?
2,Sun Oct 25 19:21:17 +0000 2020,@BugBobPhoto @GregCruz0525 @CSULB Thanks @BugBobPhoto. Greg already completed his fieldwork!
3,Sat Oct 24 23:17:57 +0000 2020,@JamesAahumada @CSULBASI @CSULB Good luck @JamesAahumada. You’ll be missed. #gobeach @CSULB @csulbalumni @CSULBASI
4,Sat Oct 24 17:50:06 +0000 2020,"@AshWoodySoc @CSULB Wow, thanks @AshWoodySoc! It was so wonderful to catch up, on teaching, research, &amp; waves. You continue to make the entire @CSULB sociology department proud! Yew! 🤙🏾"
5,Sat Oct 24 10:44:22 +0000 2020,@Saherish_S @UNAUSA @UNA_Whittier @csulbpolisci @CityofDowney @WhittierCityGov @cityofmaywood @cerritoscollege @CSULB @csulbalumni @TheHumanityLab Thank you Saherish! 😊💙
6,Sat Oct 24 10:43:59 +0000 2020,@poshgero @UNAUSA @UNA_Whittier @csulbpolisci @CityofDowney @WhittierCityGov @cityofmaywood @cerritoscollege @CSULB @csulbalumni @TheHumanityLab Thank you Norah!! 😊💙
7,Sat Oct 24 10:43:13 +0000 2020,@ADelCidLugo @UNAUSA @UNA_Whittier @csulbpolisci @CityofDowney @WhittierCityGov @cityofmaywood @cerritoscollege @CSULB @csulbalumni @TheHumanityLab Thanks Amanda! 😊💙
8,Sat Oct 24 10:42:31 +0000 2020,@LBell77 @UNAUSA @UNA_Whittier @csulbpolisci @CityofDowney @WhittierCityGov @cityofmaywood @cerritoscollege @CSULB @csulbalumni @TheHumanityLab Thank you London!! 💙😊💕
9,Sat Oct 24 00:15:18 +0000 2020,@AAtadegbe @UNAUSA @UNA_Whittier @csulbpolisci @CityofDowney @WhittierCityGov @cityofmaywood @cerritoscollege @CSULB @csulbalumni @TheHumanityLab Thank you!!😁
10,Fri Oct 23 19:14:30 +0000 2020,@AshWoodySoc @JakeWilsonLB @CSULB Love it!
11,Fri Oct 23 18:39:05 +0000 2020,"Great running into @JakeWilsonLB in the surf today. He's an awesome sociology professor at @CSULB and a reminder that we sociologists can teach, research, and shred all at the same time 🏄"
12,Fri Oct 23 02:08:26 +0000 2020,@joshualeclair1 @beachwbb @CSULB @LBSUAthletics @PresConoley @TheAndyFee @CammonJeffrey @BryanCamacho__ @CoachDink @kevinwadams @LBSU_SAAC thank you!
13,Fri Oct 23 01:11:03 +0000 2020,@nonbinarymaeve @Imeojeda @PPPSWHealth @CSULB That's really great work! Public health &amp; safety is a particularly significant concern at this time. Thank you for contributing your time &amp; effort!
14,Fri Oct 23 01:04:16 +0000 2020,"@Imeojeda A1: i help my community by volunteering with @PPPSWHealth, educating community members about reproductive health &amp; providing materials. i also work @CSULB as a COVID19 health ambassador, kindly reminding ppl on campus to follow our safety policies (masks, sanitizing, etc)"
15,Fri Oct 23 00:13:11 +0000 2020,"@beachwbb @laurentgreen23 @CSULB @LBSUAthletics @PresConoley @TheAndyFee @CammonJeffrey @BryanCamacho__ @CoachDink @kevinwadams @LBSU_SAAC Happy Birthday, Lauren Green! Have a great day! Go LBSU Women's Basketball!"
16,Thu Oct 22 23:29:10 +0000 2020,RT @juliaterbeche: 🔊 Any on-campus @CSULB residents in @CSULB_Housing: how do you feel about the recent power outage? How did that go? I’d…
