,created_at,full_text
0,Mon Oct 26 18:05:05 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
1,Mon Oct 26 18:02:30 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
2,Mon Oct 26 17:57:46 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
3,Mon Oct 26 17:57:07 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
4,Mon Oct 26 17:32:37 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
5,Mon Oct 26 17:24:24 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
6,Mon Oct 26 17:24:15 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
7,Mon Oct 26 16:57:43 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
8,Mon Oct 26 16:41:34 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
9,Mon Oct 26 15:58:25 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
10,Mon Oct 26 15:41:01 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
11,Mon Oct 26 15:40:01 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
12,Mon Oct 26 15:23:18 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
13,Mon Oct 26 15:05:34 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
14,Mon Oct 26 15:00:56 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
15,Mon Oct 26 14:58:52 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
16,Mon Oct 26 14:55:14 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
17,Mon Oct 26 14:53:57 +0000 2020,@astroarianna @TowsonU @CalStateLA @UCIPhysAstro WAAHA CONGRATULATIONS SISTER 💕Can't wait for your publication soon!💕
18,Mon Oct 26 14:52:33 +0000 2020,"RT @astroarianna: Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in l…"
19,Mon Oct 26 14:50:12 +0000 2020,"Yesss it’s #BlackInPhysics week!! Get ready!! 

My name is Arianna 👋🏾 I started off in math education @TowsonU, fell in love with astrophysics so I got my M.S. @CalStateLA. Now I’m a PhD candidate @UCIPhysAstro studying massive dusty galaxy evolution. 

#BlackInPhysicsRollCall"
20,Sun Oct 25 19:24:37 +0000 2020,"RT @HTLuckybs: Don’t forget folks! @CalStateLA has voting polls available as long as your registered! 

🔹Many of the booths are available.…"
21,Sun Oct 25 18:46:06 +0000 2020,"Don’t forget folks! @CalStateLA has voting polls available as long as your registered! 

🔹Many of the booths are available.

🔹Minimal Line to wait.

🔹Safe Practices and Social Distancing.

#Vote #VoteEarly 
@LAGoldenEagles"
22,Sun Oct 25 06:14:48 +0000 2020,@submarinemeow @CalStateLA I'm proud of you ani💖 happy to know you this long and see you accomplish many beautiful things on your journey
23,Sat Oct 24 21:12:51 +0000 2020,"@ADiaz_PhD @CalStateLA @sacnas Congrats Meryl, green coconuts on the loose!"
24,Fri Oct 23 17:53:54 +0000 2020,Proud to be part of Cal State LA. 🖤💛🦅 @calstate @CalStateLA
25,Fri Oct 23 17:51:53 +0000 2020,".@CalStateLA joins us to share how they recommitted to student support efforts that were responsive to #COVID19, including providing technology to students, providing all first year students with an advisor, shifting orientation online, and more #TheTimeIsNow"
26,Fri Oct 23 17:14:04 +0000 2020,"Currently tuning in to the Graduate Initiative 2025 Convening. As a doctoral student, instructor, and student leader at Cal State LA, student success and student equity are two of my biggest priorities to address moving forward in my career. @calstate @CalStateLA"
27,Fri Oct 23 13:24:56 +0000 2020,@horsager @LABioSpace @CalStateLA Exciting!
28,Thu Oct 22 22:12:19 +0000 2020,RT @LAGoldenEagles: @HTLuckybs @CalStateLA 🙌 Out here making our voices heard! 🙌
29,Thu Oct 22 22:12:02 +0000 2020,@HTLuckybs @CalStateLA 🙌 Out here making our voices heard! 🙌
30,Thu Oct 22 13:06:53 +0000 2020,"RT @VicCazares: @ADiaz_PhD @PennMedicine Parents immigrated from MX separately &amp; met in LA. Dad a butcher, didn't finish grade school; mom…"
31,Wed Oct 21 23:25:44 +0000 2020,@aprilpbrown @CalStateLA Anytime!
32,Wed Oct 21 22:26:17 +0000 2020,@AngeleOutWest @CalStateLA Thank you so much for your time and expertise!
33,Wed Oct 21 18:49:16 +0000 2020,@juliepatel @csula_ut @AAJAla @CSULBJPR @daily49er @OfficialJoshuaL @MarVasMartinez @TzulRichard @CpLazaro1990 @SalinasTahiti @meghantbravo @CalStateLA That is really kind of you and thanks in advance for what you are comfortable sharing. It's one of the best ways for me to grow in this endeavor.
34,Wed Oct 21 17:14:24 +0000 2020,"@CalStateLA @LosAngelesPatch You can also support them by lowering tuition for next semester! They won’t be attending classes on campus at all, how is tuition the same for JUST being online?? 🤷🏻‍♀️ @CalStateLA"
35,Wed Oct 21 03:52:40 +0000 2020,@hugosposts @csula_ut @AAJAla @CSULBJPR @daily49er @OfficialJoshuaL @MarVasMartinez @TzulRichard @CpLazaro1990 @SalinasTahiti @meghantbravo @CalStateLA Sure thing. Will send you some later this week in a DM. I like what I'm hearing so far!
36,Tue Oct 20 23:23:13 +0000 2020,"RT @WHAGrads: Welcome to #WHAGrads Twitter takeover I'm Moisés (@PeakPeezy)! As a master’s student @CalStateLA 
I study 19/20th C transnati…"
37,Tue Oct 20 20:10:45 +0000 2020,"RT @WHAGrads: Welcome to #WHAGrads Twitter takeover I'm Moisés (@PeakPeezy)! As a master’s student @CalStateLA 
I study 19/20th C transnati…"
38,Tue Oct 20 18:08:02 +0000 2020,RT @ChelseaEsquibi1: These students went from life sentences to CCC graduates to now graduating from Cal State LA 🎉🙌🎉 @CalStateLA @daisygon…
39,Tue Oct 20 18:01:27 +0000 2020,RT @ChelseaEsquibi1: These students went from life sentences to CCC graduates to now graduating from Cal State LA 🎉🙌🎉 @CalStateLA @daisygon…
