,created_at,full_text
0,Mon Oct 26 13:17:57 +0000 2020,"@HikmetHajiyev Stand with #JUSTICE and STOP #armenianterrorism 
#1MillionAzerbaijaniRefugees 
#Khojaly #StopArmenianTerror 
@cnni @BBCWorld @CCN @AlJazeera_World @FRANCE24 @csunorthridge @MID_RF @guardian @nytimes @Telegraph 
@globeandmail @Reuters @AJEnglish @CBCNews  @UNICEF  @realDonaldTrump"
1,Mon Oct 26 01:03:12 +0000 2020,"Almost Week 10 @csunorthridge 
6 more weeks left"
2,Sun Oct 25 18:36:34 +0000 2020,@KarmelMelamed @calstate @CSUExRel @csunorthridge Each and every day American Universities show they are home to some of the worst in our society.
3,Sun Oct 25 17:38:35 +0000 2020,@rafnarr @EisnerEducation @NateDutra @csunorthridge Nate Deaf?
4,Sat Oct 24 17:33:38 +0000 2020,@rafnarr @tcsamaripa @BU_Tweets @csunorthridge Really speaks to the siloed nature of universities
5,Sat Oct 24 17:30:08 +0000 2020,"@tcsamaripa @BU_Tweets As a faculty member at a (dare I say) major Univeristy serving deaf students and with deaf faculty, I’m extremely pained every time access is not provided at all or well. @csunorthridge  #access #UDL"
6,Sat Oct 24 05:51:34 +0000 2020,@adrianachavira @csunorthridge Very cool. I can see why your proud of her.
7,Sat Oct 24 04:09:22 +0000 2020,@danspena Ouch @csunorthridge
8,Sat Oct 24 01:58:28 +0000 2020,@MarisaOsorioPR @csunorthridge Thank you!
9,Fri Oct 23 17:20:22 +0000 2020,"RT @nigar_a1iyeva18: We can not pass this conflict to one more generation!

#DontBeBlind
#WarCrimes
#WarCrime
 #ArmeniaKillsCivilians
#Pray…"
10,Fri Oct 23 17:04:38 +0000 2020,"We can not pass this conflict to one more generation!

#DontBeBlind
#WarCrimes
#WarCrime
 #ArmeniaKillsCivilians
#PrayForGanja
#StopArmenianAggression
#KarabakhisAzerbaijan
#StopArmenianOccupation
 #DontBelieveArmenia

@cnni
 @BBCWorld @AlJazeera_World @FRANCE24 @csunorthridge"
11,Fri Oct 23 08:24:11 +0000 2020,@LamiyaMammad78 @Nicoleeexe @heyiamdii @LukeDCoffey @cnni @BBCWorld @AlJazeera_World @FRANCE24 @csunorthridge @MID_RF @guardian @nytimes This picture is just as fake as your profile picture
12,Fri Oct 23 02:43:39 +0000 2020,@tetuck @K22Rains @csunorthridge @UCSD Will be there supporting Kalen
13,Fri Oct 23 02:38:50 +0000 2020,"@ssulib @csunorthridge Thank you for the feature and your kind words, @ssulib!"
14,Thu Oct 22 19:45:07 +0000 2020,"@csunorthridge I can't believe an educational institution would take a stand like this, you HAVE to be neutral. I understand you have a large number of armenian students, but what if you had at least 1 Azerbaijani student? Would it be ok to disregard his or her rights and opinions?"
15,Thu Oct 22 04:01:52 +0000 2020,"@AliyevSannur1 @qubadova_sh @cnni @BBCWorld @AlJazeera_World @FRANCE24 @csunorthridge @MID_RF @guardian @nytimes @Telegraph ""mother of 
   🥶  #Armenian terrariums 
"" #HappyBirthdayKimKardashian ""
#HappyBirthdayTerrorist 
#Kardashiansbabykiller 
#KardashiansSupportTerrorism
#StopArmanianAggression 
#StopArmenianTerrorism"
16,Thu Oct 22 01:57:41 +0000 2020,I am working on my mental health need new strategies for the Winter session @csunorthridge
17,Wed Oct 21 20:15:53 +0000 2020,@tetuck @K22Rains @csunorthridge @UCSD Support Those That support you. I’ll be in attendance 👍🏾
18,Wed Oct 21 17:35:04 +0000 2020,"We will be at the @csunorthridge Accounting Association Member
Meeting today."
19,Wed Oct 21 03:09:53 +0000 2020,"RT @jonmorosi: Tyler Glasnow's family: His father, Greg, started his own flooring business at age 18. His mother, Donna, won a national cha…"
20,Wed Oct 21 02:44:54 +0000 2020,"RT @jonmorosi: Tyler Glasnow's family: His father, Greg, started his own flooring business at age 18. His mother, Donna, won a national cha…"
21,Wed Oct 21 02:42:31 +0000 2020,"RT @jonmorosi: Tyler Glasnow's family: His father, Greg, started his own flooring business at age 18. His mother, Donna, won a national cha…"
22,Wed Oct 21 01:57:41 +0000 2020,"RT @jonmorosi: Tyler Glasnow's family: His father, Greg, started his own flooring business at age 18. His mother, Donna, won a national cha…"
23,Wed Oct 21 01:44:05 +0000 2020,"RT @jonmorosi: Tyler Glasnow's family: His father, Greg, started his own flooring business at age 18. His mother, Donna, won a national cha…"
24,Wed Oct 21 01:39:20 +0000 2020,"@jonmorosi @csunorthridge @NotreDame @TeamUSA @MLBNetwork @Cut4 He’s also had and recovered from #covid already. Can’t believe he’s out there pitching in the World Series, incredible feat."
25,Wed Oct 21 01:39:14 +0000 2020,"@jonmorosi @csunorthridge @NotreDame @TeamUSA @MLBNetwork @Cut4 My parents immigrated to the USA from the Philippines with barely a high school education, raised 3kids in a 980sq.ft house, and are eternally grateful for the blessings we have received. So what’s your point?"
