,created_at,full_text
0,Sun Oct 25 20:46:34 +0000 2020,@sacstate Will be hiring alum?  I know a criminal justice major dying for a good job
1,Sun Oct 25 09:22:43 +0000 2020,@SacramentoKings @sacstate Not a single white man....
2,Sat Oct 24 16:55:04 +0000 2020,"@ucdavis @sacstate
What #BigTech billionaires don’t want you to know is that #Prop20 protects victims of crime, including victims of domestic violence, unconscious rape and those targeted through hate crimes. Your safety is your right. Prop. 20 makes sense."
3,Sat Oct 24 11:13:19 +0000 2020,RT @_MagalyMunoz_: I really need @sacstate or individual professors to consider giving their students time off from their classes. We’re me…
4,Sat Oct 24 01:57:11 +0000 2020,@PeakAdventures Thanks for the amazing “No Man's Land Film Festival!”  I’m loving the women in sports and the stories I’d never come across on my own. Great job @sacstate
5,Sat Oct 24 01:06:38 +0000 2020,"@sacstate @SacStateFinAid if I didn't file taxes in a very long time and the school is asking for verification, do you still want IRS documentation or does the financial aid office have othe alternatives due to covid?"
6,Fri Oct 23 23:35:38 +0000 2020,@GutiRosas__ @sacstate thanks primo ☺️
7,Fri Oct 23 23:32:13 +0000 2020,@lupita16__ @sacstate Proud of you!
8,Fri Oct 23 23:29:49 +0000 2020,@imarie080 @sacstate thank you! 🥳
9,Fri Oct 23 23:21:39 +0000 2020,@jenny_jaayyy @sacstate thank you 🥺🥺
10,Fri Oct 23 22:54:35 +0000 2020,@lupita16__ @sacstate omg love to see it! congratulations girl hard work pays off 🥳💗
11,Fri Oct 23 16:43:03 +0000 2020,"We're so proud of team members Ricardo Gonzalez, Paul Hermle, Ernesto Leon, Theodoro Moreno, Ryan Riedel-Cronon, and Sergio Valencia, who won in the Concrete Solutions problem category.  #MakingItHappenAtSacState 2/2"
12,Fri Oct 23 15:46:41 +0000 2020,@KimberlyNalder TODAY at noon (PST) @sacstate continues to educate and inform our community.
13,Fri Oct 23 01:41:37 +0000 2020,"@yvettech_ @sacstate thank you, miss you too 🥺💛💛"
14,Thu Oct 22 23:26:34 +0000 2020,@lupita16__ @sacstate So happy and proud of you❤️🥳 Miss you lots!
15,Thu Oct 22 21:52:56 +0000 2020,@airammblanco @sacstate thank you 🥰🥳
16,Thu Oct 22 21:52:47 +0000 2020,@lupita16__ @sacstate we love to see it baby girl 💓💓
17,Thu Oct 22 21:52:44 +0000 2020,@_jessilovely_ @sacstate bless your soul 🥺
18,Thu Oct 22 21:50:21 +0000 2020,@lupita16__ @sacstate Heck YESSSS! Congrats💓💓💓🥂
19,Thu Oct 22 21:08:02 +0000 2020,@melina_sanz_ @sacstate Thank you! ☺️
20,Thu Oct 22 20:27:07 +0000 2020,@lupita16__ @sacstate Congratulations! 🤗🥳
21,Thu Oct 22 19:59:52 +0000 2020,@aandreyuuuh @sacstate thank you ☺️💛
22,Thu Oct 22 19:58:00 +0000 2020,@lupita16__ @sacstate Congrats girlie! So proud of youuuu 😘
23,Thu Oct 22 19:25:35 +0000 2020,@gee_less @sacstate thank you 🥳💛
24,Thu Oct 22 19:19:43 +0000 2020,@lgpcappiello @sacstate Thank you!!!
25,Thu Oct 22 19:16:25 +0000 2020,@fabi_barajas_ @sacstate thanks Fabi 🥰🥰
26,Thu Oct 22 19:12:53 +0000 2020,@lupita16__ @sacstate YASSSSS LUPITA 🥳🥳 we love an educated queen ❤️❤️
27,Thu Oct 22 10:57:11 +0000 2020,RT @mpachecom93: Hey @sacstate students! How have you been adjusting to life in the pandemic? I am a reporter for the @StateHornet please D…
28,Thu Oct 22 04:58:21 +0000 2020,RT @mpachecom93: Hey @sacstate students! How have you been adjusting to life in the pandemic? I am a reporter for the @StateHornet please D…
29,Thu Oct 22 03:13:04 +0000 2020,RT @mpachecom93: Hey @sacstate students! How have you been adjusting to life in the pandemic? I am a reporter for the @StateHornet please D…
30,Thu Oct 22 02:22:56 +0000 2020,RT @mpachecom93: Hey @sacstate students! How have you been adjusting to life in the pandemic? I am a reporter for the @StateHornet please D…
31,Thu Oct 22 02:21:02 +0000 2020,RT @mpachecom93: Hey @sacstate students! How have you been adjusting to life in the pandemic? I am a reporter for the @StateHornet please D…
32,Thu Oct 22 02:16:57 +0000 2020,Hey @sacstate students! How have you been adjusting to life in the pandemic? I am a reporter for the @StateHornet please DM me if you would like to share with us.
33,Thu Oct 22 01:08:11 +0000 2020,RT @_MagalyMunoz_: I really need @sacstate or individual professors to consider giving their students time off from their classes. We’re me…
34,Thu Oct 22 01:06:56 +0000 2020,RT @_MagalyMunoz_: I really need @sacstate or individual professors to consider giving their students time off from their classes. We’re me…
35,Thu Oct 22 00:48:54 +0000 2020,RT @_MagalyMunoz_: I really need @sacstate or individual professors to consider giving their students time off from their classes. We’re me…
36,Thu Oct 22 00:48:30 +0000 2020,"I really need @sacstate or individual professors to consider giving their students time off from their classes. We’re mentally and emotionally drained, and idk how much longer we’ll last before we completely shut down"
37,Wed Oct 21 20:24:53 +0000 2020,@HornetAdvocacy @sacstate @shcssacstate @SacStateASI @SacStateDowntwn @hornetsports Hi! Is this available for alumni or just current students?
38,Wed Oct 21 19:02:00 +0000 2020,RT @thekickerkat: Hey fellow @sacstate students! Work for an app-based transportation or delivery company? Uber? Doordash? Know anyone who…
39,Wed Oct 21 18:36:28 +0000 2020,RT @thekickerkat: Hey fellow @sacstate students! Work for an app-based transportation or delivery company? Uber? Doordash? Know anyone who…
40,Wed Oct 21 15:49:39 +0000 2020,"RT @sportpsychdrg: Differences are to be celebrated 👏🏽“Today, @sacstate is a proud endorser international Pronouns Day....we seek to acknow…"
41,Wed Oct 21 15:43:58 +0000 2020,RT @thekickerkat: Hey fellow @sacstate students! Work for an app-based transportation or delivery company? Uber? Doordash? Know anyone who…
42,Wed Oct 21 15:32:56 +0000 2020,"Differences are to be celebrated 👏🏽“Today, @sacstate is a proud endorser international Pronouns Day....we seek to acknowledge &amp; affirm the spectrum of sexual orientation &amp; the continuum of gender identity, while affirming human dignity &amp; embracing our fellow Hornets.” @PrezNelsen"
43,Wed Oct 21 11:59:06 +0000 2020,@TheStateHornet @SacStateASI @sacstate @jparkerwrites He's sounds like a perfect Democrat!
44,Wed Oct 21 07:40:55 +0000 2020,@NorCalWTC @USAExpo2020_ @GlobalTiesUS @GlobalTiesSF @sacstate @UCDavisGlobal @LosRiosColleges We're looking forward to welcoming Youth Ambassadors and cultural performers to the @USAExpo2020 pavilion!
45,Wed Oct 21 04:13:06 +0000 2020,RT @thekickerkat: Hey fellow @sacstate students! Work for an app-based transportation or delivery company? Uber? Doordash? Know anyone who…
46,Wed Oct 21 04:11:50 +0000 2020,RT @thekickerkat: Hey fellow @sacstate students! Work for an app-based transportation or delivery company? Uber? Doordash? Know anyone who…
47,Wed Oct 21 03:01:30 +0000 2020,RT @thekickerkat: Hey fellow @sacstate students! Work for an app-based transportation or delivery company? Uber? Doordash? Know anyone who…
48,Wed Oct 21 02:44:21 +0000 2020,RT @thekickerkat: Hey fellow @sacstate students! Work for an app-based transportation or delivery company? Uber? Doordash? Know anyone who…
49,Wed Oct 21 02:42:59 +0000 2020,RT @thekickerkat: Hey fellow @sacstate students! Work for an app-based transportation or delivery company? Uber? Doordash? Know anyone who…
50,Wed Oct 21 02:23:02 +0000 2020,"@KimberlyNalder @sacstate @jenmercieca @SacStateAandL You’re welcome! Doing well, but hoping to stay calm during all of the craziness. The orange menace’s desperate rhetoric is very exhausting right now. #Election2020 #VoteLikeYourLifeDependsOnIt #BidenHarris2020Landslide"
51,Wed Oct 21 02:07:36 +0000 2020,@angie_novotny @sacstate @jenmercieca @SacStateAandL Thanks for saying so. Just what I needed today. I hope you're well!
52,Wed Oct 21 02:01:17 +0000 2020,@KimberlyNalder @sacstate @jenmercieca @SacStateAandL I so miss your Mass Media class #sacstate #Alumni2006 #StingersUp
53,Wed Oct 21 01:25:07 +0000 2020,RT @thekickerkat: Hey fellow @sacstate students! Work for an app-based transportation or delivery company? Uber? Doordash? Know anyone who…
54,Wed Oct 21 01:19:26 +0000 2020,Hey fellow @sacstate students! Work for an app-based transportation or delivery company? Uber? Doordash? Know anyone who does? We’d like to get your thoughts and opinions on Proposition 22 for @TheStateHornet please send me a DM if this is you!
55,Wed Oct 21 00:10:32 +0000 2020,@SarahJTracy @sacstate Thank you!! 😍
56,Tue Oct 20 23:54:04 +0000 2020,"@drshawna @sacstate Please say hello to your new friends, from your old friend.  And tell them this: ""You are so gosh darn lucky to have @drshawna as your qualitative professor!""  Have a great evening. :-)"
57,Tue Oct 20 19:19:33 +0000 2020,RT @HornetAdvocacy: @SacState will host an official Sac County Vote Center at Modoc Hall where you can vote &amp; file for Same Day Voter Regis…
58,Tue Oct 20 19:16:24 +0000 2020,RT @HornetAdvocacy: @SacState will host an official Sac County Vote Center at Modoc Hall where you can vote &amp; file for Same Day Voter Regis…
59,Tue Oct 20 19:04:39 +0000 2020,RT @HornetAdvocacy: @SacState will host an official Sac County Vote Center at Modoc Hall where you can vote &amp; file for Same Day Voter Regis…
60,Tue Oct 20 19:00:25 +0000 2020,"@SacState will host an official Sac County Vote Center at Modoc Hall where you can vote &amp; file for Same Day Voter Registration on Oct 31 thru Election Day. 

Want to do it before then? Go to Sac County Voter Registration &amp; Elections Dept., located at 7000 65th Street. #VoteSafeCA"
61,Tue Oct 20 16:54:55 +0000 2020,@SageModeSouz @JonnyboySNZ @sacstate what y’all teaching this man??
62,Tue Oct 20 03:23:56 +0000 2020,"@CASOSvote @csuf @UCSanDiego @CSULB @SJSU @sacstate @UofCalifornia @calstate @aiccucal @CalCommColleges I'm torn....happy to see students registered to vote (go Gauchos), but only 3%, really? How many 100s of thousands of YAs comprise the college student base? How can we do better next time to drive registration?"
63,Sun Oct 18 00:18:33 +0000 2020,@KaitMarieox @sacstate we stan keaton
64,Sat Oct 17 23:41:38 +0000 2020,@Chief_Hahn @SacPolice @sacstate_lecs @CSUS_CrJ @sacstate @SacCityCollege @ChooseCRC ALL LIVES MATTER
65,Sat Oct 17 20:33:25 +0000 2020,RT @SacStateSEE: Great job to all of the @sacstate students who presented in the College of NSM Virtual Research Symposium today. Our stude…
66,Sat Oct 17 20:32:20 +0000 2020,RT @SacStateSEE: Great job to all of the @sacstate students who presented in the College of NSM Virtual Research Symposium today. Our stude…
