,created_at,full_text
0,Mon Oct 26 17:34:59 +0000 2020,"RT @tara_kinsey: Just read a letter from Art Rodriguez, Vice President &amp; Dean of Admissions &amp; Financial Aid at @CarletonCollege thanking on…"
1,Mon Oct 26 17:22:14 +0000 2020,"I have to tip my hat to @CarletonCollege for taking the time to send a letter like that to a high school teacher. It was heartfelt and personal, and it's little moments like this that remind teachers that what they do truly matters in this world."
2,Mon Oct 26 17:14:44 +0000 2020,"Just read a letter from Art Rodriguez, Vice President &amp; Dean of Admissions &amp; Financial Aid at @CarletonCollege thanking one our faculty members at @hewittschool for having such a profoundly positive impact on the development of her students. Our dedicated #teachers are amazing!"
3,Mon Oct 26 12:32:17 +0000 2020,"@IreneHLin An inspiring campaign, thanks to good progressives like @jeffblodgett &amp; others. One reason I went to @CarletonCollege."
4,Sun Oct 25 19:42:07 +0000 2020,@JakeZivin @CarletonCollege for comparison's sake you should call a Timbers match in mid-40s temps with no shelter from the wind!
5,Sat Oct 24 00:48:00 +0000 2020,RT @titonka: @CarletonCollege students I’m looking at you.
6,Sat Oct 24 00:35:05 +0000 2020,@CarletonCollege students I’m looking at you.
7,Fri Oct 23 21:59:23 +0000 2020,@reillyadam @CarletonCollege Carcass rules! Happy to co-host a #powerofpublicmedia death metal hour Adam.
8,Thu Oct 22 23:48:36 +0000 2020,@freddieg_33 @CarletonCollege That’s crazy fam. Shouts to you being in those spaces and getting some reps. Wall’s team win in the end?
9,Thu Oct 22 23:39:58 +0000 2020,@TheJeffBissoy @CarletonCollege Yeah I played my part in that battle😤
10,Thu Oct 22 21:52:09 +0000 2020,@TheJeffBissoy @CarletonCollege @freddieg_33 oh they’re fine
11,Thu Oct 22 20:19:04 +0000 2020,"@CarletonCollege @CapehartJ @spmcfoundations Love @CapehartJ, Minnesota, and anyone who graduated in ‘89!"
12,Thu Oct 22 20:16:55 +0000 2020,@CarletonCollege @CapehartJ @spmcfoundations 89’ were u a child prodigy
13,Wed Oct 21 15:27:58 +0000 2020,"@Hogan698 That’s basically Canada!  Haven’t been to Minnesota since@my oldest graduated from @CarletonCollege.  Beautiful state, but too darned cold!"
14,Wed Oct 21 05:22:03 +0000 2020,@CarletonCollege @TheCalvinBrandl is a rapist😃
15,Wed Oct 21 02:11:11 +0000 2020,@CarletonDOS @CarletonCollege I do! Still waiting for our call 🥺
16,Wed Oct 21 01:56:33 +0000 2020,@TheJeffBissoy You miss us @CarletonCollege
17,Tue Oct 20 20:23:20 +0000 2020,“Prospective students think everything on the website is for them” - yes! This was my mantra when we were redesigning our website. Thanks for sharing your research @mryand and Helen Clarke Ebert from @CarletonCollege @HighEdWeb
18,Mon Oct 19 23:42:17 +0000 2020,@dcpl @CarletonCollege It was 25+ years ago so I don’t remember many of the details!
19,Mon Oct 19 23:40:26 +0000 2020,@dcpl I’ve seen him in concert at @CarletonCollege — one of his cousins was a French and African Studies professor
20,Mon Oct 19 01:49:36 +0000 2020,@CarletonCollege @TheCalvinBrandl is a rapist😃
21,Sun Oct 18 19:23:39 +0000 2020,@ewarren @JoeBiden @KamalaHarris @TinaSmithMN Parents weekend @CarletonCollege is virtual due to covid.  It didn’t have to be this way. Glad to see my senator in #Northfield even if I can’t be there.  #GOTV2020 #MaskUp #nursesforbidenharris
