,created_at,full_text
0,Mon Oct 26 17:28:06 +0000 2020,"@realkaranahuja @SCSatCMU @CarnegieMellon @cmuhcii @Sujeath I was trying to find your username, but nothing came up at the time haha - now I know!"
1,Mon Oct 26 16:57:42 +0000 2020,@rajan_vaish @SCSatCMU @CarnegieMellon @cmuhcii @Sujeath Thanks for the support! :D
2,Mon Oct 26 16:36:50 +0000 2020,"@SCSatCMU @CarnegieMellon @cmuhcii done, all the best @Sujeath and Karan! Saw the demo last year at UIST, super cool project!"
3,Mon Oct 26 16:20:14 +0000 2020,RT @brianringley: @NatGMac @CITAcph @icdstuttgart @ETH_en would be my tier 1 followed by @BartlettArchUCL @CarnegieMellon @MIT. if you don'…
4,Mon Oct 26 16:00:34 +0000 2020,@imaginari_es @PropCazhPM @bryanboyer @CarnegieMellon @cmudesign @shannonmattern Is that reading list public? I would love to look through it.
5,Mon Oct 26 14:27:59 +0000 2020,@imaginari_es @bryanboyer @CarnegieMellon @cmudesign @shannonmattern No doubt the info that will be shared will include all of the best thinking on it. Two-time Tartan here. 🙋🏾‍♀️👈🏾
6,Mon Oct 26 14:19:23 +0000 2020,@PropCazhPM @bryanboyer @CarnegieMellon @cmudesign @shannonmattern Thanks! That's such a lovely article—we had it on our reading list for the course
7,Mon Oct 26 07:31:54 +0000 2020,"@EricTopol @_cingraham @CarnegieMellon y axis =""% of people who know someone with covid symptoms&lt;&lt;&lt; really.. is this a joke?"
8,Mon Oct 26 00:53:12 +0000 2020,@kishan22504 @BreakoutList @CarnegieMellon Was working on something similar for Michigan startups called Wolverine List
9,Sun Oct 25 21:52:39 +0000 2020,@myplanet @brookebhawkins @CarnegieMellon @AlexRudnicky Thanks for sharing the news! Hope everybody enjoyed that one.
10,Sun Oct 25 19:26:47 +0000 2020,"I am not suggesting that the group at @carnegiemellon are doing anything nefarious, they are doing surveys and making data available to the public. This is a good thing.

The @washingtonpost writing about it is also a good thing. 

Wearing masks is also a good thing."
11,Sun Oct 25 18:48:01 +0000 2020,@CyLab @CarnegieMellon @CMU_ECE @isrcmu @CMU_EPP Where can we access this information?
12,Sun Oct 25 18:08:06 +0000 2020,@Ajay_Bagga @CarnegieMellon Yes..sir..indeed it is.. courtesy-flock of doctors in my family
13,Sun Oct 25 17:28:03 +0000 2020,"@Jteisele @Phil_from_FL @CarnegieMellon I also take rather strange vacations (as in, I tell people where I went and they are like, you went there for vacation?!) so I may have a tolerance for odd or out of the way places that other people might not."
14,Sun Oct 25 17:26:49 +0000 2020,"@Jteisele @Phil_from_FL @CarnegieMellon I only went as a tourist. Even though it's a pretty big place, it still had a college town-y feel to me. Tons of students, walkable areas but to cross rivers you probably need a car. I thought it was nice but I don't know how it is to live there."
15,Sun Oct 25 17:09:14 +0000 2020,@Phil_from_FL Looking at @CarnegieMellon for one of the boys. @emcpan
16,Sun Oct 25 15:26:07 +0000 2020,@TopherSpiro @GregBrownUNLV @EricTopol @_cingraham @CarnegieMellon They didn't. That is why so many people disagree with the findings. Facebook and people who respond to surveys on Facebook are far from a representative sample
17,Sun Oct 25 15:24:19 +0000 2020,@CarnegieMellon help the student and deactivate account in qatar
18,Sun Oct 25 13:30:17 +0000 2020,"@misterlegman @washingtonpost @CarnegieMellon Couldn’t agree more! But for those who just don’t get it, maybe the pix will help!"
19,Sun Oct 25 10:25:00 +0000 2020,Since 1986 @CarnegieMellon
20,Sun Oct 25 04:59:20 +0000 2020,"@EricTopol @_cingraham @PostGraphics @CarnegieMellon Unroll please @threadreaderapp 
Thank you💙"
21,Sun Oct 25 04:01:39 +0000 2020,@howardfineman @CarnegieMellon and...if they maintain possession for more than 19 minutes #PITT may beat #PSU on the field as well! #Outsmarted
22,Sun Oct 25 03:39:46 +0000 2020,RT @howardfineman: #Pitt has rocketed past #PSU in academic rankings while Panther football falls farther behind. Pitt soon will be schedul…
23,Sun Oct 25 02:44:59 +0000 2020,@EricTopol @_cingraham @CarnegieMellon Of course you do. It's more that you depend on your check mark to fool others.
24,Sun Oct 25 01:32:35 +0000 2020,"@EricTopol @_cingraham @CarnegieMellon Here’s the only number that matters:

6%

Your welcome."
25,Sun Oct 25 01:15:34 +0000 2020,"@EricTopol @_cingraham @CarnegieMellon Predict is a strong word. R-squared does not represent a model’s predictive ability, only its descriptive power"
26,Sun Oct 25 01:12:57 +0000 2020,@EricTopol @_cingraham @CarnegieMellon You need to up your statistics game.
27,Sat Oct 24 23:47:55 +0000 2020,@EricTopol @_cingraham @CarnegieMellon Both are self-reported?? Utterly meaningless (and I'm a mask advocate.)
