,created_at,full_text
0,Mon Oct 26 17:38:34 +0000 2020,Join us on Instagram Live for a Q&amp;A about the 2021 GIVEN Forum at 3PM Eastern. @catholicexcel will be coming to you live from @CatholicUniv!
1,Mon Oct 26 14:11:48 +0000 2020,"RT @JackYoest: #AlertStudent Mark @CUAmsps @CatholicUniv cites Pope Benedict XVI in Caritas in Veritate (Charity in Truth), “Subsidiarity r…"
2,Mon Oct 26 03:40:08 +0000 2020,@CharbelHage12 @CatholicUniv Funny how you promote yourself as welcoming when this lecturer of yours is threatening and saying hateful speech to a girl who wasn’t even talking to him. Since when is it acceptable for educators to talk like this? Disgusting.
3,Sun Oct 25 17:33:53 +0000 2020,RT @sh_pdog: @PeterVroom1 @realDonaldTrump @CatholicUniv must be proud of their alum ridiculing these sisters.
4,Sun Oct 25 14:33:26 +0000 2020,@CornellWBrooks @USCCB @CCharitiesUSA @CatholicRelief @CatholicUniv @AMEChurchOff @HarvardDivinity @harvard_trotter @AP @NPR @nytimes Have no doubt this appointment is well deserved...
5,Sun Oct 25 14:31:26 +0000 2020,@CornellWBrooks @USCCB @CCharitiesUSA @CatholicRelief @CatholicUniv @AMEChurchOff @HarvardDivinity @harvard_trotter @AP @NPR @nytimes Agreed!
6,Sun Oct 25 14:28:56 +0000 2020,"@CornellWBrooks @USCCB @CCharitiesUSA @CatholicRelief @CatholicUniv @AMEChurchOff @HarvardDivinity @harvard_trotter @AP @NPR @nytimes This is Wonderful News! Thank you for sharing. Happy Sunday Reverend, this is a glorious day."
7,Sun Oct 25 06:06:49 +0000 2020,@sh_pdog @kvangs @PeterVroom1 @CatholicUniv Satan has a stranglehold on this man.
8,Sun Oct 25 05:56:33 +0000 2020,"@kvangs @PeterVroom1 Ironic that a guy named Peter Joseph, who went to @CatholicUniv, would dox nuns."
9,Sun Oct 25 05:42:20 +0000 2020,@PeterVroom1 @realDonaldTrump @CatholicUniv must be proud of their alum ridiculing these sisters.
10,Sun Oct 25 02:35:31 +0000 2020,@JosephMattis @CatholicUniv @CatholicUalumni @CatholicU_Cards You are a role model for all and an F’ing stud!
11,Sat Oct 24 21:21:02 +0000 2020,"@jennbellell @CatholicUniv Thanks for participating! We hope we can do this on campus next year.

And if you happen to make it back to Chicago, be sure to say hi to @katerobinson22. Sometimes, maroon is an acceptable shade of red :)"
12,Sat Oct 24 21:05:45 +0000 2020,@JosephMattis @CatholicUniv @CatholicU_Cards Thanks for participating and wearing the appropriate attire. Let's run together next year! 💪
13,Sat Oct 24 19:50:29 +0000 2020,@paigekowalski @CatholicUniv I appreciate that!
