,created_at,full_text
0,Mon Oct 26 00:17:32 +0000 2020,RT @emfu6527: Day 1 of HACU’s 34th Annual Conference is over and WOW am I inspired already!! 🤩 Cannot wait to make more connections with wo…
1,Mon Oct 26 00:15:18 +0000 2020,"Day 1 of HACU’s 34th Annual Conference is over and WOW am I inspired already!! 🤩 Cannot wait to make more connections with wonderful companies and people throughout the remainder of the week!! Also, a special shoutout to @CMUniversity for sponsoring me!

#HACU2020 #LeadwithHACU"
2,Sun Oct 25 19:49:10 +0000 2020,@CMUAthletics @CMUniversity @CMU_CAM @CMU_CCFA sent.
3,Sun Oct 25 09:24:14 +0000 2020,"Today marks the start of our Stand Against Social Injustice Twitter Challenge with @CMUniversity ! CMU students - tag @adidas &amp; @CMUniversity in your submissions and use the hashtag #ThisIsWhyIStand

Eligible submissions will be retweeted to our page. Good luck!"
4,Sun Oct 25 00:29:04 +0000 2020,"@DGaken @katieprebelich @CMUniversity So proud to see this former Red Hawk doing big things at the next level. You were always destined for greatness, @katieprebelich ❤️💛@troyschools @troy_athens @ShawnDuFresne"
5,Sat Oct 24 22:28:43 +0000 2020,"S/o to @CMUniversity , @UMich + @UMFlint , @waynestate , and @WesternMichU for hosting an event to empower and educate on the Latinx Vote! We will have a panel featuring Latinx elected officials from Michigan, Illinois, and Texas."
6,Sat Oct 24 14:01:31 +0000 2020,@CMUniversity @cmichprez Somebody tell the white guy on the end that the mask is supposed to go on his face. Like? C'mon.
7,Sat Oct 24 02:14:44 +0000 2020,Many thx to #mate #executive #volunteers #2020mtspdday @RETSDschools #REC @mbteachers #greatkeynotes @mateMTSmb @sonyaballantyne @hickstro #troyhicks @CMUniversity #professionallearning #remotelearning
8,Fri Oct 23 19:20:46 +0000 2020,"Read in the newspaper today that @waynestate is giving students October 30th as a mental health relaxation day for students. Being in a long stretch with no real breaks, I think @CMUniversity should consider a similar idea, considering that we are on a stretch from labor day"
9,Fri Oct 23 04:45:29 +0000 2020,"More Lies. @MIGOP @ivn @annarbornews @cmuniversity @AARPMICHIGAN @macombdaily @GROSSEPOINTE @MLive @MLiveDetroit @freep @detroitnews 
@GRPRESS @flintjournal @traversectynews @petoskeynews @TheAlpenaNews @crainsdetroit @Independent @saginawnews @NWSGaylord @JacksonNews"
10,Fri Oct 23 00:15:47 +0000 2020,@essenviews Typical Republican #Republicanvoters #Evangelical @HouseGOP @DCExaminer @Instagram @SnapChat @MLB @NBA @MTV @NFL @MIGOP @ivn @annarbornews @cmuniversity @AARPMICHIGAN @macombdaily @GROSSEPOINTE @MLive @MLiveDetroit @freep @detroitnews
11,Thu Oct 22 17:09:51 +0000 2020,@MACSports @CMUniversity @cmichprez @AmyFolan Congratulations!
12,Thu Oct 22 15:04:55 +0000 2020,"And thank you to our committee chairs/facilitators! (1 of 2) Former @CMUniversity pres. spouse Elizabeth Ross,  @CSUPueblo’s Rick Gonzalez, @UHClearLake’s @UHCLpres,  @UNG_News’ Bonita Jacobs, @TAMUTexarkana’s Emily Cutrer #aascuAM20"
13,Thu Oct 22 13:58:37 +0000 2020,"October is Free Application Month at CMU! Apply using their application, or code FIREUP2021 on the Common App, for a FREE application to @CMUniversity!"
14,Thu Oct 22 00:47:21 +0000 2020,@CMUAthletics @CMUniversity @CMU_CAM @CMU_CCFA 25 years too late for me 😐
15,Wed Oct 21 23:11:01 +0000 2020,@CMUAthletics @CMUniversity @CMU_CAM @CMU_CCFA Just emailed my portfolio
16,Wed Oct 21 11:18:01 +0000 2020,"@CMUniversity can someone from IT contact me, please?"
17,Tue Oct 20 23:35:55 +0000 2020,"In addition, Dr. Barr-Little holds a Post-Graduate Certificate in College Teaching @CapellaU, Master’s @CMUniversity, &amp; Bachelor’s @SaintLeoUniv. She is also a decorated @usairforce veteran."
18,Tue Oct 20 22:51:31 +0000 2020,@innovative_inq @CMUniversity GOOD LUCK!!!! Let us know how we can support you when you are in your portfolio phase. :) Office hours are a great start. :)
19,Tue Oct 20 02:15:29 +0000 2020,RT @so_you_know: @hickstro @CMUniversity @CMUEHS @EdTechCmich @chippewariverwp You have been fundamental for this transition! thank you for…
20,Mon Oct 19 16:34:25 +0000 2020,"CMU sending out an email offering late withdraw period AFTER the normal drop date is very, very shitty. What about those who had to make the decision to drop since the deadline was Friday??  @CMUniversity"
21,Mon Oct 19 05:12:33 +0000 2020,@watnunu @CMUniversity You're right!
22,Mon Oct 19 02:35:26 +0000 2020,@cmichprez @CMUniversity @EdUpExperience @UrQueentoBe What a great conversation it was @cmichprez !
23,Mon Oct 19 00:09:19 +0000 2020,"@innovative_inq @CMUniversity Lol too bad ......

I had this things I was thinking about.....

Just kidding. Totally get it. But how rewarding when all is said and done."
24,Sun Oct 18 19:03:13 +0000 2020,@cmichprez @CMUniversity @JoeSallustio @UrQueentoBe Thanks for sharing! It was honor to have you as a guest!
25,Sun Oct 18 15:15:44 +0000 2020,@teeohhcmu @CMUniversity @cmualumni @CMUEHS @mackinacisle @lorianneirwin @MiStateParks Saw y'all walking down main street from a distance on Friday afternoon!
26,Sun Oct 18 00:33:27 +0000 2020,@teeohhcmu @CMUniversity @cmualumni @CMUEHS @mackinacisle @lorianneirwin @MiStateParks We were there at 12:30 today!
27,Sat Oct 17 23:28:27 +0000 2020,@jcbrvd @CMUniversity Thank yooou 😉
28,Sat Oct 17 21:56:44 +0000 2020,@quinnkphoto @CMUniversity Nice sweatshirt
