,created_at,full_text
0,Mon Oct 26 17:24:33 +0000 2020,this is in addition to a 4% tuition increase as well as a refusal to refund lab fees despite being online. get fucked @ChapmanU
1,Sun Oct 25 01:27:58 +0000 2020,@EnglishRail @metrolosangeles @RideGTrans @TorranceTransit @ChapmanU [Dr. Nick voice] what a country!
2,Sun Oct 25 01:27:27 +0000 2020,"@LowHeadways @metrolosangeles @RideGTrans @TorranceTransit @ChapmanU I completely agree. My ideal would be 15 minutes till 1am (or ideally 10 minutes), since most of the research points to that as a minimum for turn-up-and-go, but there would just be too many blank maps!"
3,Sun Oct 25 01:26:24 +0000 2020,"@EnglishRail @metrolosangeles @RideGTrans @TorranceTransit @ChapmanU Ooh thank you! Only part of your diagram I take issue with is the idea of 30 minutes as ""frequent"" but definitely understand the idea of setting the bar somewhere achievable."
4,Sat Oct 24 00:20:34 +0000 2020,@eliasmontani @ChapmanU It's literally what you deserve; love that for you🥳
5,Fri Oct 23 18:37:40 +0000 2020,"RT @ahmedyounisjd: Yesterday, @ChapmanU we welcomed @RevBarberII and he gave a talk that truly blew my mind and enriched my heart. Below is…"
6,Fri Oct 23 17:08:31 +0000 2020,@ChicurelStein @ChapmanU He was so inspiring
7,Fri Oct 23 16:41:18 +0000 2020,@ahmedyounisjd @ChapmanU Rev. Barber is an American PATRIOT
8,Fri Oct 23 15:59:04 +0000 2020,"RT @ahmedyounisjd: Yesterday, @ChapmanU we welcomed @RevBarberII and he gave a talk that truly blew my mind and enriched my heart. Below is…"
9,Fri Oct 23 15:54:08 +0000 2020,@ahmedyounisjd @ChapmanU Daniele was my Dean when I first started at Mason 20 years ago!
10,Fri Oct 23 15:45:01 +0000 2020,I thank @ChapmanU and Dr. Lisa Leitz (Peace Studies) and President Daniele Struppa and all who invited and welcomed Rev. Barber.
11,Fri Oct 23 15:44:59 +0000 2020,"Yesterday, @ChapmanU we welcomed @RevBarberII and he gave a talk that truly blew my mind and enriched my heart. Below is some data that he shared."
12,Fri Oct 23 11:41:56 +0000 2020,"Had a lovely panel at @ChapmanU last night! Continuing the #FinalBowForYellowface circuit with @FordhamNYC today, then @TWBallet and @NYUTischDance next week!"
13,Fri Oct 23 02:07:37 +0000 2020,@LoriCoxHan @ChapmanU Paws up!
14,Thu Oct 22 21:01:34 +0000 2020,"@hughhewitt @nypost How does @ChapmanU feel about their Professor Hewitt spreading disinformation in an attempt to throw an election to his #KingTrump?

Is this what @Chapman_Law teaches? Propaganda, lies and disinformation to subvert free and fair elections?

#Vote @OCGovCA @LisaSparksCA #CA45"
15,Wed Oct 21 21:31:03 +0000 2020,@MsBrownsLibrary @FAMU_1887 @MercerYou @alabamastateu @Morehouse @ChapmanU @WesternILUniv @TempleUniv @GeorgiaStateU @gcu DM us your address. We’ll get one to you. Thank you!
16,Wed Oct 21 19:40:14 +0000 2020,@jeffpearlman @PantherOnline @ChapmanU Do you actually look at the data Jeff?  And don’t give me the “they will go and kill Grandpa”. Just like you wanted every business shut down.  But you go ahead and print Hard Copies of your book and put those workers in jeopardy.  (Using your fucked up logic)
17,Wed Oct 21 18:57:28 +0000 2020,@ChapmanU this u?
18,Wed Oct 21 14:10:57 +0000 2020,@MsBrownsLibrary @FAMU_1887 @MercerYou @alabamastateu @MGAstateU @Morehouse @ChapmanU @WesternILUniv @TempleUniv @GeorgiaStateU @gcu I have a wall in my middle school library like this.  I need to do it in my elementary library.
19,Wed Oct 21 00:59:14 +0000 2020,@scoblevision @ChapmanU Thanks for coming Kyle. Had a good chat.
20,Wed Oct 21 00:41:06 +0000 2020,"great screening of ""All in my Family"" by @beijingloafer put on by @ChapmanU Cross Cultural Center. Great answers and insight Hao! thanks #documentary #nonfiction #LGTBQ"
21,Wed Oct 21 00:10:00 +0000 2020,At 6:20 pm today on the @RodArquette Show on @1059KNRS - @ChapmanU Prof of Urban Studies @joelkotkin joins the program to discuss how the GOP can win over Millennial voters
22,Tue Oct 20 22:34:23 +0000 2020,"@ocregister Come share #coronavirus with @LisaSparksCA and @hughhewitt at @ChapmanU !

#WearAMask @ochealth @OCGovCA 

#Vote"
23,Tue Oct 20 21:11:18 +0000 2020,@hughhewitt @JohnCornyn @ChapmanU You must be so proud to have a moron like Hugh Hewitt on your faculty. Speaks volumes about your institution.
