,created_at,full_text
0,Mon Oct 26 17:48:56 +0000 2020,@CityCollegeNY @Vgbcc1 @cpowellschool @CCNYHumArts @CCNYSoE @CCNYCWE @DivOfScience @CCNYLibraries @CCNYPS @CSOM_Official @CCNYSports @ZahnCenterNYC Happy belated birthday to Pres @Vgbcc1 !
1,Mon Oct 26 17:22:20 +0000 2020,@CityCollegeNY @Vgbcc1 @cpowellschool @CCNYHumArts @CCNYSoE @CCNYCWE @DivOfScience @CCNYLibraries @CCNYPS @CSOM_Official @CCNYSports Happy Birthday 🥳
2,Mon Oct 26 02:22:51 +0000 2020,@CityCollegeNY @Vgbcc1 @cpowellschool @CCNYHumArts @CCNYSoE @CCNYCWE @DivOfScience @CCNYLibraries @CCNYPS @CSOM_Official @CCNYSports @ZahnCenterNYC ♥️♥️♥️♥️♥️ happy birthdayyyyy
3,Mon Oct 26 00:21:05 +0000 2020,"@CityCollegeNY @Vgbcc1 Happy birthday, Pres. Boudreau!!"
4,Sun Oct 25 20:36:30 +0000 2020,@CityCollegeNY @Vgbcc1 @CCNYHumArts @CCNYSoE @CCNYCWE @CCNYPS @CSOM_Official @CCNYSports @ZahnCenterNYC Happy Birthday! 🎉
5,Sun Oct 25 20:10:30 +0000 2020,"@CityCollegeNY @DeeMozeleski @Vgbcc1 @cpowellschool @CCNYHumArts @CCNYSoE @CCNYCWE @DivOfScience @CCNYLibraries @CCNYPS @CSOM_Official @CCNYSports @ZahnCenterNYC Happy birthday, Vince!"
6,Sun Oct 25 17:09:52 +0000 2020,@CityCollegeNY @Vgbcc1 @cpowellschool @CCNYHumArts @CCNYSoE @CCNYCWE @DivOfScience @CCNYLibraries @CCNYPS @CSOM_Official @CCNYSports @ZahnCenterNYC Happy Birthday
7,Sun Oct 25 16:55:05 +0000 2020,@CityCollegeNY @Vgbcc1 @cpowellschool @CCNYHumArts @CCNYSoE @CCNYCWE @DivOfScience @CCNYLibraries @CCNYPS @CSOM_Official @CCNYSports @ZahnCenterNYC Happy Birthday
8,Sun Oct 25 16:28:10 +0000 2020,@CityCollegeNY @Vgbcc1 @cpowellschool @CCNYHumArts @CCNYSoE @CCNYCWE @DivOfScience @CCNYLibraries @CCNYPS @CSOM_Official @CCNYSports @ZahnCenterNYC Happy birthday!
9,Sun Oct 25 14:24:09 +0000 2020,@CityCollegeNY @Vgbcc1 @cpowellschool @CCNYHumArts @CCNYSoE @CCNYCWE @DivOfScience @CCNYLibraries @CCNYPS @CSOM_Official @CCNYSports @ZahnCenterNYC Happy birthday!!!!!!!
10,Sun Oct 25 14:19:56 +0000 2020,@CityCollegeNY @Vgbcc1 @cpowellschool @CCNYHumArts @CCNYSoE @CCNYCWE @DivOfScience @CCNYPS @CSOM_Official @CCNYSports @ZahnCenterNYC Happy Birthday 🎈
