,created_at,full_text
0,Sun Oct 25 15:01:38 +0000 2020,"Director of Admissions, Kathryn Espiritu, will be participating in a virtual #LawSchool Panel for the #ClaremontColleges on 10/26 at 7:00 PM ET! @pomonacollege @scrippscollege @CMCnews @harveymudd @pitzercollege #FordhamLaw #prelaw #NYC"
1,Fri Oct 23 05:10:39 +0000 2020,RT @TSLnews: Claremont McKenna College will announce a decision on whether students will return to campus for the spring 2021 semester by D…
2,Fri Oct 23 00:49:42 +0000 2020,@settlestennis @JRBlake @CMCnews Awesome!!!
3,Fri Oct 23 00:21:44 +0000 2020,"@DrIbram unbelievably well researched book. Stamped from the Beginning was so good that I bought #HowToBeAnAntiracist on the spot! On another note, you recently spoke at @CMCnews and I am still bummed to have missed it. Keep up the good fight. #BeAntiracist"
4,Thu Oct 22 18:46:17 +0000 2020,RT @settlestennis: So thankful to have @JRBlake as a guest speaker in ID 150 The Scholar and The Athlete class this morning discussing athl…
5,Thu Oct 22 18:31:59 +0000 2020,So thankful to have @JRBlake as a guest speaker in ID 150 The Scholar and The Athlete class this morning discussing athlete activism @CMCnews
6,Thu Oct 22 17:12:32 +0000 2020,"2. That 5Cs create a contingency calendar for another completely remote semester. 

@pitzercollege, @CMCnews, @pomonacollege, @harveymudd 
and @scrippscollege announced the new spring semester schedule, which replaces spring break with three one-day breaks, earlier this week."
7,Wed Oct 21 19:28:04 +0000 2020,"Congratulations again to all authors, institutions, and presses represented in this year's Shannon Prize shortlist! @stephaniemudge, @ucdavis, @MITPSTS, @FPRI, @Penn, @Stanford, @OfficialUoM, @CMCnews, @StanfordHistory, 

@KeoughGlobalND/@nd_news"
8,Tue Oct 20 15:04:20 +0000 2020,"I attended an all-girls college. It's true. As a @pomonacollege student '78, I took a class at @scrippscollege . I also took classes at @CMCnews and @pitzercollege  That was the benefit of being a student in the Claremont Colleges."
9,Tue Oct 20 01:35:33 +0000 2020,RT @TSLnews: Claremont McKenna College will announce a decision on whether students will return to campus for the spring 2021 semester by D…
10,Mon Oct 19 21:45:38 +0000 2020,RT @TSLnews: Claremont McKenna College will announce a decision on whether students will return to campus for the spring 2021 semester by D…
11,Mon Oct 19 21:26:43 +0000 2020,"Claremont McKenna College will announce a decision on whether students will return to campus for the spring 2021 semester by Dec. 9, @CMCnews President Hiram Chodosh said Monday."
12,Mon Oct 19 20:14:22 +0000 2020,"In the meantime (this is a substantial email): @CMCnews has reduced operational budgets and executive salaries/retirement benefits. It has ""drawn on the strong financial resources of the College to cover additional, significant funding gaps."""
13,Mon Oct 19 20:12:54 +0000 2020,"If students return to @CMCnews: there are plans for ""rigorous screening, frequent testing, smart tracing, and diligent cleaning capabilities; single-room residential capacity; expanded, smart dining options; ample isolation and quarantine housing; and on-site medical support."""
14,Mon Oct 19 20:11:03 +0000 2020,"Spring Update: @CMCnews students can expect a final decision on whether they will return to campus for SP21 by Dec. 9, Chodosh says."
15,Mon Oct 19 20:09:54 +0000 2020,"RT @HeeterMaria: INBOX: Claremont McKenna College will temporarily furlough workers in December if students do not return in the spring, pe…"
16,Mon Oct 19 20:08:08 +0000 2020,"INBOX: Claremont McKenna College will temporarily furlough workers in December if students do not return in the spring, per a Monday email from @cmcnews president Hiram Chodosh."
