,created_at,full_text
0,Sun Oct 25 00:30:52 +0000 2020,@JayAshMACP @ClarkUniversity Glad I can be of assistance my friend!
1,Sat Oct 24 16:37:06 +0000 2020,@ClarkUniversity No link...
2,Fri Oct 23 23:01:45 +0000 2020,@ClarkUScreen @ClarkUniversity can we watch borat after while we have everything set up
3,Fri Oct 23 15:30:52 +0000 2020,@ClarkUniversity @ClarkAthletics Step up field hockey 🏑 parents!
4,Thu Oct 22 20:13:57 +0000 2020,"RT @udhumanrights: Next, we hear from Cynthia Enloe of @ClarkUniversity, talking on the feminist link between globalism and militarization…"
5,Thu Oct 22 18:55:44 +0000 2020,"Next, we hear from Cynthia Enloe of @ClarkUniversity, talking on the feminist link between globalism and militarization and the ""global gender gap."""
6,Thu Oct 22 13:44:39 +0000 2020,"RT @MonicaSager3: ""The #oil and #gas #energy are the @blockbuster  of the world and the #renewableenergies are the @netflix,"" @craigaltemos…"
7,Wed Oct 21 23:51:13 +0000 2020,"""The #oil and #gas #energy are the @blockbuster  of the world and the #renewableenergies are the @netflix,"" @craigaltemose from @BetterFuturePro said during a #Mitzvote @HillelIntl event with @ClarkUniversity students. #vote #2020election #presidentialelection #divest"
8,Wed Oct 21 20:55:24 +0000 2020,@SuzyWillemssen @SueEnquist @NFCAorg @natashawatley29 @ClarkUniversity @clarku_softball Thanks!!  I appreciate that!
9,Wed Oct 21 20:50:37 +0000 2020,@SueEnquist @gmoe400 @NFCAorg @natashawatley29 @ClarkUniversity @clarku_softball Congrats Coach Shirley!! 🔥🔥🔥
10,Wed Oct 21 17:45:20 +0000 2020,@SueEnquist @NFCAorg @natashawatley29 @ClarkUniversity @clarku_softball Thank you!  I am extremely honored as honored to hear from you as well!
11,Wed Oct 21 13:28:29 +0000 2020,RT @JessCigna: I had a great time at my first #mapathon tonight! Thank you @openstreetmap @hotosm @GISCorps #GIS @ClarkUniversity and my fe…
12,Wed Oct 21 02:27:24 +0000 2020,RT @JessCigna: I had a great time at my first #mapathon tonight! Thank you @openstreetmap @hotosm @GISCorps #GIS @ClarkUniversity and my fe…
13,Wed Oct 21 02:26:36 +0000 2020,I had a great time at my first #mapathon tonight! Thank you @openstreetmap @hotosm @GISCorps #GIS @ClarkUniversity and my fellow @NEURISA board members for making it a reality. We are doing an amazing job at being #spatiallydistant but #sociallytogether #Neurisaday2020
14,Wed Oct 21 01:37:21 +0000 2020,"@DaveHolmes @ClarkUniversity I thought you were a Crusader.
I grew up in Concord, MA, by the rude bridge."
15,Wed Oct 21 00:50:29 +0000 2020,@MxHamx @ClarkUniversity Did I know you're from near Worcester? I went to Holy Cross.
16,Tue Oct 20 20:01:40 +0000 2020,@ClarkUScreen @ClarkUniversity waIT HOW DID I MISS THIS SOREN
17,Mon Oct 19 19:38:07 +0000 2020,"@ClarkUniversity: forget the needs of our students. follow us on tiktok!

students: can u just give us more financial support, a less rigorous academic environment to help our mental health, and implement the demands put forth by BSU? 

@ClarkUniversity: follow us on tiktok!"
18,Mon Oct 19 14:03:58 +0000 2020,"Virtual college admission visits this week include,
TODAY:
@KenyonCollege 
@AmericanU 
@UofR 
@illinoistech 
@RegisCollege_MA 
@FollowStevens 

TUESDAY:
@JohnsHopkins 
@SaintAnselm 
@ClarkUniversity 

THURSDAY:
@USMAdmissions"
19,Mon Oct 19 12:45:53 +0000 2020,RT @ParisNoire: Thanks to @ClarkUniversity and @NinaKushner1 for hosting me today. Your students are some of the most thoughtful I have yet…
20,Sat Oct 17 18:51:05 +0000 2020,"Acc to @pewresearch, 52% of 18-
29 y/o now live w/ parents. 
Up 5% from Feb. (#COVID19) 
@ClarkUniversity Jeffrey Arnett studies #EmergingAdults. 
He says this isn't so bad.
In many cultures its routine."
