,created_at,full_text
0,Mon Oct 26 16:48:30 +0000 2020,"RT @ClemsonUniv: Thanks to #ClemsonResearch led by Delphine Dean and Mark Blenner, we recently developed a lab certified by Clinical Labora…"
1,Mon Oct 26 16:48:10 +0000 2020,I am so happy the RCID PhD program at @ClemsonUniv has a director (@texcyn1 ) who's advocating and fighting to help PhD students during everything that's going on. I hope y'all's programs are doing the same.
2,Mon Oct 26 16:24:16 +0000 2020,"RT @ClemsonUniv: Thanks to #ClemsonResearch led by Delphine Dean and Mark Blenner, we recently developed a lab certified by Clinical Labora…"
3,Mon Oct 26 16:19:16 +0000 2020,"RT @ClemsonUniv: Thanks to #ClemsonResearch led by Delphine Dean and Mark Blenner, we recently developed a lab certified by Clinical Labora…"
4,Mon Oct 26 16:18:49 +0000 2020,@ClemsonUniv What kind of testing? PCR?
5,Mon Oct 26 16:15:40 +0000 2020,"RT @ClemsonUniv: Thanks to #ClemsonResearch led by Delphine Dean and Mark Blenner, we recently developed a lab certified by Clinical Labora…"
6,Mon Oct 26 16:11:58 +0000 2020,@ClemsonBaseball @KierMeredith @ClemsonUniv Couldn’t have done it without @LindZRick
7,Mon Oct 26 15:53:21 +0000 2020,"RT @ClemsonUniv: Thanks to #ClemsonResearch led by Delphine Dean and Mark Blenner, we recently developed a lab certified by Clinical Labora…"
8,Mon Oct 26 15:46:07 +0000 2020,"RT @ClemsonUniv: Thanks to #ClemsonResearch led by Delphine Dean and Mark Blenner, we recently developed a lab certified by Clinical Labora…"
9,Mon Oct 26 15:05:47 +0000 2020,"@ClemsonUniv or @ClemsonTigers, is there some kind of hotline I can call when I see a #Clemson paw decal placed in the 12 o’clock position?"
10,Mon Oct 26 14:36:29 +0000 2020,@morganodom22 @ClemsonUniv Congratulations Tiger!
11,Mon Oct 26 14:33:57 +0000 2020,@ClemsonBaseball @KierMeredith @BoMajkowski16 @ClemsonUniv Good job Athletes should always be students first and foremost
12,Mon Oct 26 14:09:40 +0000 2020,"@JoshAGoldstein @ClemsonUniv @DarrenLinvill @plwarre Thank you Josh...

Is there a centralized url (other) where can search and read more
about:

""How to teach public to vet, verify and source?""

Thanks :)"
13,Mon Oct 26 13:14:37 +0000 2020,@morganodom22 @ClemsonUniv Congratulations!!
14,Mon Oct 26 12:48:35 +0000 2020,@morganodom22 @ClemsonUniv Congrats! #ClemsonFamily
15,Mon Oct 26 10:33:01 +0000 2020,@OurClemson @ClemsonUniv Wise Decision on behalf of the Clemson Leadership.😷🦋😇
16,Mon Oct 26 03:34:01 +0000 2020,"@OurClemson @ClemsonUniv You're giving students 2 days off next week for Fall Break. Many will go home and return Wednesday. So why the change for Thanksgiving? There's no difference! CU's decisions for COVID-19 this Fall has definitely NOT been based on logic, common sense, or protection for students."
17,Mon Oct 26 01:40:47 +0000 2020,@ClemsonUniv Thank you for retweeting! Bedtime was rough 😫 #findgonger
18,Mon Oct 26 00:42:41 +0000 2020,@ClemsonBaseball @KierMeredith @BoMajkowski16 @ClemsonUniv Two amazing young men! Congratulations!! 👏🏼👏🏼👏🏼
19,Mon Oct 26 00:04:57 +0000 2020,"@campusreform #GetWokeGoBroke 
You're next @ClemsonFB @ClemsonUniv"
20,Sun Oct 25 23:28:24 +0000 2020,@ClemsonBaseball @KierMeredith @BoMajkowski16 @ClemsonUniv Congratulations gentlemen
21,Sun Oct 25 22:05:37 +0000 2020,"With the first pick in the 2020 @NFL draft, the @Patriots select @Trevorlawrencee Quarterback, @ClemsonUniv 

@stoolpresidente @jerrythornton1 
@GerryCallahan"
22,Sun Oct 25 21:40:03 +0000 2020,@EthicalSkeptic We need a Bill of Rights against  testing.  @ClemsonUniv has a testing addiction and thus they keep finding cases.
23,Sun Oct 25 20:41:49 +0000 2020,@ThomasSKidd @ClemsonUniv I had to read it for George Marsden @DukeDivinity (I was just an undergrad). That was some thick stuff for a 19 year old. Thankful for Dr. Marsden's corrections to Miller's slant as well.
24,Sun Oct 25 18:04:45 +0000 2020,"@franksvalli @scdhec I wonder how much of that is due to Clemson students? I know the school is taking steps, but they need surveillance testing if it's not already in place.
@ClemsonUniv any information?
Thank you in advance"
25,Sun Oct 25 05:24:07 +0000 2020,"@jodicel @MJDyenson @scdhec Been there, done that with @UofSC , university v county data, very sketchy since aug. @ClemsonUniv seems, at least transparent, testing, &amp; shutting down at thanksgiving 🤷‍♀️🤦‍♀️🙄"
26,Sun Oct 25 02:41:53 +0000 2020,"@ClemsonUniv I would strongly argue that profile 8 on your Spot The Troll website IS a troll account, even though you say it's not. He's using Social Media to spread misinformation and manipulate people into visiting his website and buying his products. That's trolling."
27,Sat Oct 24 23:51:23 +0000 2020,yall @ClemsonUniv @IUHoosiers need to get my mans to your school ASAP sweeten up that deal and send my bro a scholarship for his trouble. he is doing the GOD'S work rn.
28,Sat Oct 24 22:59:28 +0000 2020,Another W baby!!!  Go Tigers 🐅 wooo!!!  @ClemsonFB @ClemsonUniv @ClemsonSports @CoachRod_McD @CoachToddBates @Coach_Grisham best team in the nation!!!  #ALLIN. Best coaches and best players. #ALLIN @Sapp91 @TajhB10
29,Sat Oct 24 18:04:54 +0000 2020,@ClemsonUniv Go Tigers 🐅
30,Sat Oct 24 18:04:48 +0000 2020,@ClemsonUniv Go Tigers 🐅
31,Sat Oct 24 18:04:36 +0000 2020,And thank you @ClemsonUniv Chief of Staff Max Allen!
32,Sat Oct 24 17:27:06 +0000 2020,RT @ClemsonUniv: Our favorite moments in Death Valley. A thread. 🔥👇
33,Sat Oct 24 17:25:40 +0000 2020,@ClemsonUniv A rally in the Valley! Go Tigers!!👏👏
34,Sat Oct 24 15:16:11 +0000 2020,@ClemsonUniv Go Tigers 🐅
35,Sat Oct 24 13:54:21 +0000 2020,"2. Jorgensen was a part owner &amp; Pres of Digitech Inc., since 2006 she has been a ""Senior Lecturer"" in Psychology at @ClemsonUniv. Since 1992 she has lost every election she has been a candidate in as a Libertarian."
36,Sat Oct 24 03:10:25 +0000 2020,"@PalmettoPride @CURecycle @ClemsonUniv @solidgreen @ClemsonEcoRep Do you have any face mask, bags or supplies we can use for cleanups!"
37,Fri Oct 23 22:45:40 +0000 2020,@P_J_Buckhaults @watermicrobe @UofSC @ClemsonUniv @uofiadmissions @Yale @broadinstitute @BroadGenomics I think you are absolutely correct. If only we lived in a country with a rational public health system that would be able/willing to task them with testing our way out of the pandemic.
38,Fri Oct 23 22:14:44 +0000 2020,"@P_J_Buckhaults @watermicrobe @DNAkendra @UofSC @ClemsonUniv @uofiadmissions @Yale @broadinstitute @BroadGenomics At UW/Seattle flu study, they are running a large survey across campus, both for students, and for faculty &amp; staff. I fill out a survey every day, and a bunch of folks have been tested."
39,Fri Oct 23 22:12:56 +0000 2020,RT @P_J_Buckhaults: @DNAkendra @watermicrobe @UofSC @ClemsonUniv @uofiadmissions @Yale @broadinstitute @BroadGenomics @broadinstitute rocks…
40,Fri Oct 23 20:20:46 +0000 2020,"@DNAkendra @watermicrobe @UofSC @ClemsonUniv @uofiadmissions @Yale @broadinstitute @BroadGenomics @broadinstitute rocks.  they and Sean Leavy at Hudson Alpha, and the WashU genome center could probably run my saliva protocol on the whole country and squash this like a bug."
