,created_at,full_text
0,Mon Oct 26 16:52:18 +0000 2020,".@CLE_State @cwru @JohnCarrollU @NotreDameOhio @KentState @hiramcollege @uakron @youngstownstate R U willing 2 take the challange 2 join forces 2 bring greater academic achievement 2 @CLEMetroSchools 
&amp; other urban districts 2 imprve outcomes in 
R region's workforce &amp; prosperity"
1,Mon Oct 26 16:19:01 +0000 2020,.@CLE_State @cwru @JohnCarrollU @NotreDameOhio @KentState @hiramcollege @uakron @youngstownstate arriving to solutions also requires in-depth reporting about about progress from @clevelanddotcom @cleveland19news @fox8news @wkyc @WEWS and feed back from the CLE community.
2,Mon Oct 26 16:13:52 +0000 2020,.@CLE_State @cwru @JohnCarrollU @NotreDameOhio @KentState @hiramcollege @uakron @youngstownstate The solution comes with leveraging the power of strong academic institutions and bringing solutions to public for discourse.  All working together for the same goal.
3,Mon Oct 26 16:10:39 +0000 2020,"In NE Ohio, we have .@CLE_State @cwru @JohnCarrollU @NotreDameOhio @KentState @hiramcollege @uakron 
@youngstownstate which can all be part of the solution 2 improve the urban school academic standards.  Lets stop the slogans and lip service and get to work!  
@KeepGoingCLE"
4,Sun Oct 25 19:46:13 +0000 2020,@CLE_State Congratulations @LaurenZawie !
5,Sun Oct 25 03:48:34 +0000 2020,"@bader_diedrich @UDMercy @OhioState @clevelandstate Actually, that last one should be @CLE_State."
6,Sun Oct 25 00:39:18 +0000 2020,@AnnMarieBentl18 @CLE_State Thanks!! So much support from so many amazing people😇
7,Sat Oct 24 14:28:54 +0000 2020,@Baiju_R_Shah @crampell @GlobalCleveland @NewAmericanEcon @joecimperman @rlsmithpd @CWRUintl @CLE_State @KentState Also - northeast Ohio area employers need to understand it is not expensive nor tons of paperwork to hire international students. And the investment is worth the benefit in so many ways!! Please hire international students!!
8,Sat Oct 24 14:11:07 +0000 2020,@SkrticX @Cleve_Memory @EncyCle_ @thiswascle @joecimperman @CLE_State @CSU_President @dufr01 @stipemiocic That moment when you actually remember the content on the historical images of Cleveland.   Crap..getting too old.
9,Sat Oct 24 13:04:46 +0000 2020,"4/4 Proudly co-authored w/: Michael Frisby &amp; Emanuele Bardelli @UMichEducation @AndresPinedo15 @blckgirltheory Elise Harris &amp; Sara McAlister @metronyu &amp; Adam Voight @CLE_State 
Thanks to @AndrewDeanHo for suggesting this in a hallway conversation! 
#critquant"
10,Sat Oct 24 03:24:38 +0000 2020,@SkrticX @Cleve_Memory @EncyCle_ @thiswascle @joecimperman @CLE_State @CSU_President @dufr01 @stipemiocic I remember going there in late August or early September of '91 w/my mom to buy the needed books for my freshman year.
11,Sat Oct 24 01:28:07 +0000 2020,@CSU_President @CLE_State Very proud that the @CSUHonors lounge will feature in this!
12,Sat Oct 24 01:18:46 +0000 2020,@SkrticX @Cleve_Memory @EncyCle_ @thiswascle @joecimperman @CLE_State @CSU_President @dufr01 @stipemiocic That’s how I remember it when I went to @CMLAWSchool.
13,Sat Oct 24 00:25:32 +0000 2020,@CSU_MBasketball @coachdgates @meechieterry14 @jaywoodrich5 @souljabenny @deantejohnson35 @thathooperalec @cgreenee2 @hmferreira17 @CLE_State @scottmgarrett Lets go ✊✊
14,Fri Oct 23 23:27:20 +0000 2020,RT @CLE_State: Walk up flu shots are available today in the Euclid Commons courtyard from 4-6 p.m. The flu vaccine is the best way to preve…
15,Fri Oct 23 23:18:07 +0000 2020,"@SkrticX @Cleve_Memory @EncyCle_ @thiswascle @joecimperman @CLE_State @CSU_President @dufr01 @stipemiocic Don't know about 1990 because, well, I'm too old to know some things. But it was not far into the '70's when the place was taken over and run for many years by Barnes and Noble. Our first local taste of the Barnes and Noble Company.  It was called B&amp;N at CSU."
16,Fri Oct 23 22:30:32 +0000 2020,@SkrticX @Cleve_Memory @EncyCle_ @thiswascle @joecimperman @CLE_State @CSU_President @dufr01 @stipemiocic That’s where Franklin Edwards purchased his books.
17,Fri Oct 23 20:25:53 +0000 2020,@DallasJ1977 @Cleve_Memory @EncyCle_ @thiswascle @joecimperman @CLE_State @CSU_President @dufr01 @stipemiocic Not at that location any longer .
18,Fri Oct 23 18:52:19 +0000 2020,@zonemat @SkrticX @Cleve_Memory @EncyCle_ @thiswascle @CLE_State @CSU_President @dufr01 @stipemiocic You got your big league chew there eh jefe?
19,Fri Oct 23 18:48:12 +0000 2020,@SkrticX @Cleve_Memory @EncyCle_ @thiswascle @joecimperman @CLE_State @CSU_President @dufr01 @stipemiocic Good memories for me.
20,Fri Oct 23 18:47:50 +0000 2020,@ByGeorgeThomas @SkrticX @ssuttell @Cleve_Memory @EncyCle_ @thiswascle @joecimperman @CLE_State @CSU_President @dufr01 @stipemiocic Me too.
