,created_at,full_text
0,Mon Oct 26 16:46:11 +0000 2020,@Sunil_KumarKR @erlichya @houseofdosas @dinazielinski @CSHL @cshlcourses @CSHLplantcourse @UllasPedmale No worries @Sunil_KumarKR we’ll make sure to grab a bite there next time you visit CSHL!
1,Mon Oct 26 00:41:41 +0000 2020,"@erlichya @houseofdosas @dinazielinski Hmm, I only visited @CSHL twice but how come no one at @cshlcourses told me about @houseofdosas? I cant believe I took multiple trains and went all the way over to #NewYorkCity to eat Indian food during @CSHLplantcourse 
Well there's always a next time @UllasPedmale @Matt_Ben_"
2,Sat Oct 24 01:58:47 +0000 2020,@lustgartenfdn @CSHL @salkinstitute @EurekAlert Congrats!!
3,Fri Oct 23 23:18:26 +0000 2020,Nice to see everyone at the @CSHL conference.
4,Fri Oct 23 21:10:44 +0000 2020,@lustgartenfdn @CSHL @salkinstitute @EurekAlert CONGRATS!!!!
5,Fri Oct 23 12:25:44 +0000 2020,@lustgartenfdn @CSHL @salkinstitute @EurekAlert Awesome @DannieEngle 👏 👏!! Congrats !!
6,Fri Oct 23 10:14:12 +0000 2020,@lustgartenfdn @CSHL @salkinstitute @EurekAlert This is awesome! Congrats Dannie!!!
7,Fri Oct 23 05:53:46 +0000 2020,@lustgartenfdn @CSHL @salkinstitute @EurekAlert Amazing!!! Congrats @DannieEngle !!!
8,Fri Oct 23 04:51:43 +0000 2020,@juliesut8 @lustgartenfdn @CSHL @salkinstitute @EurekAlert Thanks!
9,Fri Oct 23 04:51:09 +0000 2020,@Chiolaboratory @lustgartenfdn @CSHL @salkinstitute @EurekAlert Thanks CC!!!
10,Fri Oct 23 02:21:10 +0000 2020,@lustgartenfdn @CSHL @salkinstitute @EurekAlert Woohoo🙌🏼 🥳way to go @DannieEngle !!!
11,Fri Oct 23 01:55:39 +0000 2020,@lustgartenfdn @CSHL @salkinstitute @EurekAlert Woah!! Dannie omg thats huge! Congrats!
12,Fri Oct 23 00:47:48 +0000 2020,@lustgartenfdn @CSHL @salkinstitute @EurekAlert CONGRATULATIONS!!!!
13,Fri Oct 23 00:03:53 +0000 2020,@MaraShermanLab @lustgartenfdn @CSHL @salkinstitute @EurekAlert Thanks Mara!!
14,Thu Oct 22 16:22:02 +0000 2020,@oncogenie @CSHL This is so great! We’re 🤣 at research objective 6 too.
15,Thu Oct 22 06:28:29 +0000 2020,"@oncogenie @DNALC @CSHL Leaves room for blue sky thinking, brilliant"
16,Thu Oct 22 06:24:19 +0000 2020,@oncogenie @DNALC @CSHL Lol! I had a similar research objective 6 today.
17,Wed Oct 21 20:24:04 +0000 2020,RT @ShttyWizardHrs: @Jackie_Gio @MarinaP63 @CSHL Thank you so much for sharing your fabulous work! The GIF thread also gave me my first rea…
18,Wed Oct 21 19:13:27 +0000 2020,"@Jackie_Gio @MarinaP63 @CSHL Thank you so much for sharing your fabulous work! The GIF thread also gave me my first real laugh of the day, haha!"
19,Wed Oct 21 14:50:38 +0000 2020,RT @MouseVMD: @janeliaconf @HHMIJanelia @KristinMBranson @AICjanelia @ScopeShifu @HHMINEWS @CSHL @embl @MRC_LMB @UCTIDM @NCBS_Bangalore @Ts…
20,Wed Oct 21 14:49:33 +0000 2020,@janeliaconf @HHMIJanelia @KristinMBranson @AICjanelia @ScopeShifu @HHMINEWS @CSHL @embl @MRC_LMB @UCTIDM @NCBS_Bangalore @Tsinghua_Uni @PKU1898 @ifibyne @IndiaBioscience Awesome talks! @KristinMBranson and @ScopeShifu
21,Wed Oct 21 13:55:34 +0000 2020,@Jackie_Gio @CSHL Congrats!
22,Wed Oct 21 02:41:22 +0000 2020,@Jackie_Gio @CSHL Congrats Jackie! Looking forward to reading it
23,Wed Oct 21 02:22:33 +0000 2020,@Jackie_Gio @CSHL Congrats!!! Love the gifs 🙃
24,Wed Oct 21 01:19:25 +0000 2020,@AmanHusbands @Amelia_Lindsey @CSHL @AntoineMolaro Me too!
25,Wed Oct 21 00:24:19 +0000 2020,@HarmitMalik @AmanHusbands @Amelia_Lindsey @CSHL @AntoineMolaro How much time do you have?  I can start with stories from 2008.. 😅
26,Wed Oct 21 00:16:14 +0000 2020,@HarmitMalik @Amelia_Lindsey @CSHL @AntoineMolaro I blame 98% of my issues on Molaro😂
27,Wed Oct 21 00:14:21 +0000 2020,"@AmanHusbands @Amelia_Lindsey Your gif choices... 😮

Who hurt you @AmanHusbands 

What did @CSHL do to you and @AntoineMolaro"
28,Tue Oct 20 22:52:06 +0000 2020,@mbanuelos22 @sacnas @TheSIAMNews @CSHL @ucmerced @UCMerced_NatSci You HAVE to stop by and say Hi at the SACNAS booth when I am there 😊
29,Tue Oct 20 22:18:38 +0000 2020,"@Jackie_Gio @CSHL Excellent work, Jackie!"
30,Tue Oct 20 22:13:51 +0000 2020,@Jackie_Gio @CSHL congrats jackie! great to see this work out.
31,Tue Oct 20 22:04:52 +0000 2020,@jonathandgjones @CSHL @EurekAlert where is the photosynthetic machinery?
32,Tue Oct 20 22:04:44 +0000 2020,@Jackie_Gio @CSHL Congratulations Jackie!
33,Tue Oct 20 21:00:27 +0000 2020,RT @ScopeShifu: @janeliaconf @HHMIJanelia @KristinMBranson @AICjanelia @HHMINEWS @CSHL @embl @MRC_LMB @UCTIDM @NCBS_Bangalore @Tsinghua_Uni…
34,Tue Oct 20 20:35:45 +0000 2020,RT @ScopeShifu: @janeliaconf @HHMIJanelia @KristinMBranson @AICjanelia @HHMINEWS @CSHL @embl @MRC_LMB @UCTIDM @NCBS_Bangalore @Tsinghua_Uni…
35,Tue Oct 20 20:35:31 +0000 2020,@janeliaconf @HHMIJanelia @KristinMBranson @AICjanelia @HHMINEWS @CSHL @embl @MRC_LMB @UCTIDM @NCBS_Bangalore @Tsinghua_Uni @PKU1898 @ifibyne @IndiaBioscience Looking forward to this tomorrow!
36,Tue Oct 20 18:36:52 +0000 2020,@Jackie_Gio @CSHL Congrats!!
37,Tue Oct 20 17:17:45 +0000 2020,@Jackie_Gio @CSHL YAAAY CONGRATS! :D
38,Tue Oct 20 14:05:05 +0000 2020,"Attending by first virtual conference - ""Microbiome meeting 2020"" organized by @cshlmeetings @CSHL  #cshlmbiome"
39,Tue Oct 20 05:15:04 +0000 2020,@fjsanchezrivera @CancerHacker @CSHL @WhiteheadInst This is friggin bonkers. Amazing work.
40,Mon Oct 19 21:44:13 +0000 2020,@fjsanchezrivera @CSHL @WhiteheadInst Loved the questions! Thanks much for the support!!!
41,Mon Oct 19 21:43:48 +0000 2020,@fjsanchezrivera @CancerHacker @CSHL @WhiteheadInst I would say that I need to reflect on my scientific worth in a quiet private place 😂
42,Mon Oct 19 20:45:32 +0000 2020,@WalterWChen1 @CancerHacker @CSHL @WhiteheadInst I know right!? What if I told you that this is basically &lt;25% of @CancerHacker's output on this? 🚀🚀🚀🚀🚀
43,Mon Oct 19 20:32:41 +0000 2020,@fjsanchezrivera @CancerHacker @CSHL @WhiteheadInst This paper is awesome!! Wow just wow.
44,Mon Oct 19 17:18:55 +0000 2020,@fjsanchezrivera @CancerHacker @CSHL @WhiteheadInst Great talk and very exciting work!
45,Mon Oct 19 16:46:56 +0000 2020,RT @sbarolo: @NeedhiBhalla @methanoJen @jdhallphd @annaboconnell @dnatarheel @NSF @NIH I should mention that a couple of young biomed PhD p…
46,Mon Oct 19 02:50:00 +0000 2020,RT @sbarolo: @NeedhiBhalla @methanoJen @jdhallphd @annaboconnell @dnatarheel @NSF @NIH I should mention that a couple of young biomed PhD p…
47,Mon Oct 19 02:32:45 +0000 2020,RT @sbarolo: @NeedhiBhalla @methanoJen @jdhallphd @annaboconnell @dnatarheel @NSF @NIH I should mention that a couple of young biomed PhD p…
48,Mon Oct 19 02:30:29 +0000 2020,RT @sbarolo: @NeedhiBhalla @methanoJen @jdhallphd @annaboconnell @dnatarheel @NSF @NIH I should mention that a couple of young biomed PhD p…
49,Mon Oct 19 01:18:15 +0000 2020,"@NeedhiBhalla @methanoJen @jdhallphd @annaboconnell @dnatarheel @NSF @NIH I should mention that a couple of young biomed PhD programs, such as the Stowers (@GSSIMR) and @CSHL, never had a GRE requirement. 
I believe we (PIBS) were the first to announce dropping the general GRE requirement for PhD admissions, but I could be wrong."
50,Sat Oct 17 21:14:21 +0000 2020,@cshperspectives @tlemberger It would be great to see the awesome @CSHL journals in this ecosystem in the future @cshperspectives @ASAPbio_ @ReviewCommons
