,created_at,full_text
0,Mon Oct 26 16:16:09 +0000 2020,@mmm4plus @Colgate Leggo @Colgate @ColgatePH @colgateuniv @CP_News
1,Mon Oct 26 15:10:09 +0000 2020,@cny_Bob @tbyrnes0 @colgateuniv He was on! Hope you enjoyed the show!
2,Mon Oct 26 01:13:00 +0000 2020,Looking forward to @PeterBrannen1’s (online) talk this Friday afternoon @colgateuniv and hoping that many of my paleo students will be able to attend.
3,Sun Oct 25 18:33:10 +0000 2020,RT @PCAPonline: Very excited to have been invited by @colgateuniv's LGBTQIA+ Society (LAMBDA) to give an online talk about covid &amp; mental h…
4,Sun Oct 25 18:25:20 +0000 2020,"Very excited to have been invited by @colgateuniv's LGBTQIA+ Society (LAMBDA) to give an online talk about covid &amp; mental health. 

I will be discussing my ongoing covid experience &amp; the impact this has had on my work as an activist, creative practitioner &amp; trainee therapist."
5,Sat Oct 24 21:36:40 +0000 2020,"@swhobbit @colgateuniv No, but we get plenty of fall color here."
6,Sat Oct 24 21:21:56 +0000 2020,@jjcitron_ @colgateuniv @NextGenAmerica @JoeBiden facial expression on point as always
7,Sat Oct 24 21:17:45 +0000 2020,"@CatDDet @colgateuniv I miss north east fall colors.  We get some out here, but not much.  You make it this year?"
8,Sat Oct 24 20:55:21 +0000 2020,"@swhobbit @colgateuniv The @colgateuniv campus is even beautiful in the wintertime. ❄️ Cold, but beautiful."
9,Sat Oct 24 19:52:46 +0000 2020,@CatDDet @colgateuniv Insert witty comments about NY upstate winters here.  :-)
10,Sat Oct 24 17:14:39 +0000 2020,"@colgateuniv From my experience, it will snow there tomorrow 😜"
11,Sat Oct 24 16:35:56 +0000 2020,@jjcitron_ @colgateuniv @NextGenAmerica @JoeBiden i love this
12,Sat Oct 24 16:09:26 +0000 2020,@jjcitron_ @colgateuniv @NextGenAmerica @JoeBiden Ok love this
13,Sat Oct 24 15:56:10 +0000 2020,@jjcitron_ @colgateuniv @NextGenAmerica @JoeBiden lmao i look exceedingly displeased
14,Sat Oct 24 14:13:38 +0000 2020,"@xankarn @ClaudiaTenneyNY @colgateuniv This election does need to transcend red and blue, but still:
congratulations to everyone at @colgateuniv for working at a  crazy left-wing school!"
15,Sat Oct 24 12:45:19 +0000 2020,@RedHerringshaw @colgateuniv Very sharp! Congrats all around.
16,Fri Oct 23 23:03:31 +0000 2020,@WCNYCONNECTED Is my old Professor @tbyrnes0 from @colgateuniv  on tonight? #politicalScience #Gate1995
17,Thu Oct 22 18:53:24 +0000 2020,@pentagram @LukeHayman @colgateuniv I want one of those envelopes. The roundel / woodcut is very tidy too
18,Thu Oct 22 13:22:36 +0000 2020,@monicalmercado @TkeeleyPhD @colgateuniv @CornellPress @ColgateAlumni This title is the perfect name for a punk band
19,Wed Oct 21 23:12:50 +0000 2020,@ColgateFB @PatriotLeagueFB @PatriotLeagueTV @PatriotLeague @ColgateAthletic @colgateuniv @ColgateAlumni Another great story  The Hits just keep on coming
20,Wed Oct 21 14:51:52 +0000 2020,@monicalmercado @TkeeleyPhD @ColgateULibs @colgateuniv @CornellPress @ColgateAlumni Congrats @TkeeleyPhD!
21,Wed Oct 21 14:51:27 +0000 2020,@monicalmercado @TkeeleyPhD @ColgateULibs @colgateuniv @CornellPress @ColgateAlumni So excited to read this!
22,Wed Oct 21 14:25:32 +0000 2020,@TkeeleyPhD @ColgateULibs @colgateuniv @CornellPress @ColgateAlumni Yay! It’s just so exciting to see this (the whole book not just page x :)
23,Wed Oct 21 14:19:48 +0000 2020,@monicalmercado @ColgateULibs @colgateuniv @CornellPress @ColgateAlumni I know exactly where you are standing! Check out page x. 😉
24,Wed Oct 21 02:59:15 +0000 2020,"RT @AniArzoumanian: @ColgateLW @ilya_poet @colgateuniv Also from Deaf Republic - 

“Whoever listens: 
thank you for the feather on my tongu…"
25,Wed Oct 21 01:56:43 +0000 2020,"RT @AniArzoumanian: @ColgateLW @ilya_poet @colgateuniv Also from Deaf Republic - 

“Whoever listens: 
thank you for the feather on my tongu…"
