,created_at,full_text
0,Mon Oct 26 15:15:04 +0000 2020,@CofC @CofCSSM I still haven't been over to check out this tank! 😭 I need to add it to my list of priorities for the next time I'm on campus. 🐟🐠🐡
1,Mon Oct 26 01:18:23 +0000 2020,"@Sctvman @CofC Lol, damn that sucks. I’m a new transfer I don’t know these things but thanks for the info"
2,Sun Oct 25 23:28:23 +0000 2020,@nwilliams0732 @CofC The pool at CofC closed like 3 or 4 years ago.
3,Sun Oct 25 19:50:17 +0000 2020,@CofC is the pool at the Stern Student Activities Center open to non-athlete student wanting to swim for fitness?
4,Sun Oct 25 13:33:59 +0000 2020,@CofC @CofCHsu What a wonderful day it was!!!
5,Sat Oct 24 21:07:29 +0000 2020,"Collaboration with @ErikSotka, @CourtneyMurren, Allan Strand, Kristy Hill-Spanik, @flanaganbena, and Chris Nice, @CofC @GriceMarineLab @UABBiology @UAB_CAS @SBRoscoff 4/4"
6,Sat Oct 24 20:32:41 +0000 2020,@CofCHsu @ClemsonFB @ClemsonPrez @CofC @ClemsonTigers @KateTiller1 how many points is he being deducted for this?
7,Sat Oct 24 20:30:10 +0000 2020,@CofCHsu @ClemsonFB @ClemsonPrez @CofC @ClemsonTigers Are we sure?
8,Sat Oct 24 17:54:15 +0000 2020,Great to spend time with our @cofc Trustee Renee Romberger!
9,Sat Oct 24 01:16:08 +0000 2020,@GibbsKnotts @HSSatCofC @CofC Congratulations!!
10,Fri Oct 23 22:09:41 +0000 2020,"RT @CofC: Today, Charleston Police responded to 103 Wentworth St. and located a deceased opossum on the porch. Social media comments allege…"
11,Fri Oct 23 18:55:37 +0000 2020,"RT @CofC: Today, Charleston Police responded to 103 Wentworth St. and located a deceased opossum on the porch. Social media comments allege…"
12,Fri Oct 23 18:42:49 +0000 2020,@CoastalPaleo @colbertlateshow @StephenAtHome @CofCNatHistory @CofC @cofcgeology @CofCSSM Super awesome. Nice!
13,Fri Oct 23 16:21:30 +0000 2020,Shoutout to @CofC @dataatcofc @csatcofc
14,Thu Oct 22 21:58:28 +0000 2020,"@steerewilliams @MedHistoryMan @boydellbrewer @CofC Wow, what amazing blurbs!"
15,Thu Oct 22 21:34:49 +0000 2020,@steerewilliams @boydellbrewer @CofC Congratulations
16,Thu Oct 22 20:24:04 +0000 2020,"@GibbsKnotts @WhiteHouse @mmccurry @CofCBullyPulpit @HSSatCofC @CofC @COFCCOMM @cofc_polisci That's an all-star virtual event, @GibbsKnotts! @CofCCOMM"
17,Thu Oct 22 19:46:47 +0000 2020,@steerewilliams @boydellbrewer @CofC Got the ND boy giving you love @steerewilliams 👌👏💪🏻
18,Thu Oct 22 18:56:09 +0000 2020,@steerewilliams @boydellbrewer @CofC Wonderful! Congratulations!
19,Thu Oct 22 18:30:33 +0000 2020,"@steerewilliams @boydellbrewer @CofC Congrats! Chris Hamlin taught me history of medicine, so I really appreciate these endorsements!"
20,Thu Oct 22 18:14:20 +0000 2020,@CoastalPaleo @colbertlateshow @StephenAtHome @CofCNatHistory @CofC @cofcgeology @CofCSSM That is so cool!!
21,Thu Oct 22 17:50:08 +0000 2020,@cofcgeology @CofC @CofCSSM Hi to my daughter! @candidchameleon
22,Thu Oct 22 17:48:12 +0000 2020,"@steerewilliams @boydellbrewer @CofC This looks great, Jacob!"
23,Thu Oct 22 17:31:11 +0000 2020,@steerewilliams @boydellbrewer @CofC Looking forward to it!
24,Thu Oct 22 17:28:00 +0000 2020,@steerewilliams @boydellbrewer @CofC It is in my cart to order for the library collection! Congratulations!!!
25,Thu Oct 22 17:14:22 +0000 2020,@steerewilliams @boydellbrewer @CofC literally cannot wait
26,Thu Oct 22 15:34:27 +0000 2020,@CapricePhillips @CofC @BlackInAstro We are so excited for your talk today! I know it's going to be great!
27,Thu Oct 22 14:18:50 +0000 2020,@chriscooperwcu @GibbsKnotts @CofC @WCU @HSSatCofC High praise to occupy the same space as those two books.  Thanks!
28,Thu Oct 22 14:17:31 +0000 2020,"@Jordan_Ragusa @GibbsKnotts @CofC @WCU @HSSatCofC Not sure about the rest of that, but the bookshelf has some good stuff on it. For example, Congress in Reverse is top shelf in the middle case--sandwiched between the Gingrich Senators &amp; Insecure Majorities."
29,Thu Oct 22 14:13:06 +0000 2020,"@GibbsKnotts @chriscooperwcu @CofC @WCU @HSSatCofC A gentleman and a scholar.  I mean, look at that bookshelf!  Someone alert room rater."
30,Wed Oct 21 23:40:51 +0000 2020,@EJR_Paleo @colbertlateshow @StephenAtHome @CofCNatHistory @CofC @cofcgeology @CofCSSM thanks!
31,Wed Oct 21 21:21:31 +0000 2020,"@CoastalPaleo @colbertlateshow @StephenAtHome @CofCNatHistory @CofC @cofcgeology @CofCSSM Correct me if I'm wrong @StephenAtHome – I think he wanted to become a marine biologist but couldn't because of his ear injury. If you think he's a nerd, he's nerdier than that. 😁"
32,Wed Oct 21 19:50:45 +0000 2020,@CoastalPaleo @TetZoo @colbertlateshow @StephenAtHome @CofCNatHistory @CofC @cofcgeology @CofCSSM It was an epic moment - and the juxtaposition of the figure plate with the educational song was *Jeff'sKiss*
33,Wed Oct 21 19:48:40 +0000 2020,@CoastalPaleo @colbertlateshow @StephenAtHome @CofCNatHistory @CofC @cofcgeology @CofCSSM Congrats to you and your student @CoastalPaleo!
34,Wed Oct 21 18:37:24 +0000 2020,"@CoastalPaleo @colbertlateshow @StephenAtHome @CofCNatHistory @CofC @cofcgeology @CofCSSM How excited is Addison Miller, too?? So great!!"
35,Wed Oct 21 18:14:35 +0000 2020,@CoastalPaleo @colbertlateshow @StephenAtHome @CofCNatHistory @CofC @cofcgeology @CofCSSM definitely cool
36,Wed Oct 21 17:12:18 +0000 2020,"@UArkMICRO @HowardU @NSF @MarineBiol_FHL @CofC @thermofisher @diceCT In looking closer...Image 1 and 3 are of a lamprey.  Image 2 is indeed a hagfish. Lovely soft tissue work, remember there is virtually no mineral in these."
37,Wed Oct 21 17:00:52 +0000 2020,@HilaryBlaine @CofC I miss that!
38,Wed Oct 21 16:58:36 +0000 2020,They are already hanging the Christmas lights in the Cistern 😍 @CofC
39,Wed Oct 21 16:35:17 +0000 2020,@NoahwithFish @HowardU @NSF @MarineBiol_FHL @CofC @thermofisher @diceCT @douglasfudge You are correct!  Thanks for posting.  We've corrected in the comments.
40,Wed Oct 21 16:35:10 +0000 2020,@KaneLabUL @NoahwithFish @HowardU @NSF @MarineBiol_FHL @CofC @thermofisher @diceCT @douglasfudge You are correct!  Thanks for posting.  We've corrected in the comments.
41,Wed Oct 21 16:35:00 +0000 2020,@RSprackland @HowardU @NSF @MarineBiol_FHL @CofC @thermofisher @diceCT You are correct!  Thanks for posting.  We've corrected in the comments.
42,Wed Oct 21 16:30:28 +0000 2020,"@CoastalPaleo @colbertlateshow @StephenAtHome @CofCNatHistory @CofC @cofcgeology @CofCSSM Hey, Sarah Oser says hello!!"
