,created_at,full_text
0,Fri Oct 23 02:43:29 +0000 2020,@Gothamist @csinews you let this mans teach still??
1,Tue Oct 20 07:50:35 +0000 2020,@mattbrimnyc @BGSQD @DrMelMalSal @JustinTBrown2 @csinews Will this be recorded/available later? Thanks!
2,Tue Oct 20 05:12:01 +0000 2020,@mattbrimnyc @ervinmalakaj @BGSQD @DrMelMalSal @JustinTBrown2 @csinews Damn! Sold out?!?
3,Mon Oct 19 21:57:55 +0000 2020,"@mattbrimnyc @BGSQD @DrMelMalSal @JustinTBrown2 @csinews My copy arrived this week, perfect timing! 🥳"
4,Mon Oct 19 21:22:07 +0000 2020,@mattbrimnyc @MissReadings @BGSQD @DrMelMalSal @JustinTBrown2 @csinews Criminy. That did it. I do these ebrites all the time. I must have been hung up by trying it so many different ways that I got out of my accustomed pattern. Thank you!
5,Mon Oct 19 21:18:39 +0000 2020,"@clancynewyork @MissReadings @BGSQD @DrMelMalSal @JustinTBrown2 @csinews Try changing the number of tickets from 0 to 1. It just worked for me, so maybe it will for you. If it doesn't, message me your email and I'll sign you up myself."
6,Mon Oct 19 20:53:57 +0000 2020,"@clancynewyork @MissReadings @BGSQD @DrMelMalSal @JustinTBrown2 @csinews Ok, the limit has been increased by the amazing Greg Newton @BGSQD. Please register asap, thanks."
7,Mon Oct 19 20:16:05 +0000 2020,"@mattbrimnyc @MissReadings @BGSQD @DrMelMalSal @JustinTBrown2 @csinews Definitely possible; but limits are usu. more like 100, 200, 1000. Check if they've hit the ceiling or there's an error. If you hit a limit, some people use YouTube live for overflow so people can follow along. Worst case, you're v. popular &amp; schedule something else soon. :)"
8,Mon Oct 19 20:12:12 +0000 2020,"@clancynewyork @MissReadings @BGSQD @DrMelMalSal @JustinTBrown2 @csinews Hmm, is that possible in a virtual room? I'll look into it. Please check back, and thanks for your interest in the book!"
9,Mon Oct 19 19:50:10 +0000 2020,@mattbrimnyc @MissReadings @BGSQD @DrMelMalSal @JustinTBrown2 @csinews Hi! Congratulations on the publication of your book! Clicking on the eventbrite link = Sold out! Is that correct?
10,Mon Oct 19 15:53:35 +0000 2020,@PresidentFritz @CUNY @csinews I hear people are coming down with bacterial pneumonia from the masks?
11,Mon Oct 19 13:39:34 +0000 2020,@sum_research @chuckliu @GC_CUNY @csinews Great article! #physicsisfun
