,created_at,full_text
0,Sun Oct 25 23:07:07 +0000 2020,"@MailmanSue @PaulWorcester OK deal, and you don't tell anyone I learned that from the Chaplains at @Holy_Cross."
1,Sat Oct 24 02:45:45 +0000 2020,@Ourand_SBJ @holy_cross Imagine all the howling that’d be going on if she were in Worcester.
2,Sat Oct 24 01:06:44 +0000 2020,"RT @CHC_Classics: We are thankful to Phuc Tran, #Classics teacher and author of *Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, a…"
3,Sat Oct 24 01:05:17 +0000 2020,So excited to be a @holy_cross mentor to my new mentee! She graduated from @PCTAProvidence  AND her roommate graduated from @CentralHSPvd! Our students are amazing and we can always find ways to continue supporting them. #ppsdproud
4,Fri Oct 23 22:32:00 +0000 2020,"RT @CHC_Classics: We are thankful to Phuc Tran, #Classics teacher and author of *Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, a…"
5,Fri Oct 23 18:42:47 +0000 2020,@Ourand_SBJ @holy_cross OMG that’s funny!
6,Fri Oct 23 18:25:14 +0000 2020,"@Ourand_SBJ @holy_cross Should I be laughing? It seems wrong to be laughing, yet here I am."
7,Fri Oct 23 15:09:27 +0000 2020,"We are thankful to Phuc Tran, #Classics teacher and author of *Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In* for virtually visiting @holy_cross and talking with our Latin 101 students this week."
8,Thu Oct 22 22:19:07 +0000 2020,@maddystevenson4 @holy_cross @HCrossWBB @CoachMagarityHC @CoachJohnMc @Coach_Fitz24 Congrats!
9,Thu Oct 22 02:16:47 +0000 2020,@maddystevenson4 @holy_cross @HCrossWBB @CoachMagarityHC @CoachJohnMc @Coach_Fitz24 So proud girl!!!❤️❤️
10,Thu Oct 22 00:09:15 +0000 2020,@maddystevenson4 @holy_cross @HCrossWBB @CoachMagarityHC @CoachJohnMc @Coach_Fitz24 Congrats Maddy‼️🎉🎉🎉
11,Wed Oct 21 22:15:57 +0000 2020,@maddystevenson4 @holy_cross @HCrossWBB @CoachMagarityHC @CoachJohnMc @Coach_Fitz24 congrats babe!🤩💜
12,Wed Oct 21 22:06:11 +0000 2020,@RudyElie @BucknellU @holy_cross Oh I remember playing them that’s dope. Appreciate you 🙏🏾🙏🏾
13,Wed Oct 21 21:28:06 +0000 2020,@mikey718_ @BucknellU You went to the rival school of my alma mater @holy_cross but bro this here is so dope.
14,Tue Oct 20 21:26:23 +0000 2020,"@greenja @holy_cross The nice thing about this is we know that the man no not the man the idiot who is always bad mouthing him saying he doesn’t know anything and that he himself is a smart genius will never win an award like that, thank God! 🍊 might win a award for his stupidity!"
15,Tue Oct 20 14:45:21 +0000 2020,"@ConversationUS @holy_cross It time for binding contracts instead of this outdated ceremony. If the President, or other official doesn't follow the contract, remove them immediately."
16,Tue Oct 20 02:46:39 +0000 2020,@thedialogist @holy_cross I'm not sure thats the right thing to say but i feel like it should be
17,Tue Oct 20 02:46:19 +0000 2020,@thedialogist @holy_cross Congrats!
18,Mon Oct 19 22:32:51 +0000 2020,RT @thedialogist: My path to theology began as a college sophomore @holy_cross in a seminar on Meister Eckhart. Today I am teaching Eckhart…
19,Mon Oct 19 15:43:10 +0000 2020,@thedialogist @holy_cross Also teaching Eckhart sermons today. Small world
20,Mon Oct 19 15:23:55 +0000 2020,My path to theology began as a college sophomore @holy_cross in a seminar on Meister Eckhart. Today I am teaching Eckhart’s sermons for the first time....what a journey it’s been.
21,Sun Oct 18 20:50:05 +0000 2020,@jeng513 @holy_cross @XavierHS @RegisHighSchool Those Jesuits know education!
22,Sun Oct 18 18:08:10 +0000 2020,RT @JJheart_doc: @HeartBobH @holy_cross @JAGutierrezMD @hcalumni We @hcalumni are everywhere!
23,Sun Oct 18 17:09:35 +0000 2020,@HeartBobH @holy_cross @JAGutierrezMD @hcalumni We @hcalumni are everywhere!
24,Sun Oct 18 15:45:19 +0000 2020,@tomcorsillo Lol.  My son (Xavier alum) and friends remind people all the time that they went to the same college (HC) as Dr Fauci.  Jesuit Pride? @holy_cross  @XavierHS @RegisHighSchool
25,Sun Oct 18 12:29:15 +0000 2020,"RT @holy_cross: ""You have a moral obligation to wear a mask. You have a societal responsibility to protect yourself as well as the people a…"
