,created_at,full_text
0,Mon Oct 26 17:21:48 +0000 2020,Happy birthday to @coschoolofmines alumni @IsaacHarker05 ! Hope you have a safe and healthy birthday. 💚🤍🏈 #RiderPride
1,Sun Oct 25 04:25:04 +0000 2020,@uw_mechengr @UWMadison @coschoolofmines @NREL_MechTherm Glad to be back! I'm excited to build a #renewables research program in a place w/ so many good memories - and such a rich history of energy systems modeling.
2,Sun Oct 25 02:43:35 +0000 2020,"@amylandengineer @waterbarnes @DrMonicaCox I LOVE the idea of suggesting people on Twitter to follow! I will be sure to add that. Thanks for the @coschoolofmines  resources too! Between you and the Title IX office, I know there are valuable resources."
3,Sun Oct 25 01:57:59 +0000 2020,RT @coschoolofmines: We are thinking about our friends and neighbors affected by the Colorado wildfires. Here are local support options wor…
4,Sat Oct 24 11:09:48 +0000 2020,@Mountain__Watch @coschoolofmines Thank you!!
5,Sat Oct 24 03:51:54 +0000 2020,I got my @HomefieldApparl Auburn sweatshirt in today and I am so in love. I’m eagerly awaiting the @coschoolofmines sweatshirt that’s on the way!!!
6,Sat Oct 24 02:39:13 +0000 2020,RT @coschoolofmines: We are thinking about our friends and neighbors affected by the Colorado wildfires. Here are local support options wor…
7,Fri Oct 23 18:52:41 +0000 2020,RT @coschoolofmines: We are thinking about our friends and neighbors affected by the Colorado wildfires. Here are local support options wor…
8,Fri Oct 23 15:57:21 +0000 2020,RT @coschoolofmines: We are thinking about our friends and neighbors affected by the Colorado wildfires. Here are local support options wor…
9,Fri Oct 23 15:24:22 +0000 2020,RT @coschoolofmines: We are thinking about our friends and neighbors affected by the Colorado wildfires. Here are local support options wor…
10,Fri Oct 23 15:06:23 +0000 2020,RT @coschoolofmines: We are thinking about our friends and neighbors affected by the Colorado wildfires. Here are local support options wor…
11,Fri Oct 23 14:29:14 +0000 2020,RT @coschoolofmines: We are thinking about our friends and neighbors affected by the Colorado wildfires. Here are local support options wor…
12,Thu Oct 22 02:42:27 +0000 2020,"@lorakolodny @coschoolofmines @DSSTPubSchools Clearly lots going on via the topic, lol. Appreciate your reporting and the value you add."
13,Thu Oct 22 02:39:53 +0000 2020,@biopharmasleuth @coschoolofmines @DSSTPubSchools yeah no you just walked into a debate as fierce as 100 duck sized horses or one horse sized duck.
14,Thu Oct 22 02:38:09 +0000 2020,@lorakolodny @coschoolofmines @DSSTPubSchools Are they? Typically I stick to Biotech. Still intrigued by the subject tho and don't know enough about it.
15,Thu Oct 22 02:34:11 +0000 2020,"@lorakolodny All for anything that's more green, but isn't it true that there are much more efficient ways to power society? Class w/ @coschoolofmines for @DSSTPubSchools w/ my 6th grader who wants to be an engineer whose idol is Elon + wants to work for him mentioned solar energy."
16,Wed Oct 21 17:36:20 +0000 2020,This was a fun collaborative project with Xiaolong Yin and Ning Wu from @coschoolofmines that can be traced back to almost 20 years ago when Xiaolong had to help me with my transport homework in grad school. It pays to work with people smarter than you!
17,Mon Oct 19 23:36:31 +0000 2020,@coschoolofmines @MONEY President Johnson was the Dean at ASU when I went there... Great great guy. Love to see his schools succeed!
18,Mon Oct 19 22:38:59 +0000 2020,@TheYummyOyster @coschoolofmines @MinesAdmissions And congrats.  It was a fun and challenging school to attend.
19,Mon Oct 19 22:38:04 +0000 2020,"@TheYummyOyster @coschoolofmines @MinesAdmissions Check out emancipation laws that could allows you to establish financial independence from your parents and Colorado residency.  It’s usually a lot of work, but in state tuition makes it an even better value."
20,Mon Oct 19 21:56:58 +0000 2020,@lsandste @coschoolofmines @MinesAdmissions Thank you!! And I'm so happy to hear you like it!
21,Mon Oct 19 21:52:43 +0000 2020,@TheYummyOyster @coschoolofmines @MinesAdmissions We have been for 3.5 years and I can say hands down it is 100% worth it!! We have been extremely happy with the education and the experience!! I hope you are able to make it work as well!! Congratulations!!
22,Mon Oct 19 20:42:28 +0000 2020,@CatDurty @coschoolofmines @MinesAdmissions For sure! Thanks!
23,Mon Oct 19 18:30:34 +0000 2020,"@TheYummyOyster @coschoolofmines @MinesAdmissions It's a great choice,  well worth the price tag for the professor's who care and have experience.  Also take a gander at the outcomes, Orediggers have a great leg up on the competition.  You'll have a helluva time."
24,Mon Oct 19 14:10:37 +0000 2020,@PressWaffle @coschoolofmines @MinesAdmissions For sure. I'll lyk when I have time
25,Mon Oct 19 14:09:27 +0000 2020,@TheYummyOyster @coschoolofmines @MinesAdmissions No problem my guy! We should talk on discord soon maybe play some siege and dick around. Celebrate a bit eh?
26,Mon Oct 19 14:08:37 +0000 2020,@PressWaffle @coschoolofmines @MinesAdmissions Thanks dude!
27,Mon Oct 19 06:53:12 +0000 2020,@TheYummyOyster @coschoolofmines @MinesAdmissions No fuckin way good shit seth!!
28,Mon Oct 19 00:37:00 +0000 2020,@PersonafiedLuke @coschoolofmines @MinesAdmissions Thanks bro!
29,Mon Oct 19 00:33:59 +0000 2020,@TheYummyOyster @coschoolofmines @MinesAdmissions CONGRATULATIONS 🎉
30,Sun Oct 18 21:15:43 +0000 2020,"RT @kwameoffei: Fresh off the press. @NREL, @MissouriSandT and @coschoolofmines report on integrating renewable energy into mining operatio…"
