,created_at,full_text
0,Mon Oct 26 17:13:39 +0000 2020,@BroncosCheer @DBC_Sara @ColoradoStateU Happy B-day Sara. Hope you have a good one.
1,Mon Oct 26 16:54:28 +0000 2020,@BroncosCheer @DBC_Sara @ColoradoStateU Happy Birthday to you!! Go Broncos!!
2,Mon Oct 26 16:36:25 +0000 2020,@ColoradoStateU Hey thanks guys can we do tomorrow too?
3,Mon Oct 26 15:34:05 +0000 2020,"Due to the wintry weather, our @ColoradoStateU LSC branch is closed today. All other Canvas branches and our Home Office are open and serving. We hope you stay warm today!"
4,Mon Oct 26 15:28:09 +0000 2020,@sylvain_baillet @kmbecker89 @ColoradoStateU @TheNeuro_MNI Go Katie! 👏👏
5,Mon Oct 26 01:45:57 +0000 2020,Snow day tomorrow pls? @ColoradoStateU
6,Sun Oct 25 18:43:59 +0000 2020,"@shawnchitnis @CBSDenver CO made it even easier for my daughter to vote in her first General Election by mailing her ballot up to @ColoradoStateU 👏🏼👏🏼👏🏼 and we had to do nothing! It just showed up👍🏼. With a drop box at the student center, it’s incredibly easy for our young people to #VOTE  #JUSTVOTE"
7,Sun Oct 25 18:30:11 +0000 2020,@ColoradoStateU how about you do your part as leaders and go virtual now instead of waiting till it reaches level 2. Lead don’t follow. Your ego bit be enormous!!!! #recalljoyce
8,Sun Oct 25 06:59:34 +0000 2020,"@Mike_Katz @coachNikoMedved @ColoradoStateU Is it ok for a schools supporter group@to buy the player a house in some relatives meme , but huge e pensive SUVs, pay for extensive clothes etcjyst asking for a friend from 2010"
9,Sun Oct 25 01:38:40 +0000 2020,"@MatthewWBenson @ColoradoStateU It’s a package deal. And if you act quick, I’ll throw in one Will Muschamp"
10,Sun Oct 25 01:07:48 +0000 2020,@jwolf722 @ColoradoStateU We’d take Hill. Bobo not so much
11,Sun Oct 25 00:33:00 +0000 2020,"Hey @MatthewWBenson, do you think @ColoradoStateU would take back Colin Hill and Mike Bobo? Pretty please?"
12,Sat Oct 24 18:53:40 +0000 2020,"@ColoradoSPH @CUAnschutz @CUDenver @ColoradoStateU Is this REALLY you last post on COVID?

July?

This is the best Colorado can throw at this?"
13,Sat Oct 24 17:40:05 +0000 2020,@USUtheRightBlue @kevin_hiatt @ColoradoStateU Can't call you a State-ist now 😉
14,Sat Oct 24 16:37:30 +0000 2020,@Mike_Katz @coachNikoMedved @ColoradoStateU Did he start paying the players? How much does he get paid?
15,Sat Oct 24 16:27:52 +0000 2020,"@kevin_hiatt We do not discriminate 😂 

Fresno and San Diego aren’t states either.

Shout out to @ColoradoStateU though.

They are indeed a state so we can respect that."
16,Sat Oct 24 15:05:19 +0000 2020,@Mike_Katz @coachNikoMedved @ColoradoStateU Fuck CSU
17,Sat Oct 24 14:57:21 +0000 2020,"@ColoradoStateU @larimerhealth Also, your lead sentence contains a pronoun without an antecedent. ""It is critical..."" To what is ""it"" referring? Uhdoy!"
18,Sat Oct 24 14:48:53 +0000 2020,@ColoradoStateU @larimerhealth Sure...but point your fingers at yourself. CSU is the single biggest contributor to new cases in Larimer County. Close campus and send students home.
19,Sat Oct 24 05:35:08 +0000 2020,"@CUMarkKennedy @ArapahoeCC @ColoradoStateU @CastleRockEDC @douglascountyco It was our pleasure to demonstrate the great things a partnership between K-12s, community colleges and universities can do for students and the community. Thank you for joining us!"
20,Sat Oct 24 02:44:31 +0000 2020,@ColoradoStateU @CSURams @larimerhealth So soft. I’m making sure my kids go to school in Florida #NoFunClub
21,Fri Oct 23 23:33:10 +0000 2020,@PrussiaThird @denverpost @ColoradoStateU 🤔 ahh then why didn’t you hire an attorney and sue the school?
22,Fri Oct 23 22:28:59 +0000 2020,"@ColoradoStateU @AdmissionsCSU Okay, but ""the most...than"" isn't a thing in English. 
#hireaprofessionalcopywriter 
#highered"
23,Fri Oct 23 20:37:42 +0000 2020,@ColoradoStateU 💚💛 So exciting!
24,Fri Oct 23 17:50:15 +0000 2020,@Mike_Katz @coachNikoMedved @ColoradoStateU He looks like satan with the horns and wings behind him 👀
25,Fri Oct 23 11:52:30 +0000 2020,"@denverpost Well, NO ONE CARED when my BOSS @ColoradoStateU said that ""MOST WOMEN WANT TO BE BEATEN"" to me SEVERAL TIMES during WORK.

NO ONE.

I LEFT university &amp; GOT DISABLED 2 jobs later.

I guess I wasn't PROFITABLE for them..."
26,Fri Oct 23 03:55:31 +0000 2020,@KadingLabCSU @EbelLaboratory @CSU_MIP I’m taking a tour tomorrow @ColoradoStateU. Enjoy the new space!
