,created_at,full_text
0,Mon Oct 26 18:18:21 +0000 2020,"@GOP @realDonaldTrump NANA DOESN’T WANNA DIE

RIGHT TO LIFE MY ASS

@Harvard @Yale @Princeton @BrownUniversity @Columbia @dartmouth @Penn @UCBerkeley @UCLA @Cornell"
1,Mon Oct 26 17:03:52 +0000 2020,"@Columbia @DoctoraEdith Sir /mam pls conduct international project competition for class 10, 11, 12"
2,Mon Oct 26 17:01:53 +0000 2020,@ColumbiaAlumniA @Columbia thanks for sharing our write up!
3,Mon Oct 26 16:22:04 +0000 2020,@MikeKowalsky @GoColumbiaLions @ColumbiaAlumniA @Columbia Lol. Thanks Mike
4,Mon Oct 26 15:41:44 +0000 2020,"RT @FMM_macro: We are very honored and excited that @rodrikdani (@Harvard), @JosephEStiglitz (@Columbia) and @BrankoMilan (@CUNY) will shar…"
5,Mon Oct 26 15:14:26 +0000 2020,"RT @FMM_macro: We are very honored and excited that @rodrikdani (@Harvard), @JosephEStiglitz (@Columbia) and @BrankoMilan (@CUNY) will shar…"
6,Mon Oct 26 14:52:43 +0000 2020,"RT @FMM_macro: We are very honored and excited that @rodrikdani (@Harvard), @JosephEStiglitz (@Columbia) and @BrankoMilan (@CUNY) will shar…"
7,Mon Oct 26 14:51:30 +0000 2020,"RT @FMM_macro: We are very honored and excited that @rodrikdani (@Harvard), @JosephEStiglitz (@Columbia) and @BrankoMilan (@CUNY) will shar…"
8,Mon Oct 26 14:30:01 +0000 2020,"RT @FMM_macro: We are very honored and excited that @rodrikdani (@Harvard), @JosephEStiglitz (@Columbia) and @BrankoMilan (@CUNY) will shar…"
9,Mon Oct 26 13:55:20 +0000 2020,"RT @FMM_macro: We are very honored and excited that @rodrikdani (@Harvard), @JosephEStiglitz (@Columbia) and @BrankoMilan (@CUNY) will shar…"
10,Mon Oct 26 13:36:37 +0000 2020,"RT @FMM_macro: We are very honored and excited that @rodrikdani (@Harvard), @JosephEStiglitz (@Columbia) and @BrankoMilan (@CUNY) will shar…"
11,Mon Oct 26 12:56:46 +0000 2020,"@Columbia @ColumbiaSpec 
@columbiacss 
@ColumbiaGSAS 
@Columbia 
@JusticeColumbia

Do you mind sharing this post? Trying to spread the word!"
12,Mon Oct 26 12:55:39 +0000 2020,@ColumbiaLaw did Maine AG Frey’s participation in a political rally in Bangor on 10/25/20 violate the rules of professional responsibility for attorneys? Could you ask James Tierney? @Columbia @MikeyV1960 @RayRichardsonJr
13,Mon Oct 26 12:47:16 +0000 2020,@PreMDHenriquez @ColumbiaGS @Columbia Amazing! These look delish! 😍
14,Mon Oct 26 12:43:33 +0000 2020,@HarvardDBMI @zakkohane @suchisaria @jessiet1023 @moorejh @nicktatonetti @JohnsHopkins @DukeU @ncdhhs @UPennIBI @Columbia @NEJM @NEJMGroup @UnitedHealthGrp @Emily_Alsentzer @beaulieujones @IAmSamFin @CCIPD_Case @MarzyehGhassemi @Dr_Hightower @peteratmsr What a great topic and great panel.  Thank you for this.  #vccmusielski
15,Mon Oct 26 12:22:37 +0000 2020,"RT @FMM_macro: We are very honored and excited that @rodrikdani (@Harvard), @JosephEStiglitz (@Columbia) and @BrankoMilan (@CUNY) will shar…"
16,Mon Oct 26 11:39:39 +0000 2020,"RT @FMM_macro: We are very honored and excited that @rodrikdani (@Harvard), @JosephEStiglitz (@Columbia) and @BrankoMilan (@CUNY) will shar…"
17,Mon Oct 26 11:38:39 +0000 2020,"We are very honored and excited that @rodrikdani (@Harvard), @JosephEStiglitz (@Columbia) and @BrankoMilan (@CUNY) will share their insights on the future of global capitalism at the #24FMM, which starts on Wednesday. Their panel will be chaired by Jan Priewe (@imkflash)."
18,Mon Oct 26 09:28:12 +0000 2020,RT @ProfJSDavies: @Phil_Baty @timeshighered @UofT @UCBerkeley @nyuniversity @Columbia @Yale @UChiGlobal @UMich @NUSingapore @ucl @Cornell W…
19,Mon Oct 26 03:05:13 +0000 2020,who want me😩🙏 @UCLA @USC @Columbia
20,Mon Oct 26 02:43:08 +0000 2020,"@MattSakumoto @NiuSanford @ranjitbindra @theabzlab @SteveJiangPhD @OHSUInformatics @Columbia @NorthwesternU @Stanford Sir, I would be happy if you do the same for me. Interested more in using bioinformatics tools to study antimicrobial resistance among nosocomial pathogens/host-pathogen interactions."
21,Sun Oct 25 23:40:31 +0000 2020,RT @ColumbiaAlumniA: @ColumbiaGS @PreMDHenriquez @Columbia Ha! We are witnessing two forms of greatness here: origami-folding and pun-makin…
22,Sun Oct 25 21:08:59 +0000 2020,"RT @EuroGeosciences: Congratulations to Geochemistry, Mineralogy, Petrology &amp; Volcanology (@EGU_GMPV) Division winner Michael C. Jollands @…"
23,Sun Oct 25 20:44:55 +0000 2020,@Harvard @Stanford @KingsCollegeLon @Cambridge_Uni @EdinburghUni @Columbia I need one of those to come through!! Engineering!!!
24,Sun Oct 25 19:19:38 +0000 2020,@ColumbiaGS @PreMDHenriquez @Columbia Ha! We are witnessing two forms of greatness here: origami-folding and pun-making. We are not worthy. 🙌
25,Sun Oct 25 18:21:54 +0000 2020,"@rajivatbarnard @BarnardCollege @Columbia RTed, thanks!"
26,Sun Oct 25 18:07:20 +0000 2020,"@jaketapper @cnn I think all of America is infected with the CNN's Coronavirus. The viral load varies. Tests will detect. I have to agree with @POTUS. We are testing more to add up cases. I think that u are infected. Everyone at @JohnsHopkins, CNN, &amp; @Columbia are infected."
27,Sun Oct 25 17:12:58 +0000 2020,RT @ProfJSDavies: @Phil_Baty @timeshighered @UofT @UCBerkeley @nyuniversity @Columbia @Yale @UChiGlobal @UMich @NUSingapore @ucl @Cornell W…
28,Sun Oct 25 16:07:28 +0000 2020,@Coach_Fab @CULionsFB @GoColumbiaLions @Columbia TE’s need love to
29,Sun Oct 25 15:40:11 +0000 2020,@druglordriselda @rubys_ego @NSSRNews @ColoradoCollege @BrownUniversity @nyuniversity @Columbia @GC_CUNY Not yet! We’ll keep you posted :)
30,Sun Oct 25 13:47:56 +0000 2020,@PolConcepts @rubys_ego @NSSRNews @ColoradoCollege @BrownUniversity @nyuniversity @Columbia @GC_CUNY Are the videos uploaded anywhere yet? Would love to watch
31,Sun Oct 25 13:25:28 +0000 2020,"Note to @Columbia and Columbia University staff, students, and graduate students. Please remember you are guests in our #UWS community during your school years. Demeaning that community, many of which are #Columbia alumni, is not cool."
32,Sun Oct 25 13:14:02 +0000 2020,"@hydrocline @Columbia Thank you, John!"
33,Sun Oct 25 13:09:38 +0000 2020,@sciencespo @AllianceProg @Columbia @SorbonneParis1 @Polytechnique @LaCroix @JosephEStiglitz A podcast by @alexisbuisson @ScPoAlumni @ScPoAmericanF
34,Sun Oct 25 12:44:47 +0000 2020,RT @ProfJSDavies: @Phil_Baty @timeshighered @UofT @UCBerkeley @nyuniversity @Columbia @Yale @UChiGlobal @UMich @NUSingapore @ucl @Cornell W…
35,Sun Oct 25 09:50:08 +0000 2020,RT @ProfJSDavies: @Phil_Baty @timeshighered @UofT @UCBerkeley @nyuniversity @Columbia @Yale @UChiGlobal @UMich @NUSingapore @ucl @Cornell W…
36,Sun Oct 25 09:38:32 +0000 2020,RT @ProfJSDavies: @Phil_Baty @timeshighered @UofT @UCBerkeley @nyuniversity @Columbia @Yale @UChiGlobal @UMich @NUSingapore @ucl @Cornell W…
37,Sun Oct 25 07:46:07 +0000 2020,I KNOW I HAVE SAID OVER &amp; OVER LEAVE ME THE FUCK ALONE &amp; THE LIGHT!  MY GOSH YET I STILL SUFFER?  TELL ME @Harvard @Yale @Stanford @UniofOxford @Columbia @UCBerkeley @Cornell why I am suffering 4 only feeling real LOVE &amp; giving not only my voice but my existence to the SPEECHLESS
38,Sun Oct 25 05:02:34 +0000 2020,"@gulf_intel @vitolnews @CrystolEnergy @Columbia @AdnocGroup @SPGlobalPlatts @NBFUAE @RoyalVopak @vopakasiame In #China, crude buying is on the rise again &amp; may start to return in the market.. #crudeoil #COVID19 #Asia"
