,created_at,full_text
0,Mon Oct 26 18:18:21 +0000 2020,"@GOP @realDonaldTrump NANA DOESN’T WANNA DIE

RIGHT TO LIFE MY ASS

@Harvard @Yale @Princeton @BrownUniversity @Columbia @dartmouth @Penn @UCBerkeley @UCLA @Cornell"
1,Mon Oct 26 18:05:44 +0000 2020,@roguedetection @UMaine @UConn @Cornell Thanks for sharing - especially during #NationalBatWeek
2,Mon Oct 26 16:57:58 +0000 2020,"@myndwalk @Cornell Hello Kitty, please take this tweet down. This is a meeting for selected people. This tweet could result in zoom bombing. You can post about Vivek speaking but do not share the zoom information"
3,Mon Oct 26 16:15:53 +0000 2020,.@Cornell pay me $100 or I will go to the local Marathon gas station wearing a Cornell tshirt and pee my pants. Then cry.
4,Mon Oct 26 15:38:55 +0000 2020,@pduetswithBabs @Cornell You tell them! But they don’t hear anyone else. They are so convinced of their right to everything that their money buys them.
5,Mon Oct 26 15:26:21 +0000 2020,"23rd Episode is LIVE!
🎙
Forbes 30 Under 30 member: Dr. @neelmadhukar at 
@OneThreeBiotech
 🧫🧑‍🔬🧪🔬
""Cornell Dr. Creates AI for Cancer Treatment""
🧑‍⚕️
Podcast Link in Bio! @Cornell"
6,Mon Oct 26 15:16:15 +0000 2020,@alparask @EHLnews @Cornell @FuturHospSummit @FourSeasons But somehow the message still isn't getting out...
7,Mon Oct 26 14:51:23 +0000 2020,@Cornell Congratulations!!!Very well done!!! Best Wishes God blessing you all🇮🇳💕💥
8,Mon Oct 26 14:34:26 +0000 2020,"@cbjones1943 @Cornell I'm a @CornellNBB alum but psych has made some hires on the behavior/neuro side that could easily be in NBB.
 The requirements of the department for the degree may still cause some to be frustrated"
9,Mon Oct 26 11:06:05 +0000 2020,"@Cornell Hello, someone please share with me the WhatsApp group link"
10,Mon Oct 26 11:04:09 +0000 2020,@LovelyR67597542 @BarrySheerman @Cornell @realDonaldTrump I think you may be right. Maybe a heavy cold and sn overdose of bourbon to calm it. Certainly politically convenient.
11,Mon Oct 26 09:28:12 +0000 2020,RT @ProfJSDavies: @Phil_Baty @timeshighered @UofT @UCBerkeley @nyuniversity @Columbia @Yale @UChiGlobal @UMich @NUSingapore @ucl @Cornell W…
12,Mon Oct 26 06:30:41 +0000 2020,@Cornell Eff off!
13,Mon Oct 26 06:27:55 +0000 2020,@Jerusalem_Post @Cornell Brains: are they important? Whats all the big fuss?
14,Mon Oct 26 06:04:13 +0000 2020,"RT @stevenstrogatz: PS. On the back cover, you’ll find the following blurb from @JohnCleese, who was a visiting professor at @Cornell at th…"
15,Mon Oct 26 03:46:28 +0000 2020,.@Cornell pay me $100 or I will go to the local Marathon gas station wearing a Cornell tshirt and pee my pants. Then cry.
