,created_at,full_text
0,Mon Oct 26 17:23:09 +0000 2020,@CreightonAlumni @Creighton That a Confederate flag?
1,Mon Oct 26 15:35:49 +0000 2020,@gordondeb @AditiGokhale_ @rrjphd @NM_News @Creighton @GeorgeMasonBiz Wonderful article! @gordondeb 👏
2,Mon Oct 26 13:03:48 +0000 2020,"@mdotzler @Creighton @BluejayMBB @KyleKorver @NBA Everyone has privilege, I agree in the past White people had an advantage and “privilege”, in 2020 America there is no longer only white privilege, everyone has the ability to be privileged."
3,Mon Oct 26 03:13:28 +0000 2020,"@EKrahdaddy @Creighton @BluejayMBB @KyleKorver @NBA If few or only white people show up, that will still be a win for this conversation"
4,Mon Oct 26 02:36:56 +0000 2020,@_robanderson No doubt! But 98% of all @Creighton grads are successfully hired or enrolled in grad school within 6 months of graduating. The @CUCareerCenter is always here to help with employer &amp; alumni connections for students
5,Mon Oct 26 02:32:24 +0000 2020,@Creighton @KyleKorver @BluejayMBB @NBA Can't wait to not watch this
6,Mon Oct 26 00:15:32 +0000 2020,"@Creighton @KyleKorver @BluejayMBB @NBA PHENOMENAL!!  Thanks to @KyleKorver @joshdotzler and Rachael for your courage and your insights shared tonight.  As a Creighton alum, I am so proud of you!  Thank you for inspiring generations of Bluejays!"
7,Sat Oct 24 20:34:09 +0000 2020,@MKBogard @Creighton Yes. Watching the great @sr_simone right now #IFTJ2020 @creighton_SCSJ
8,Sat Oct 24 18:58:31 +0000 2020,"@Creighton @KyleKorver @BluejayMBB @NBA What’s he going to talk about, the excessive number of other white players in the NBA?"
9,Sat Oct 24 16:16:28 +0000 2020,"Someone in a Marquette shirt just gave my Creighton shirt and me a look so if anyone hears about a fist fight in the Amazon return section of a suburban Kohl’s, please know @Creighton was well defended and my only comment is RollJays."
10,Sat Oct 24 15:26:39 +0000 2020,@Creighton @KyleKorver @BluejayMBB @NBA White privilege?  Lol.  This is a huge miss.  Pass.
11,Sat Oct 24 03:08:23 +0000 2020,"@Creighton @BluejayMBB @KyleKorver @NBA I’m guessing very few ppl will show up, or a lot of only white ppl will lol"
12,Sat Oct 24 01:08:07 +0000 2020,@czuegner @Creighton @catg_3 @chelseanich15 @amanda_minckler @AJOlnes So Captivating!
13,Sat Oct 24 00:04:52 +0000 2020,@AnaBlackstad @Creighton Ana you always were the life of the party!
14,Fri Oct 23 22:22:27 +0000 2020,RT @SAStrongMD: @thartman2u @JournalofEthics @UNMCInclusion @Creighton @ShirleyDelair @UNMCCRHD Signed up!
15,Fri Oct 23 22:20:31 +0000 2020,@thartman2u @JournalofEthics @UNMCInclusion @Creighton @ShirleyDelair @UNMCCRHD Signed up!
16,Fri Oct 23 21:52:57 +0000 2020,"Dr. Whitt of @Creighton and @occrjr says racial justice requires us to ""be creative and rethink or systems."""
17,Fri Oct 23 21:04:58 +0000 2020,RT @rightbedone: Watching @JonathanMetzl present on the racialized reasons that whites reject healthcare reform and hub reform @Creighton.
18,Fri Oct 23 21:00:10 +0000 2020,Watching @JonathanMetzl present on the racialized reasons that whites reject healthcare reform and hub reform @Creighton.
