,created_at,full_text
0,Mon Oct 26 18:18:21 +0000 2020,"@GOP @realDonaldTrump NANA DOESN’T WANNA DIE

RIGHT TO LIFE MY ASS

@Harvard @Yale @Princeton @BrownUniversity @Columbia @dartmouth @Penn @UCBerkeley @UCLA @Cornell"
1,Mon Oct 26 18:14:23 +0000 2020,@drtwillett @dartmouth Me too ❤️
2,Mon Oct 26 18:06:42 +0000 2020,"@GoodishIntent @dartmouth I've been taking classes for a health professions education certificate, and I've learned so much! Even down to how they're running the classes online!"
3,Mon Oct 26 16:57:05 +0000 2020,@KP_ICURN @GoodishIntent @HollyBiology @dartmouth Excellent! And kudos because it isn’t easy and I’ve never had to do it in Zoom for small groups.
4,Mon Oct 26 16:30:47 +0000 2020,"@voxpopperdition @GoodishIntent @HollyBiology @dartmouth This is a fact, from a nursing instructor who googles “high school science flipped classroom” on the regular 🤓"
5,Mon Oct 26 15:25:20 +0000 2020,"@NathanBruschi @dartmouth Thank you Nathan! It is my deep pleasure to lead the Council this year, and I share credit for the candidate with the rest of the Nominating Committee, especially our chair Karyn Calcano."
6,Mon Oct 26 15:14:05 +0000 2020,"@GoodishIntent @dartmouth My alma mater has always been technically advanced :-) we had email, instant messaging, and central printing in 1990. Glad he is getting a good experience!"
7,Mon Oct 26 14:18:58 +0000 2020,@GoodishIntent @HollyBiology @dartmouth Because they stole it from progressive HS teachers who have been using flipped classrooms for a decade. 😁.
8,Mon Oct 26 13:20:13 +0000 2020,RT @DartmouthMHCDS: “The absolute mortality rates are one hundred times higher for the 75 to 84 year olds compared to younger folks. That t…
9,Mon Oct 26 12:57:29 +0000 2020,RT @DartmouthMHCDS: “The absolute mortality rates are one hundred times higher for the 75 to 84 year olds compared to younger folks. That t…
10,Mon Oct 26 12:40:32 +0000 2020,RT @MatarikiNetwork: The #Matariki3MT People's Choice vote has now CLOSED! 🤪Keep your eyes peeled for the official results tomorrow... @3MT…
