,created_at,full_text
0,Sat Oct 24 01:34:39 +0000 2020,@amyjmerrick @14eastmag @DePaulU @DePaulJOUR Congrats!!
1,Sat Oct 24 01:21:57 +0000 2020,@amyjmerrick @14eastmag @DePaulU @DePaulJOUR Wonderful! Congratulations!!!
2,Fri Oct 23 18:45:00 +0000 2020,@LauraDurnell @DePaulU Hope you feel better soon!
3,Fri Oct 23 18:43:34 +0000 2020,"Called in sick for my Wright tutoring shift today and cancelled my @DePaulU office hours. I had my flu shot and don't think it's #COVID (hope it's not). Seems like a bad cold coming on. Sneezing, congested, sore throat, fatigue, and some coughing. Have felt run down all week."
4,Fri Oct 23 18:38:05 +0000 2020,"The line ""Given the information gathered, we do NOT believe these cases are related to each other"" feels more disingenuous every time @DePaulU sends out another email about a confirmed Covid case on campus where the person was most recently at the gym."
5,Thu Oct 22 19:02:12 +0000 2020,Our 2020 next-gen #audit #forum is a wrap and will be on our website soon. Huge thanks to moderator @kellyrpope of @DePaulU for steering this awesome session
6,Thu Oct 22 18:57:33 +0000 2020,"@hughbartling @DePaulU I suspect that ""here we do do"" won't fly?"
7,Thu Oct 22 18:34:59 +0000 2020,@DublinSoil Here we think cc @DePaulU
8,Thu Oct 22 18:01:19 +0000 2020,Starting now! Listen in as @kellyrpope of @DePaulU kicks off our 2020 #audit #forum on the next-generation audit
9,Wed Oct 21 19:11:39 +0000 2020,"“Take Care DePaul” except when it comes to Palestinian students. 

“What must be done?” unless it has to do with Palestinian students. 

“Here, we do” unless it has to do with Palestinian students.

See the pattern? @DePaulU"
10,Wed Oct 21 17:52:51 +0000 2020,"RT @DePaulU: This week's Student Pulse question: 
Do you know about DePaul University’s sustainability efforts?"
11,Wed Oct 21 16:30:00 +0000 2020,DePaul University will be joining the CRC today Virtually on Google Meets from 12:30PM-1:00PM (GM Code: chan-crc) @DePaulU
12,Wed Oct 21 14:34:17 +0000 2020,"RT @DePaulU: This week's Student Pulse question: 
Do you know about DePaul University’s sustainability efforts?"
13,Wed Oct 21 14:29:50 +0000 2020,"RT @DePaulU: This week's Student Pulse question: 
Do you know about DePaul University’s sustainability efforts?"
14,Wed Oct 21 14:26:30 +0000 2020,"RT @DePaulU: This week's Student Pulse question: 
Do you know about DePaul University’s sustainability efforts?"
15,Wed Oct 21 13:27:20 +0000 2020,"Hey @DePaulU, don’t hit your alumni up for money under the guise that it’s to help students during the pandemic. Do you think we aren’t suffering too?"
16,Wed Oct 21 12:54:19 +0000 2020,"Here's this week's lineup for Virtual College Visits TODAY! (10/21)

10:00AM | @UofSC
10:45AM | @UISedu
11:30AM | @illinoistech
12:00PM | Army National Guard
12:30PM | @DePaulU
1:30PM | @OhioWesleyan
2:05PM | @elonuniversity
3:00PM | @UUtah"
17,Wed Oct 21 00:53:15 +0000 2020,@RobinEHoecker @DePaulJOUR @hgflores_ @BlockClubCHI @DePaulU @CMNDePaul @TheDePaulia @LaDePaulia Thank you☺️!! We appreciate all the support!!
18,Tue Oct 20 17:02:41 +0000 2020,@RobinEHoecker @DePaulJOUR @themariague @BlockClubCHI @DePaulU @CMNDePaul @TheDePaulia @LaDePaulia Thank you so much @RobinEHoecker !!
19,Tue Oct 20 16:29:06 +0000 2020,@robvato @entrujillo @DePaulU I got through the first half so far. I loved the excerpt you chose to read Roberto. You are both brilliant.
20,Tue Oct 20 14:50:37 +0000 2020,"Great story in @TheDePaulia, @DePaulU becomes the first Big East school to have all eligible student athletes registered to vote."
21,Tue Oct 20 14:36:46 +0000 2020,@joannmartyn @InstituteForPR @traciintheswamp @DePaulU Testing it out! Big fan of @swellbottle.
22,Tue Oct 20 13:59:45 +0000 2020,@mattragas @InstituteForPR @traciintheswamp I have one of these from @DePaulU and I love it so much!
23,Tue Oct 20 09:24:12 +0000 2020,@jimyale1 @robertloerzel @DePaulU Did state employees pass kindergarten
24,Tue Oct 20 04:55:24 +0000 2020,@leahck55 Wearing my @DePaulU hoodie with pride for my daughter c/o 2022. #GoBlueDemons
25,Mon Oct 19 19:02:14 +0000 2020,"@DePaulU: We're not lowering tuition because remote learning is the same quality as in person 😊🤑😊

Also @DePaulU: You're not meeting in person so this writing workshop class can have 40 students and one overworked professor 🤑😊🤑"
26,Mon Oct 19 17:44:47 +0000 2020,"RT @BTCounselors: The acceptance letters keep coming for our Seniors!
Anthony Thomas: DePaul, Eastern IL Univ, Western IL Univ. @eiu @WIUAd…"
27,Mon Oct 19 16:30:50 +0000 2020,"The acceptance letters keep coming for our Seniors!
Anthony Thomas: DePaul, Eastern IL Univ, Western IL Univ. @eiu @WIUAdmissions @DePaulU 
Kira Machen: IL St. Univ. @ISURedbirds 
Alex Jones: Iowa St. Univ @IowaStateU , W. Mich. Univ. @WesternMichU 

@PrincipalKeene @DrNavarre"
28,Mon Oct 19 14:43:12 +0000 2020,@joshshepperd @DePaulU fellow DePaul alum here🙋‍♀️
29,Sun Oct 18 12:38:38 +0000 2020,@jimyale1 @robertloerzel @DePaulU Can confirm enrolling at DePaul was like trying to read Chinese
30,Sun Oct 18 12:12:39 +0000 2020,@jimyale1 @robertloerzel @DePaulU Someone once asked me if I’d need to learn the language before studying abroad... in England.
31,Sun Oct 18 06:17:53 +0000 2020,RT @jimyale1: @robertloerzel I had friend once from Winnipeg. Tried to enroll at @DePaulU for a class. Was told she had to take the TOEFL e…
32,Sun Oct 18 01:41:00 +0000 2020,@Xavier_Sanchez4 @chicagobulls @NBCSBulls @DePaulHoops @Greg_Greenwell @StaggHighSchool @StaggAthletics @StaggHoops @stagg_nation @StaggBaseball @DePaulU I know No. 32.  Happens to be my kid!!!!
