,created_at,full_text
0,Mon Oct 26 15:23:36 +0000 2020,"Glad Steele Dossier @benyt got religion now that he’s with @nytimes, and applauds mainstream media reasserting role as gatekeepers of truth (or best verifiable version). 20 years ago, I urged my writing students @DrexelUniv to question anything and everything online."
1,Mon Oct 26 15:19:41 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv DO it!! :D It's never too late, my friend!"
2,Mon Oct 26 14:47:21 +0000 2020,@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv That's the timeframe when it's free for college/university students: Tuesdays-Fridays from 3-5 pm
3,Mon Oct 26 14:47:02 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv This makes me want to get back to school.
4,Mon Oct 26 14:15:10 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv If visiting on Tuesdays-Fridays from 3-5 pm, students must show their ID from their college or university."
5,Mon Oct 26 14:13:45 +0000 2020,"@eyepicyou @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum @JeffersonUniv Thanks, @eyepicyou :D"
6,Mon Oct 26 14:08:02 +0000 2020,@PRDiva91 @CCPedu @DrexelTriangle @DrexelUniv @WCUofPA @TempleUniv @Bucks_edu @mccc @MooreCollegeArt @HolyFamilyU @Rutgers_Camden @RowanUniversity @USciences @haverfordedu @VillanovaU @BrynMawrCollege @ChestnutHill @pennmuseum You missed  @DelawareCCC
7,Mon Oct 26 14:03:36 +0000 2020,".@echernak @DrexelUniv:""What we do know, experts say, is that widespread testing paves the road back to normalcy. The absence of testing creates risk. W/o it, health officials don’t know how well an intervention is working &amp; can’t immediately know if another outbreak has begun.”"
8,Fri Oct 23 03:36:26 +0000 2020,RT @OahsC: OAHS Students more Virtual College Visits Friday!  Register on your Naviance Account @RosemontCollege @DelVal @MessiahCollege @s…
9,Fri Oct 23 01:05:32 +0000 2020,I have been attending @DrexelUniv for a little over a month now! I am having an extremely positive experience! I love it! I love how much I am learning!
10,Thu Oct 22 16:33:27 +0000 2020,"RT @DrexelUniv: It's National Transfer Student Week, and Drexel celebrates our transfer students and the admissions professionals who suppo…"
11,Thu Oct 22 14:11:27 +0000 2020,"RT @DrexelUniv: It's National Transfer Student Week, and Drexel celebrates our transfer students and the admissions professionals who suppo…"
12,Thu Oct 22 13:49:27 +0000 2020,"RT @DrexelUniv: It's National Transfer Student Week, and Drexel celebrates our transfer students and the admissions professionals who suppo…"
13,Thu Oct 22 12:50:19 +0000 2020,"RT @DrexelUniv: It's National Transfer Student Week, and Drexel celebrates our transfer students and the admissions professionals who suppo…"
14,Thu Oct 22 00:43:31 +0000 2020,@martinestokes8 @Gul1976 @DrexelUniv @mpftnhs @MedDirMPFT @martinstokes8 @Gul1976 @MedDirMPFT @mpftnhs @AHNtoday @DrexelUniv It was a great opportunity to share insights and perspectives with my colleagues in UK on a very important topic of insomnia and Major Depression..Appreciate your feedback very much!!!
15,Thu Oct 22 00:36:39 +0000 2020,"@jsstansel @DrexelUniv Thanks, JS. I appreciate it."
16,Wed Oct 21 17:03:19 +0000 2020,#FordhamLaw Admissions Officers will be participating in the virtual #Philadelphia #LawSchool Fair on 10/22 from 4:00 PM to 7:00 PM ET! @DrexelUniv #prelaw #NYC #Drexel #DrexelUniversity
17,Wed Oct 21 15:16:47 +0000 2020,@DrexelCCI @DrexelUniv Thank you for helping to spread the word. We look forward to seeing @DrexelUniv students
18,Wed Oct 21 14:47:32 +0000 2020,@martinestokes8 @Gul1976 @dramitchopra781 @DrexelUniv @mpftnhs @MedDirMPFT Well done you!
19,Wed Oct 21 14:30:16 +0000 2020,"@Gul1976 @dramitchopra781 @DrexelUniv @mpftnhs @MedDirMPFT Well over 100 delegates joined us for this excellent session, great things happening within world of medical education at MPFT !"
20,Wed Oct 21 14:28:43 +0000 2020,RT @Gul1976: Thanks @dramitchopra781 Associate Prof of Psychiatry @DrexelUniv Philadelphia USA for sharing his knowledge on “Management of…
21,Wed Oct 21 12:42:17 +0000 2020,@OahsC @RosemontCollege @DelVal @MessiahCollege @shippensburgU @DrexelUniv @JMU @TempleUniv @slipperyrocku Our new handle is @messiah_univ. 😊 The account listed above is not associated with Messiah University. Thank you!
22,Wed Oct 21 08:54:20 +0000 2020,RT @Gul1976: Thanks @dramitchopra781 Associate Prof of Psychiatry @DrexelUniv Philadelphia USA for sharing his knowledge on “Management of…
23,Wed Oct 21 01:58:27 +0000 2020,OAHS Students more Virtual College Visits Friday!  Register on your Naviance Account @RosemontCollege @DelVal @MessiahCollege @shippensburgU @DrexelUniv @JMU @TempleUniv @slipperyrocku
24,Tue Oct 20 22:17:10 +0000 2020,Making up my mind. @VillanovaU @TempleUniv @PennStateAlums @DrexelUniv
25,Tue Oct 20 20:07:06 +0000 2020,@RdgTerminalMkt shouldn’t have to set up a @gofundme to. @PhiladelphiaGov should step up &amp; do something to save the best part of Philly.....but they won’t because they’re trash. That’s why @DrexelUniv and other universities have to step in to save museums &amp; renovate the city.
26,Mon Oct 19 18:59:18 +0000 2020,@materialsworld @gogotsi1 @DrexelUniv @armin_vm This looks like laser induced graphene to me! MAXene has  less 3D structure (ripples). 🤔
27,Mon Oct 19 17:37:06 +0000 2020,"Thanks @dramitchopra781 Associate Prof of Psychiatry @DrexelUniv Philadelphia USA for sharing his knowledge on “Management of Sleep Disorder” @mpftnhs PGME Session which will translate into good patient care , attended by 106 delegates @MedDirMPFT #digitalhealth"
28,Mon Oct 19 15:48:32 +0000 2020,@materialsworld @DrexelUniv @gogotsi1 @armin_vm You can always mention us @2dMxenes for any #MXene  related research. Thank you.
29,Sun Oct 18 20:32:18 +0000 2020,"@AndrewYang Also remember that @DrexelUniv is *literally* right there! Those Dragons will need help with their student loans, too!"
