,created_at,full_text
0,Mon Oct 26 17:59:38 +0000 2020,RT @GYamey: Hey @DukeU peeps! Is anyone out there an expert on NC state law &amp; how it can &amp; cannot be used in pandemic control? If so please…
1,Mon Oct 26 17:59:33 +0000 2020,@GYamey @rossgrady @DukeU @DukeCPIGH @DukeGHI @DukeMargolis @DukeSanford Would @greg_doucette like to take a shot?  Maybe he can at recommend someone.
2,Mon Oct 26 17:50:23 +0000 2020,"@GYamey @DukeU @DukeCPIGH @DukeGHI @DukeMargolis @DukeSanford Not Duke, but potentially UNC's @BenjaminMMeier? Though I *fully* recognize that global health law &amp; US state law...potentially super *super* different beasts."
3,Mon Oct 26 17:31:56 +0000 2020,RT @GYamey: Hey @DukeU peeps! Is anyone out there an expert on NC state law &amp; how it can &amp; cannot be used in pandemic control? If so please…
4,Mon Oct 26 17:25:03 +0000 2020,"Hey @DukeU peeps! Is anyone out there an expert on NC state law &amp; how it can &amp; cannot be used in pandemic control? If so please email. Thanks, your colleague Prof Gavin Yamey @DukeCPIGH @DukeGHI @DukeMargolis @DukeSanford 🙏🏼"
5,Mon Oct 26 16:46:29 +0000 2020,@GYamey @DukeU Thanks @GYamey for your insights!
6,Mon Oct 26 16:38:32 +0000 2020,@dnalice We're at 174 infections since reopening @DukeU. The weekly infection rate has been higher over the last 2 weeks than at the start of the semester (we also had our 1st cluster). Durham/NC have rising 7-day rolling averages so it's no surprise. I'm nervous about these trends 😱😱😱
7,Mon Oct 26 14:03:29 +0000 2020,"RT @DenverDunn4: @LissaJoStewart @DukeLaw @DukeU - this calls for a response from the university administration. Signed, an alum considerin…"
8,Mon Oct 26 13:57:18 +0000 2020,"RT @DenverDunn4: @LissaJoStewart @DukeLaw @DukeU - this calls for a response from the university administration. Signed, an alum considerin…"
9,Mon Oct 26 13:57:07 +0000 2020,"@LissaJoStewart @DukeLaw @DukeU - this calls for a response from the university administration. Signed, an alum considering whether to donate this year."
10,Mon Oct 26 12:43:33 +0000 2020,@HarvardDBMI @zakkohane @suchisaria @jessiet1023 @moorejh @nicktatonetti @JohnsHopkins @DukeU @ncdhhs @UPennIBI @Columbia @NEJM @NEJMGroup @UnitedHealthGrp @Emily_Alsentzer @beaulieujones @IAmSamFin @CCIPD_Case @MarzyehGhassemi @Dr_Hightower @peteratmsr What a great topic and great panel.  Thank you for this.  #vccmusielski
11,Mon Oct 26 08:53:20 +0000 2020,@ameya_chaudhari @seguralab @VandanaPatrava2 @DukeU @DukeEngineering @ICTMumbai1933 @SMitragotri Congratulations
12,Mon Oct 26 07:46:53 +0000 2020,@ameya_chaudhari @seguralab @VandanaPatrava2 @DukeU @DukeEngineering @ICTMumbai1933 @SMitragotri Congratulations
13,Mon Oct 26 06:39:29 +0000 2020,Special salute to our troops overseas and at home. @realDonaldTrump @NCState @FLOTUS @HillaryClinton @TheDemocrats @SecPompeo @JoeBiden @SenSanders @USArmy @usairforce @USAirForceNCO @usmc @SecretService @DukeU @senatemajldr @MittRomney @HoustonRockets @USTreasury @espn @yale @UN
14,Mon Oct 26 04:10:20 +0000 2020,@hadeelabdelhy @DukeU  come get her!!!!
15,Mon Oct 26 02:29:15 +0000 2020,"@vinayakdbhat @SMitragotri @seguralab @VandanaPatrava2 @DukeU @DukeEngineering @ICTMumbai1933 Thank you, Dr. Bhat!
ICT has provided me with a strong foundation and Duke has given me a platform to succeed.🙏"
16,Mon Oct 26 01:13:13 +0000 2020,@SMitragotri @ameya_chaudhari @seguralab @VandanaPatrava2 @DukeU @DukeEngineering @ICTMumbai1933 Congratulations Ameya! Happy to see another ICT-Duke connection!
17,Mon Oct 26 01:00:17 +0000 2020,@DukeFBEquipment @DukeDigest @DukeMBBStats @DukeReport @DukeU ..How bout that #GoDUKE love #SheltonBoys
18,Mon Oct 26 00:41:35 +0000 2020,"@SMitragotri @seguralab @VandanaPatrava2 @DukeU @DukeEngineering @ICTMumbai1933 Thank you, Prof. Samir!"
19,Sun Oct 25 23:49:44 +0000 2020,RT @anl_simha: @SenateDems @SenFeinstein @SenSchumer @JudiciaryDems @FBI @TheJusticeDept @BarackObama @EricHolder @realDonaldTrump @uscourt…
