,created_at,full_text
0,Mon Oct 26 14:54:39 +0000 2020,"@markdboonie @duqedu @DuqHistory @TheITPS So glad you like! It's a great line, so wasn't hard to pull 😁"
1,Mon Oct 26 14:48:56 +0000 2020,@lmchervinsky @duqedu @DuqHistory @TheITPS I feel like you distilled my personality in this one pull quote graphic and I am amazed.
2,Mon Oct 26 11:27:50 +0000 2020,@danniebrwn @OgeTheYogi @ava @1hood @revolttv @nytimes @rolandsmartin @tamronhall I can’t believe @duqedu has let this go on like this.
3,Fri Oct 23 19:54:20 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
4,Fri Oct 23 19:52:32 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
5,Fri Oct 23 19:04:59 +0000 2020,"@duqedu @DuqAlumni @DuqBiz @DUSchoolofEd @DuquesneLaw @duqlibarts @MPSoM @duquesnescience @DUnursing @DuquesnePharm if mama brown dies, then what?? my guess is you’ll continue not to care about her, her son, and all the other families whose stories haven’t seen the light of day"
6,Fri Oct 23 17:58:18 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
7,Fri Oct 23 17:40:13 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
8,Fri Oct 23 16:29:26 +0000 2020,"@quincy4council @danniebrwn @duqedu And check out her work in law enforcement and counseling. Few people have the training and professional experience, along with the personal commitment, to see policing needs to change and to see how it can change. She has teamed up with @SteelSmilingPGH , check it out"
9,Fri Oct 23 16:25:48 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
10,Fri Oct 23 15:56:27 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
11,Fri Oct 23 15:52:05 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
12,Fri Oct 23 15:51:34 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
13,Fri Oct 23 15:45:24 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
14,Fri Oct 23 15:20:25 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
15,Fri Oct 23 15:17:39 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
16,Fri Oct 23 15:10:11 +0000 2020,@dr_vangry @JBs_Raiders @PghProtests @duqedu I will contribute too!
17,Fri Oct 23 15:08:41 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
18,Fri Oct 23 14:07:48 +0000 2020,RT @quincy4council: 🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for…
19,Fri Oct 23 14:02:38 +0000 2020,🚨🚨 please follow @danniebrwn Learn about her story and the blatant disregard from @duqedu in the search of justice for her son.
20,Fri Oct 23 11:20:27 +0000 2020,@sunshineburgh @duqedu Beautiful!!
21,Fri Oct 23 00:32:05 +0000 2020,@JBs_Raiders @PghProtests @danniebrwn @duqedu Yo they're only $55 👀👀👀
22,Fri Oct 23 00:30:33 +0000 2020,@danniebrwn @JBs_Raiders @duqedu YES YES YES
23,Fri Oct 23 00:02:04 +0000 2020,@JBs_Raiders @duqedu I love the way you think!
24,Thu Oct 22 19:58:47 +0000 2020,"The @vilnashul will send links to stream the film excerpts to all registrants in advance of the discussion. The anticipated premiere date for the full-length film is Spring 2021. 

@VaHolocaust @williamandmary @duqedu @CNUcaptains @UWEauClaire"
25,Thu Oct 22 19:53:46 +0000 2020,@GoDuquesne @DuqMBB @DuqWBB @duq_thecrew @duqedu @DuqAlumni @atlantic10 @duqspirit Will there be one court side for Mossie Murphy ?!?
26,Thu Oct 22 16:03:57 +0000 2020,"@gnicastro13 @JMart1138 @GoDuquesne @DuqMBB @DuqWBB @duq_thecrew @duqedu @DuqAlumni @atlantic10 @duqspirit Oh yeah, I full expect to see that cardboard cutout being escorted out of Palumbo by campus security."
27,Thu Oct 22 15:48:21 +0000 2020,@LivingRx @gnicastro13 @GoDuquesne @DuqMBB @DuqWBB @duq_thecrew @duqedu @DuqAlumni @atlantic10 @duqspirit Hahaha 😂 Somehow I think cardborsd Rick would still start a fight at some point
28,Thu Oct 22 15:33:22 +0000 2020,"@DuqCoach @DuqMBB @DuqWBB @duq_thecrew @duqedu @DuqAlumni @atlantic10 @duqspirit Hello - 

We won't be able to send individual photos to each fan, but we do plan to frequently share photos on social media of the cutouts and make them as visible as possible on our game broadcasts! 😃"
29,Thu Oct 22 15:32:02 +0000 2020,"@GoDuquesne @DuqMBB @DuqWBB @duq_thecrew @duqedu @DuqAlumni @atlantic10 @duqspirit My wife is in this pic, next to the dog. So cool!!!"
30,Thu Oct 22 15:27:20 +0000 2020,@GoDuquesne @DuqMBB @DuqWBB @duq_thecrew @duqedu @DuqAlumni @atlantic10 @duqspirit Awesome. will we get a picture of our fan in the stands?
31,Thu Oct 22 14:59:48 +0000 2020,@duqedu really just have nothing to say about  111 days of hunger strike at your hands?? Really think this is going to go away? Take accountability
32,Thu Oct 22 14:47:00 +0000 2020,@gnicastro13 @GoDuquesne @DuqMBB @DuqWBB @duq_thecrew @duqedu @DuqAlumni @atlantic10 @duqspirit @JMart1138 I’m gonna get one of Rick Moll and make sure he’s sitting between you guys.
33,Thu Oct 22 14:32:35 +0000 2020,@GoDuquesne @DuqMBB @DuqWBB @duq_thecrew @duqedu @DuqAlumni @atlantic10 @duqspirit @JMart1138 $55 Lets Go!
34,Wed Oct 21 17:12:54 +0000 2020,@DrChantrise @diversity_updom @UPMC @PKDavis @RKallemWhitman @chazkellem @PittServes @PittHealthSci @PittHSDiversity @duqedu Thanks SO much for your participation. I think it went well!
35,Wed Oct 21 15:29:34 +0000 2020,@Chatonsworld @diversity_updom @UPMC @PKDavis @RKallemWhitman @chazkellem @PittServes @PittHealthSci @PittHSDiversity @duqedu I’m excited! See you in 15 minutes 😊
36,Wed Oct 21 15:26:50 +0000 2020,"@diversity_updom @UPMC @PKDavis @RKallemWhitman @chazkellem @DrChantrise @PittServes @PittHealthSci @PittHSDiversity @duqedu I'm actually moderating this panel. Sharing because sometimes people ask me, ""What exactly do you do?!"" Wish me luck!!!"
37,Wed Oct 21 10:00:36 +0000 2020,RT @hilltopspartan: Congratulations and #MontourProud of Kelsey Molitoris on her acceptance to @duqedu! #Psychology #CriminalJustice
38,Wed Oct 21 09:58:00 +0000 2020,Congratulations and #MontourProud of Kelsey Molitoris on her acceptance to @duqedu! #Psychology #CriminalJustice
39,Mon Oct 19 23:44:05 +0000 2020,"@ToniYates7 @TeshawnLEdmonds Come on you Dukes! (@duqedu) 
Come on you Panthers! (@PittTweet) 
Come on you Nittany Lions! (@penn_state) 
Come on you Blue Hens! (@UDelaware) 
Come on you Terps! (@UofMaryland) 

May the future shine brightest for your son, @ToniYates7!"
40,Mon Oct 19 22:49:47 +0000 2020,@duqedu @DuqAlumni But what about supporting Dannielle Brown? 😭💔
41,Mon Oct 19 19:31:56 +0000 2020,Excited to convene @MySaintVincent and @duqedu student leaders on a call this evening - the start of a great partnership! #relationships #highered #leadership
42,Mon Oct 19 18:50:35 +0000 2020,"I'm doing a panel discussion with @duqedu tomorrow evening. I'm so proud of my alma mater and love giving back to them in every way I can. As HECTIC as life was during my collegiate days, I wouldn't change it for a thing . 💙 #perseverance #givefirst"
43,Mon Oct 19 00:48:09 +0000 2020,@drlovelace @duqedu Thank you again! I truly appreciate it!
44,Mon Oct 19 00:38:43 +0000 2020,"@CedesTheGreat @duqedu Ok, got it...you can delete or message with your info...😂"
45,Sun Oct 18 23:56:47 +0000 2020,"@drlovelace @duqedu It won’t let me message you: Venmo @Merecedes-Howze 
Cash App @MovieSceneQueen

Thank you so much!"
46,Sun Oct 18 23:55:23 +0000 2020,@drlovelace @duqedu Yes ma’am. I’ll message you! The scammers are out 🤣🤣🤣
47,Sun Oct 18 23:40:57 +0000 2020,@drlovelace @CedesTheGreat @duqedu I been struggling a lot on groceries for my kids they currently are homeschool and the school don’t provide free meals anything with help out a lot my Venmo is mia655
48,Sun Oct 18 23:40:25 +0000 2020,@CedesTheGreat @duqedu Do you have Venmo or CashApp?
49,Sun Oct 18 12:43:14 +0000 2020,"@duqedu So would honesty, transparency, and justice, but you care more about fall leaves. Delete your account."
50,Sun Oct 18 03:03:33 +0000 2020,"@412champs @duqedu @PointParkU @PittTweet @penn_state Best of luck. As someone who just went through the college application process, the best advice I could give you is to treat it like a business decision (cuz it is)"
51,Sun Oct 18 02:41:54 +0000 2020,@duqedu It's Day 106 of Dannielle Brown's hunger strike 💔
52,Sun Oct 18 02:40:59 +0000 2020,@412champs @duqedu @PointParkU @PittTweet @penn_state Good luck bro!!
53,Sun Oct 18 02:40:46 +0000 2020,"RT @jamesonthebike: @duqedu Allowing a mother to slowly die while you withhold information about her son’s death doesn’t. But sure, nice le…"
54,Sun Oct 18 02:40:44 +0000 2020,RT @Sizzledrizzle4: @duqedu There are no amount of pictures you can post that makes up for the amount of racism that’s been on your campus…
