,created_at,full_text
0,Mon Oct 26 17:04:46 +0000 2020,"RT @Roper_Lab: If you test negative for COVID, it doesn't mean you don't have COVID. It only means you don't have enough virus to detect. Y…"
1,Mon Oct 26 16:54:49 +0000 2020,"RT @Roper_Lab: If you test negative for COVID, it doesn't mean you don't have COVID. It only means you don't have enough virus to detect. Y…"
2,Mon Oct 26 16:43:58 +0000 2020,"We’re thrilled to welcome @EastCarolina University as the newest member of our Clean Construction Partnership! ECU is committing to adopt clean construction standards to ensure cleaner air for its students, faculty, staff, and visitors. @SustainECU"
3,Mon Oct 26 16:42:17 +0000 2020,"@EastCarolina students, did you know that you can go vote on campus!? Yep! Just visit the Main Campus Student Center (room 125)  
Staff will be on site to assist with questions. Available weekdays- 8:00 AM to 7:30 PM. #VoteEarly"
4,Mon Oct 26 16:23:59 +0000 2020,"If you test negative for COVID, it doesn't mean you don't have COVID. It only means you don't have enough virus to detect. You could be in the incubation phase. Every person who ever got COVID would have tested negative one day and positive the next @ECUProfessor @EastCarolina"
5,Sun Oct 25 23:35:12 +0000 2020,i still haven’t received my diploma in the mail... i think @EastCarolina said nah and took it back 🤕
6,Sun Oct 25 16:50:06 +0000 2020,@katieFlanAT @EastCarolina @ECU_AT @PCS_NC Great story.
7,Sun Oct 25 09:59:21 +0000 2020,@SchCouns4MTSS My favorite mask is Purple &amp; Gold to rep my Alma Mater @EastCarolina 💜💛 #GoPirates
8,Sat Oct 24 21:34:32 +0000 2020,@DonnaLakeNC is running in SD-7. She is a #veteran and #retired out of Seymour Johnston AirForce Base. She is an @EastCarolina professor and teaches #nursing. She states we need #MedicaidExpansion now.
9,Sat Oct 24 18:13:32 +0000 2020,@EastCarolina let me talk about east chapel hill high school
10,Sat Oct 24 14:24:38 +0000 2020,@EastCarolina @AndrewGoodmanF Do it!
11,Fri Oct 23 20:24:12 +0000 2020,"@ecuhcas @EastCarolina best not to share the dropbox link as it will go away soon! If you want something to share, I have uploaded it to youtube for you here: ECU Hayhoe Sep2020"
12,Fri Oct 23 18:44:51 +0000 2020,@GoldenEaglesBHS @EastCarolina @BethpageUFSD Congrats Leah - great accomplishment
13,Fri Oct 23 17:53:30 +0000 2020,@TEC_newspaper @EastCarolina @ECUAthletics @VinceMcMahon Thought cutting the swim team would solve everything 🤔
14,Fri Oct 23 00:02:24 +0000 2020,"@WeightInnovate @Biotechs_R_Us @EastCarolina @ECUProfessor yes, overall health is very important for survival and recovery. Air pollution is a huge problem all over the US. American Lung Association keeps calling for improvements.  Yes, diet and exercise are important.  Exercise is great for stress, sleep, and weight!"
15,Thu Oct 22 18:21:58 +0000 2020,@JorgEdTech @OVS_Community @EastCarolina I miss those days!  So glad I was able to be there for you!
16,Thu Oct 22 17:25:05 +0000 2020,RT @RobinsonSydnii: the @EastCarolina proctoring center possibly has a case of covid so is closed until nov.6th now IIIIIII have to pay $25…
17,Thu Oct 22 17:20:27 +0000 2020,the @EastCarolina proctoring center possibly has a case of covid so is closed until nov.6th now IIIIIII have to pay $25 to take an exam?? nah.
