,created_at,full_text
0,Sun Oct 25 02:40:48 +0000 2020,@AppHighlands @etsu @ETSUAlumni @ETSUAdmissions @ETSUAthletics @ETSUFootball @ETSUCampusRec @etsu_cheer @ETSU_Baseball @ETSU_WBB @BobPlumBuc @ETSUPrez @ETSU_MBB @QuillenFamily Dump this Appalachian Highlands bullshit already.
1,Sat Oct 24 20:17:58 +0000 2020,RT @Mitch_M: @dbgrinberg @etsu @bleachbred @GoodMenProject @lisahickey @Lisa_M_Blacker @michaelkasdan @kpk_newbf @heyitsanika @StacyBrownMe…
2,Sat Oct 24 16:20:07 +0000 2020,@AppHighlands @etsu @ETSUAlumni @ETSUAdmissions @ETSUAthletics @ETSUFootball @ETSUCampusRec @etsu_cheer @ETSU_Baseball @ETSU_WBB @BobPlumBuc @ETSUPrez @ETSU_MBB @QuillenFamily Love this sign!
3,Fri Oct 23 14:18:56 +0000 2020,@HardHatMike @geoffcarmichael @Wendys @etsu I like the Bacon burger from Wendy’s and love the frosty
4,Fri Oct 23 14:17:20 +0000 2020,@geoffcarmichael @alexlicea82 @Wendys I lived for a year in college at @ETSU solely off the @Wendys $0.99 Junior Bacon Cheeseburger and Junior Cheeseburger Deluxe.
5,Fri Oct 23 11:48:34 +0000 2020,@JeffKeeling12 @etsu These So-called Christian schools are anything but. Augean stables indeed.
6,Fri Oct 23 02:44:07 +0000 2020,"@etsu 
I just missed being a student in this school, I could study forever and not leaving it 👨🏻‍🎓 long time ago
Can you upgrade RT to master so, I can study? 👨🏻‍⚕️"
7,Thu Oct 22 19:13:53 +0000 2020,@TheTNHoller @etsu @Milligan_Univ @TriCitiesHoller So glad to see this. My son is in his second year at etsu and my daughter just got her acceptance letter yesterday.
8,Thu Oct 22 15:09:41 +0000 2020,It has been such a fun morning chatting with media communications students at @etsu.
9,Thu Oct 22 13:59:48 +0000 2020,@TheTNHoller @etsu @Milligan_Univ @TriCitiesHoller It’s almost like institutional discrimination applies to everyone except pedophiles around here.
10,Thu Oct 22 12:43:24 +0000 2020,"@TheTNHoller @etsu @Milligan_Univ @TriCitiesHoller Again, one of the MILLIONS of reasons Aliens won't communicate with us!"
11,Wed Oct 21 17:33:31 +0000 2020,"@abovejordan What happened in Lagos was kama, the prayed for it in 2014 and the will reap more because in 2019 too again they hide the truth this is just the beginning. @YeleSowore @Etsu @C1978J @jcamii2018"
12,Tue Oct 20 20:24:31 +0000 2020,Chair Dustin Kidd said he believes @etsu can carry a lot of weight among area colleges if the entire university adopts the gist of this resolution. Milligan isn't the only area Christian college that hasn't proactively pursued inclusive personnel policies.
13,Tue Oct 20 20:16:54 +0000 2020,Sponsor Seth Manning says the amended resolution is designed to be broadly supportable by @etsu administration and faculty senate. He says ETSU would reverse disaffiliation if changes in policy occurred Milligan or other institutions with similar policies.
14,Tue Oct 20 15:02:36 +0000 2020,@Mofochronicles @etsu Congratulations
15,Tue Oct 20 14:18:48 +0000 2020,Super excited to talk to an @etsu media class this week!
16,Mon Oct 19 13:43:09 +0000 2020,Shoutout to @ETSU for the parallel parking practice. Without it I may not have been able to vote today. 👌🏼
17,Mon Oct 19 05:10:18 +0000 2020,@emert_tyler @palsweb @drenuf @wildwingcafe @etsu @DowntownJCTN nice
18,Sun Oct 18 20:33:35 +0000 2020,@CFBcampustour @FCSNationRadio1 @etsu @ETSUFootball @SoConSports @NCAA_FCS @FifthQuarterInc @CFBHome @ETSUAthletics @CoachRader_ETSU It’s no Paladin Stadium but it is a rather pretty place to watch a game.
19,Sun Oct 18 12:35:08 +0000 2020,@gsudarlin @etsu @ETSUFootball @SoConSports @NCAA_FCS @FifthQuarterInc @CFBHome @ETSUAthletics @CoachRader_ETSU It does remind me of Sanford as well. This place is basically brand new. Didn’t realize they canceled football from 2003-2015. Built a new stadium in 2017 &amp; won a conference title in 2018. Maybe there’s a connection between those two things?🤔
20,Sun Oct 18 12:32:00 +0000 2020,@CFBcampustour @etsu @ETSUFootball @SoConSports @NCAA_FCS @FifthQuarterInc @CFBHome @ETSUAthletics @CoachRader_ETSU Reminds me a bit of Samford's stadium. Maybe a little Elon too (not sure if they've done improvements since leaving SoCon)
21,Sat Oct 17 22:37:02 +0000 2020,@emert_tyler @palsweb @drenuf @wildwingcafe @etsu @DowntownJCTN Nice!!!
