,created_at,full_text
0,Fri Oct 23 16:25:05 +0000 2020,@EmbryRiddle @ryanvaughan see! You would fit right in!
1,Thu Oct 22 21:54:38 +0000 2020,@taylorgkoehn @EmbryRiddle Enjoy Taylor!  I can tell you I definitely did when I was there exactly 40 years ago for the first time!  Back then we didn’t have anywhere near what you will have...not by a long shot; but since we loved aviation we had a blast anyway!  Aim high young man!
2,Thu Oct 22 19:06:53 +0000 2020,"Should I look at @EmbryRiddle or more towards say, @ISUnet for my higher degree?? Any advice?
@spacex @NASA #aviation #AeroSpace #spacex  @MarsInitiative  
Look at #aviation and #AeroSpace and #planetaryscience"
3,Thu Oct 22 18:55:47 +0000 2020,@taylorgkoehn @EmbryRiddle Congrats and welcome aboard! #ForeverAnEagle
4,Thu Oct 22 14:35:23 +0000 2020,@taylorgkoehn @EmbryRiddle Welcome to Riddle
5,Thu Oct 22 14:17:46 +0000 2020,@taylorgkoehn @EmbryRiddle Congratulations!
6,Thu Oct 22 10:52:04 +0000 2020,"And ICYMI, here's our conversation with Thomas Field of @EmbryRiddle on SUnday's results in #Bolivia 

4/4"
7,Wed Oct 21 03:53:02 +0000 2020,"@JxckSweeney @EmbryRiddle @ERAU_Daytona Thanks! Anyway, congrats!"
8,Tue Oct 20 23:15:48 +0000 2020,@veimmone @EmbryRiddle @ERAU_Daytona I don't really know since this is my first one. But I think it's usally just a letter.
9,Tue Oct 20 21:08:58 +0000 2020,"@JxckSweeney @EmbryRiddle @ERAU_Daytona Wait. Is this how acceptance letters come in the US? 😅

Or is this somehow special to this uni?"
10,Tue Oct 20 11:09:47 +0000 2020,"Can @Disney , @espn , @disneyplus , and @shopDisney PLEASE PLEASE PLEASE go to a dual identity confirmation for login? Please.

Tired of coming home to e-mails that someone has stolen my account from across the country.

@Blizzard_Ent ,@PlayStation ,@EmbryRiddle all have it."
