,created_at,full_text
0,Mon Oct 26 18:03:16 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus one word:  coyote
1,Mon Oct 26 17:59:32 +0000 2020,@Prof_Suddler @KaliGrossPhD @KeishaBlain @drashleyfarmer @DrAshleyHoward @mirarose88 @madameclair08 @kcarterjackson @KingShannon23 @EmoryUniversity @emorycollege @laneygradschool @EmoryAAS I’m an illustrious guest! I’m an illustrious guest!
2,Mon Oct 26 17:17:50 +0000 2020,@AUOBCymru I've tweeted @EmoryUniversity to notify them the picture is being used.
3,Mon Oct 26 17:17:09 +0000 2020,Hi @ChloeDunst  you appear to have borrowed a picture from  at a Diploma ceremony at @EmoryUniversity as your profile picture. None of the ladies pictured are called Chloe Dunst. Are you trying to pretend you are someone you are not?
4,Mon Oct 26 17:09:03 +0000 2020,RT @preszak: So happy that the colleges and universities in the Atlanta Region are collaborating to provide all of our students the best we…
5,Mon Oct 26 16:49:02 +0000 2020,RT @preszak: So happy that the colleges and universities in the Atlanta Region are collaborating to provide all of our students the best we…
6,Mon Oct 26 16:08:23 +0000 2020,RT @preszak: So happy that the colleges and universities in the Atlanta Region are collaborating to provide all of our students the best we…
7,Mon Oct 26 15:40:19 +0000 2020,So happy that the colleges and universities in the Atlanta Region are collaborating to provide all of our students the best we have to offer @ARCHEHigherEd cross registration.  Sign up for courses @agnesscott @EmoryUniversity @GeorgiaTech @Morehouse @SpelmanCollege and more.
8,Mon Oct 26 14:18:12 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus What will this legislative office do to address the coyotes!?!?
9,Mon Oct 26 14:11:02 +0000 2020,"Great discussion w/lots of useful advice for students &amp; parents on #college admissions &amp; #financialaid w/ @jselingo, John Leach of @EmoryUniversity  &amp; @Rd2College last night."
10,Mon Oct 26 13:02:50 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus This is got to be the dumbest sister I ever seen.
11,Mon Oct 26 12:00:44 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus SUFFERD🤣🤣🤣🤣🤣🤣🤣
12,Mon Oct 26 11:14:05 +0000 2020,"@VegasBigE @DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus No one heard of this person until she tripped, and fell on her face with the dumbest comment of the year."
13,Mon Oct 26 10:56:55 +0000 2020,"@Justusmom20091 @RLea35 @DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus Not too bright, are you.  Bless your heart.  You and Dar’shun are perfect for each other!  #LiberalismIsAMentalDisorder"
14,Mon Oct 26 10:47:06 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus do you think its proper that someone with your obviously low IQ to vote? you do not have the ability to make a rational decision. How would you vote correctly? you are aware you suffer from Dunning-Kruger Effect delirium?
15,Mon Oct 26 08:37:58 +0000 2020,@DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus A lot of people probably would’ve considered but since you didn’t understand what Coyote means....
16,Mon Oct 26 06:08:27 +0000 2020,@mike_giardino @DarshunKendrick @GeorgiaDemocrat @GAHouseDems @Georgia_NAACP @GAWINList @DekalbGADems @OglethorpeUniv @EmoryUniversity @GeorgiaStateU @ga_black_caucus She’s actually the stupidest “attorney” I’ve ever seen. There’s no way she passed the real Bar. There had to have been a special one that’s a bit lower.
17,Mon Oct 26 04:46:54 +0000 2020,"@JMiller1789 @EmoryUniversity Yay for night running! I need more reflective stuff, too - it’s so dark in my neighborhood :( a weird year, indeed."
