,created_at,full_text
0,Mon Oct 26 11:10:55 +0000 2020,"10/23 big thank you to @NeumannUniv and @SyracuseU for visiting @BerksCatholic !

10/26 today we host @RosemontCollege and @FairfieldU !  @HaloBC - rsvp with Mrs Bonanno"
1,Sat Oct 24 16:51:18 +0000 2020,sent first three EA applications to @FordhamNYC @UMassBoston @FairfieldU 😀😀
2,Fri Oct 23 13:42:34 +0000 2020,@FairfieldU @FairfieldMirror It barely proves you’re a current student there let alone a registered voter.
3,Fri Oct 23 10:45:26 +0000 2020,RT @stags_4life: @JonRothstein Hey @JonRothstein - You should make the short trip up I-95 to @FairfieldU one of these days.  @CoachJayYoung…
4,Fri Oct 23 03:38:08 +0000 2020,@JonRothstein Hey @JonRothstein - You should make the short trip up I-95 to @FairfieldU one of these days.  @CoachJayYoung and @FairfieldMBB are really building something here.  This is a mid-major program that should be on your radar.
5,Fri Oct 23 01:47:25 +0000 2020,"@LaurenFabrizi @BrendaKupchick @FairfieldHD @FairfieldU @News12CT Because of the College’s Sacred Heart, Fairfield U! 🤬"
6,Thu Oct 22 14:13:09 +0000 2020,"RT @sonyahuber: So psyched for my zoom talk today on inequality in Connecticut’s Gold Coast! 4:30 pm EST, reception afterward with amazing…"
7,Thu Oct 22 14:07:56 +0000 2020,"@FairfieldU @FairfieldMirror How is a non-government issued ID valid for use at polls? I don’t know what the current IDs look like, but I’m hoping that they have more security features than the ones used while I was enrolled."
8,Thu Oct 22 14:02:56 +0000 2020,"So psyched for my zoom talk today on inequality in Connecticut’s Gold Coast! 4:30 pm EST, reception afterward with amazing activists. DM me for zoom link! @FairfieldU @FairfieldCAS"
9,Wed Oct 21 14:03:51 +0000 2020,"Assistant Dean of Enrollment, Stephen Brown, will be participating in @FairfieldU's virtual #LawSchool Fair on 10/22 from 12:30 PM to 2:30 PM ET! #FordhamLaw #prelaw #NYC #Fairfield #FairfieldUniversity"
10,Tue Oct 20 12:09:33 +0000 2020,We're excited about our virtual meeting with @FairfieldU on October 20 at 12:30pm!  Find the link on our guidance calendar and join us to learn more about this great school!
11,Tue Oct 20 00:43:54 +0000 2020,@SputzieBird @GovNedLamont @FairfieldU Actually it does not. Good well balanced judgement with perspective does. But if you want to be afraid carry on..
12,Tue Oct 20 00:35:40 +0000 2020,@doodle454 @GovNedLamont @FairfieldU Fear leads to survival.
13,Tue Oct 20 00:28:37 +0000 2020,"@doodle454 @GovNedLamont @FairfieldU I'll get back to you in a few weeks. There is an outbreak in Fairfield. The doubling matters. 

This virus leaves is thought to be a disease of circulation and is capable of leaving permanent organ damage anywhere it pleases. It's smart to be afraid."
14,Mon Oct 19 23:52:56 +0000 2020,@SputzieBird @GovNedLamont @FairfieldU A 0.8% positivity rate and now 1.6% is a doubling but it’s still super low. Stop watching CNN and reacting to buzz words they use for fear ratings.
15,Mon Oct 19 20:47:12 +0000 2020,"@GovNedLamont CNN just reported that our CT cases have doubled. I'm worried. 

@FairfieldU is out of control. Please do something."
