,created_at,full_text
0,Mon Oct 26 18:16:13 +0000 2020,@SportsCenter @ESPNCFB @TBDBITL @FAMU_1887 &gt; @OhioState band !!!!
1,Mon Oct 26 18:03:56 +0000 2020,@SportsCenter @TBDBITL I’m still going with @FAMU_1887 over them every time 💚🐍🧡
2,Mon Oct 26 17:31:46 +0000 2020,@FAMUVideos @TyeTribbett @2chainz @lala @Saweetie @chloexhalle @Nlechoppa1 @FAMU_1887 @trt_FAMU 🔥🔥🔥..the rest of the video was amazing too!! 🐍❤🐍
3,Mon Oct 26 17:27:13 +0000 2020,@FAMU_1887 Is there any way to take additional undergrad classes online?
4,Mon Oct 26 14:48:14 +0000 2020,@elevated_blu @FAMU_1887 I really enjoyed myself! Thank you for spreading the word so that other peers could come out and participate!
5,Mon Oct 26 14:46:46 +0000 2020,@skylarvibes @FAMU_1887 Looks like it was an amazing event. I wish I could’ve been there 👏🏾👏🏾🐍
6,Mon Oct 26 12:30:15 +0000 2020,"As of 10/25, at least 32,071 (+2,705 yst.) voters have cast ballots at on-campus polling places at #Florida universities

@FIU: 7,220
@FloridaAtlantic: 6,136
@UF: 4,849
@UCF: 4,378
@FloridaState: 3,655
@UWF: 2,853
@USouthFlorida: 1,848
@FAMU_1887: 1,132

#Election2020 #VoteEarly"
7,Mon Oct 26 02:24:19 +0000 2020,@FBCoachK @HBCUGameday @FAMU_FBRecruit @FAMUAthletics @FAMU_1887 Nice 💪🏾
8,Mon Oct 26 01:36:52 +0000 2020,RT @FAMU_1887: @BET Thank you for the #MeetMeOnTheYard 🧡💚 @BET!!!!
9,Mon Oct 26 00:06:35 +0000 2020,"Not ready to end my 2020 virtual #HBCUHomecoming experience, but I know tonight’s @tmcf_hbcu will be🔥! Donation already sent!!! As an alumni of @FAMU_1887, I understand the importance of paying it forward! #RISEHC2K20 #FAMUhomecoming"
10,Sun Oct 25 23:41:25 +0000 2020,"I saw pairs/small groups of alumni come together this weekend to celebrate homecoming. 

Nothing like being a @FAMU_1887 grad 🧡🐍 #Rattlers"
11,Sun Oct 25 23:25:32 +0000 2020,@FAMUVideos @TyeTribbett @2chainz @lala @Saweetie @chloexhalle @Nlechoppa1 @FAMU_1887 @trt_FAMU that sound nice they should play that in the stands
12,Sun Oct 25 23:01:50 +0000 2020,"@FAMUVideos @TyeTribbett @2chainz @lala @Saweetie @chloexhalle @Nlechoppa1 @FAMU_1887 @trt_FAMU This Bison thanks you!!! ❤️💙. Strike, Rattlers!!! 🐍"
13,Sun Oct 25 19:51:19 +0000 2020,@TyeTribbett @YouTube @FAMU_1887 Yessa
14,Sun Oct 25 18:28:15 +0000 2020,@ochocinco 🐐 U Gotta Coach And Become A Drum 🥁 Major 💂🏿‍♂️ @FAMU_1887 🐍
15,Sun Oct 25 17:54:57 +0000 2020,@244_shazza No it’s a  @FAMU_1887 🐍 Jacket 😍
16,Sun Oct 25 14:50:43 +0000 2020,RT @Jabari305: So the SVP of  the @LASparks is a @FAMU_1887 alum?! Love to see it.
17,Sun Oct 25 14:30:36 +0000 2020,"As of 10/24, at least 29,366 (+3,720 yst.) voters have cast ballots at on-campus polling places at #Florida universities

@FIU: 6,522
@FloridaAtlantic: 5,508
@UF: 4,549
@UCF: 3,901
@FloridaState: 3,397
@UWF: 2,694
@USouthFlorida: 1,728
@FAMU_1887: 1,067

#Election2020 #VoteEarly"
