,created_at,full_text
0,Mon Oct 26 16:27:51 +0000 2020,RT @JupiterDreamCo: @KahlenBarry @FloridaAtlantic Do you not care for the safety of your Black students? What are you doing to promote dive…
1,Mon Oct 26 15:57:53 +0000 2020,RT @JupiterDreamCo: @KahlenBarry @FloridaAtlantic Do you not care for the safety of your Black students? What are you doing to promote dive…
2,Mon Oct 26 15:56:26 +0000 2020,RT @JupiterDreamCo: @KahlenBarry @FloridaAtlantic Do you not care for the safety of your Black students? What are you doing to promote dive…
3,Mon Oct 26 15:53:38 +0000 2020,RT @JupiterDreamCo: @KahlenBarry @FloridaAtlantic Do you not care for the safety of your Black students? What are you doing to promote dive…
4,Mon Oct 26 15:52:04 +0000 2020,"@kiwimadii @FloridaAtlantic @barstool_fau @FloridaAtlantic For a school that promotes itself as a diverse, safe space for POC you should be very concerned about your student’s inexcusable behavior."
5,Mon Oct 26 15:44:18 +0000 2020,RT @JupiterDreamCo: @KahlenBarry @FloridaAtlantic Do you not care for the safety of your Black students? What are you doing to promote dive…
6,Mon Oct 26 14:40:16 +0000 2020,@kiwimadii @FloridaAtlantic @barstool_fau This is unacceptable @FloridaAtlantic @FAUpresident @FAUNewsDesk @FAUAlumni @FAUadmissions @FAUArtsLetters @WPBF25News @faufoundation @faustudents @FAUOwlAdvocates @upressonline
7,Mon Oct 26 14:39:58 +0000 2020,@KahlenBarry @FloridaAtlantic Do you not care for the safety of your Black students? What are you doing to promote diversity and inclusivity? @FloridaAtlantic @FAUpresident @FAUNewsDesk @FAUAlumni @FAUadmissions @FAUArtsLetters @WPBF25News @faufoundation @faustudents @FAUOwlAdvocates @upressonline
8,Mon Oct 26 14:25:42 +0000 2020,@KevinWagnerPhD @FloridaAtlantic @FAUArtsLetters @FAUNewsDesk We can't wait!!!
9,Mon Oct 26 13:12:33 +0000 2020,"@KevinWagnerPhD @FloridaAtlantic @faubusiness @FAUArtsLetters @FAUNewsDesk You’ve captured my feelings, quite well done!"
10,Mon Oct 26 13:07:33 +0000 2020,"@stef1026 @KahlenBarry @FloridaAtlantic obviously not EVERYONE ELSE, but the majority of people can see it’s wrong."
11,Mon Oct 26 13:06:00 +0000 2020,"@stef1026 @KahlenBarry @FloridaAtlantic because, it’s not."
12,Mon Oct 26 13:05:45 +0000 2020,"@stef1026 @KahlenBarry @FloridaAtlantic it’s diverse but keep in mind, how is it that he goes around saying shit like this, but everyone else that grew up in the same area can see that it’s wrong? and even if you want to blame it on the area, he said it with the hard r, i would love to know where that is normalized????"
13,Mon Oct 26 13:03:50 +0000 2020,@KevinWagnerPhD @FloridaAtlantic @faubusiness @FAUArtsLetters @FAUNewsDesk That literally made me laugh and spit up coffee
14,Mon Oct 26 12:30:15 +0000 2020,"As of 10/25, at least 32,071 (+2,705 yst.) voters have cast ballots at on-campus polling places at #Florida universities

@FIU: 7,220
@FloridaAtlantic: 6,136
@UF: 4,849
@UCF: 4,378
@FloridaState: 3,655
@UWF: 2,853
@USouthFlorida: 1,848
@FAMU_1887: 1,132

#Election2020 #VoteEarly"
15,Mon Oct 26 11:29:51 +0000 2020,@kiwimadii @FloridaAtlantic @barstool_fau @FloridaAtlantic this is disgusting please do something about it
16,Mon Oct 26 07:46:07 +0000 2020,@KahlenBarry @FloridaAtlantic not justifying just pointing out because I’ve seen it a lot w friends
17,Mon Oct 26 07:44:52 +0000 2020,"@KahlenBarry @FloridaAtlantic it’s because west palm is very diverse and people who aren’t used to it don’t know how to act. i grew up in west palm and have always been around so much diversity in every race, religion, background or anything was in for a real shock realizing not everyone is like that"
18,Mon Oct 26 07:20:13 +0000 2020,"@KahlenBarry @FloridaAtlantic the sad thing is that my university prides itself off of being very diverse and having a very safe and inclusive environment for everyone.
like this genuinely makes me so sad"
19,Mon Oct 26 07:18:58 +0000 2020,@KahlenBarry @FloridaAtlantic BRO THIS IS MY SCHOOL. THE FUCK
20,Mon Oct 26 07:03:29 +0000 2020,@KahlenBarry @FloridaAtlantic Omgg this is so disgusting😑the fact she’s trying to justify it..y’all make me sick
21,Mon Oct 26 06:41:12 +0000 2020,@KahlenBarry @FloridaAtlantic I literally just looked around the room because I was so shocked and had to make sure no one was around and had to be subjected to hearing this kid's disgusting racist mouth. Anytime I hear a white person say that I cringe so hard. Who the hell raised this kid.
22,Mon Oct 26 06:37:54 +0000 2020,"@KahlenBarry @FloridaAtlantic not the ""white people created it"" ... makes me sick"
23,Mon Oct 26 06:37:41 +0000 2020,@KahlenBarry @FloridaAtlantic *People
24,Mon Oct 26 06:37:08 +0000 2020,@KahlenBarry @FloridaAtlantic Racist really think they be right. 2020 isn’t playing y’all asses
25,Mon Oct 26 02:12:16 +0000 2020,"@AustinBezdek @FloridaAtlantic Thank you, This has been referred to the Dean of Students Office for further review."
