,created_at,full_text
0,Sun Oct 25 19:15:37 +0000 2020,@eastavelax @provilax @TeamILLacrosse @FloridaTech @NCAADII @FloridaTechMLax @CoachOpron 👀Congrats Andy!!  @tpbulldogslax
1,Thu Oct 22 20:45:57 +0000 2020,"Thank you @tkell for your exceptional contributions to the Public Relations class Zoom @FloridaTech this afternoon. We appreciate your time, energy, and expertise!"
2,Tue Oct 20 09:18:11 +0000 2020,"RT @AnnMemmott: @NicholeConolly @FloridaTech @TheScottCenter One cannot help but note that the ABA industry invented its own hypothesis, an…"
3,Tue Oct 20 04:24:12 +0000 2020,"@AnnMemmott @FloridaTech @TheScottCenter Oh, this one again. Yeah. They're fucking atrocious."
4,Mon Oct 19 19:32:40 +0000 2020,"RT @AnnMemmott: @NicholeConolly @FloridaTech @TheScottCenter One cannot help but note that the ABA industry invented its own hypothesis, an…"
5,Mon Oct 19 14:44:06 +0000 2020,@FloridaTech Nice message showing the alertness and perfect leadership 😊
6,Mon Oct 19 12:28:41 +0000 2020,"RT @AnnMemmott: @NicholeConolly @FloridaTech @TheScottCenter One cannot help but note that the ABA industry invented its own hypothesis, an…"
7,Mon Oct 19 11:48:05 +0000 2020,@AnnMemmott @FloridaTech @TheScottCenter @threadreaderapp unroll
8,Mon Oct 19 11:07:10 +0000 2020,@abaukdiscussion Mind blowing! How this ‘research’ can pass an ethical review is beyond me. Waiting on @FloridaTech  to come out of their ABA cave to explain themselves.
9,Mon Oct 19 10:48:10 +0000 2020,"@Traceylee1964 They are (sick in the head). Starting with Lovaas. @FloridaTech You should be very, very ashamed."
10,Mon Oct 19 10:47:01 +0000 2020,@Traceylee1964 @FloridaTech care to explain yourselves to the autistic community?
11,Mon Oct 19 10:45:38 +0000 2020,"RT @AnnMemmott: @NicholeConolly @FloridaTech @TheScottCenter One cannot help but note that the ABA industry invented its own hypothesis, an…"
12,Mon Oct 19 09:55:24 +0000 2020,@AnnMemmott @FloridaTech @TheScottCenter Gross
13,Mon Oct 19 08:27:51 +0000 2020,"RT @AnnMemmott: @NicholeConolly @FloridaTech @TheScottCenter One cannot help but note that the ABA industry invented its own hypothesis, an…"
14,Mon Oct 19 08:27:34 +0000 2020,"@AnnMemmott @aheeleyRIBA @NicholeConolly @FloridaTech @TheScottCenter Their heads are stuck in the last century. No amount of people coming forward to condemn it or academic research disavowing it make any different to ABA apologists, it’s almost as if it were a cult. Believe, stay deaf to common sense, don’t read recent research and say “gold std”"
15,Mon Oct 19 08:01:59 +0000 2020,"@sarahinthepark @FloridaTech @TheScottCenter Indeed.
But somehow the ABA industry convinces people that autistic children aren't really children, and don't deserve all of the usual protections, as ABA is always in their best interests.  And, for some other reason, they get believed."
16,Mon Oct 19 07:56:45 +0000 2020,@AnnMemmott @FloridaTech @TheScottCenter Yes i had to look at him for study he makes me cringe.
17,Mon Oct 19 07:51:59 +0000 2020,"@NicholeConolly @FloridaTech @TheScottCenter Given ABA has Government-level support in the US, I doubt the Police would feel empowered to act.  No idea.
The difficulty is also that this is systemic.  The ABA industry has always regarded us as non-humans, and their sacred duty is to make us human by doing awful things to us"
18,Mon Oct 19 07:48:13 +0000 2020,"RT @AnnMemmott: @NicholeConolly @FloridaTech @TheScottCenter One cannot help but note that the ABA industry invented its own hypothesis, an…"
19,Mon Oct 19 07:47:52 +0000 2020,"RT @AnnMemmott: @NicholeConolly @FloridaTech @TheScottCenter One cannot help but note that the ABA industry invented its own hypothesis, an…"
20,Mon Oct 19 07:41:58 +0000 2020,"@AnnMemmott @FloridaTech @TheScottCenter Surely they recognise telling a child to sit still and if they endure that behaviour they will be rewarded is grooming, wonder what the FL police force would think?"
21,Mon Oct 19 07:39:33 +0000 2020,"@NicholeConolly @FloridaTech @TheScottCenter One cannot help but note that the ABA industry invented its own hypothesis, and its own qualifications, and its own ethical standards.  
The last 50 years of behavioural progress, ethical understanding and knowledge re autistic culture &amp; communication hasn't happened, to them."
22,Mon Oct 19 07:38:10 +0000 2020,@AnnMemmott @FloridaTech @TheScottCenter Maybe cause they know they wouldn’t pass ethical standards?
23,Mon Oct 19 07:37:09 +0000 2020,"@NicholeConolly @FloridaTech @TheScottCenter The ABA industry doesn't appear to need to state anything about ethics in its papers.  Most odd, when the rest of us do.  But there again, looking at what they do to children, perhaps a deliberate omission?"
24,Mon Oct 19 07:27:32 +0000 2020,"@AnnMemmott @FloridaTech @TheScottCenter How did this pass ethics, this is grooming and sickening."
25,Sun Oct 18 12:00:33 +0000 2020,@JoelTooley @FloridaTech These stories are incredibly sad. I know college students in the same situation that are afraid to leave the US.
26,Sun Oct 18 04:40:58 +0000 2020,...graduate the exact same time I would have had I stayed @FloridaTech (May ‘17). I had switched to geology because I wanted to study something I could see and didn’t see myself writing code the rest of my career and enrolled as a Non-Degree Grad Student studying Europa w/...3/n
27,Sun Oct 18 04:40:57 +0000 2020,"...space, so I opted to major in Astrobiology @FloridaTech. I struggled academically, but conducted two years of successful exoplanet research with Dr. Darin Ragozzine, and decided to transfer to @SESEASU to be closer to home and since it was a clean transfer I was able to...2/n"
28,Sun Oct 18 03:49:37 +0000 2020,"I met an incredible young Middle Eastern woman this week; 24 years old and a PhD student at @FloridaTech  — she’s afraid if she leaves the US to visit her family, she will not be allowed to return nor finish her degree because of Trump’s attempts to neuter legal #immigration."
