,created_at,full_text
0,Mon Oct 26 18:30:05 +0000 2020,@valeriajubes @fukinbuzzin @FIU @FIU you’re literally allowing this girl to pose a real medical danger to any future poc patients she serves by not kicking her out of your pre med program !!! are y’all not embarrassed ?!
1,Mon Oct 26 18:29:04 +0000 2020,@valeriajubes @fukinbuzzin @FIU How does this not violate anything? **smh. She should not be able to pursue premed if she is racist. She needs to be expelled.
2,Mon Oct 26 18:28:52 +0000 2020,"RT @PaladinHup: @FIU @fukinbuzzin If she isn’t expelled or permanently kicked from medicine, then you will be responsible for anyone she ha…"
3,Mon Oct 26 18:28:50 +0000 2020,"RT @PaladinHup: @FIU @fukinbuzzin If she isn’t expelled or permanently kicked from medicine, then you will be responsible for anyone she ha…"
4,Mon Oct 26 18:28:23 +0000 2020,"RT @PaladinHup: @FIU @fukinbuzzin If she isn’t expelled or permanently kicked from medicine, then you will be responsible for anyone she ha…"
5,Mon Oct 26 18:27:41 +0000 2020,@cryingcryptic @jittyflit @VeruhWang @fukinbuzzin @FIU Dumb bitch you doing it in this thread
6,Mon Oct 26 18:26:52 +0000 2020,RT @Kasbaby34: @YaFairyBaldMami @fukinbuzzin @sincityho @FIU Black families should be able to sue her AND the school that allowed her to co…
7,Mon Oct 26 18:26:41 +0000 2020,"RT @YaFairyBaldMami: @fukinbuzzin @sincityho @FIU @FIU  so if y’all let her stay, and she graduates, and black ppl start dying that are her…"
8,Mon Oct 26 18:24:40 +0000 2020,"RT @YaFairyBaldMami: @fukinbuzzin @sincityho @FIU @FIU  so if y’all let her stay, and she graduates, and black ppl start dying that are her…"
9,Mon Oct 26 18:24:30 +0000 2020,@ThomasMPierce @fukinbuzzin @FIU she’s another uneducated loud mouth 🤷🏽‍♀️
10,Mon Oct 26 18:23:52 +0000 2020,@dre_bando610 @diahxo @VeruhWang @fukinbuzzin @FIU probably have small group of pro black people but most of them are gone just to praise white people I don’t think people who are in good interracial relationships are main problems it’s the bad ones making bad
11,Mon Oct 26 18:23:16 +0000 2020,RT @baeleemariew: @fukinbuzzin @FIU Someone should book a tattoo appointment &amp; just show up swingin 🙂
12,Mon Oct 26 18:23:05 +0000 2020,RT @JuveeTweets: @valwt_ @fukinbuzzin @FIU She’s in medical school and she’s racist imagine how many people in the medical field are just l…
13,Mon Oct 26 18:22:50 +0000 2020,@FIU @wolfsonian The fact you take no action for one of your students who represents your environment is disgusting
14,Mon Oct 26 18:22:13 +0000 2020,@Kenya_Brianna @fukinbuzzin @FIU damn shame 😂😂😂
15,Mon Oct 26 18:21:53 +0000 2020,@mzprettyfeet @fukinbuzzin @FIU girllllll can’t figure this one out.
16,Mon Oct 26 18:21:36 +0000 2020,@Tythafather @fukinbuzzin @81summer_ @FIU Push that shit like the Buffalo wild wings button
17,Mon Oct 26 18:21:31 +0000 2020,@VeruhWang @fukinbuzzin @FIU No fuck we don’t
18,Mon Oct 26 18:20:49 +0000 2020,@fukinbuzzin @FIU She thriving in 3D but keep deleting comments make it make sense baby💀
19,Mon Oct 26 18:20:06 +0000 2020,"RT @xnatvega: @fukinbuzzin @FIU @FIU @FIUMedicine as a student of your institution on a pre-PA track, I’m appalled by this. No adult aiming…"
20,Mon Oct 26 18:20:04 +0000 2020,@FIU @wolfsonian In this political climate?
21,Mon Oct 26 18:19:07 +0000 2020,@kira_bvby @fukinbuzzin @FIU I'm really just sitting here scratching my fucking head
22,Mon Oct 26 18:19:01 +0000 2020,"@FIU okay, so do something about it. if nothing is done about this situation, you will be at fault for putting people’s lives at risk under her judgement."
23,Mon Oct 26 18:18:31 +0000 2020,RT @n1kki456: @fukinbuzzin @FIU “Pre med “ that is... alarming
24,Mon Oct 26 18:18:23 +0000 2020,"RT @PaladinHup: @FIU @fukinbuzzin If she isn’t expelled or permanently kicked from medicine, then you will be responsible for anyone she ha…"
25,Mon Oct 26 18:18:22 +0000 2020,@itsGrodBB @jordyiaaa @FulgurInex @Dxriun1 @x_hermosounique @dumcoiner @mynamegibby @fukinbuzzin @FIU plz explain to me how economic inequality has ANYTHING to do with culture?? it has absolutely nothing to do with culture or race and has everything to do with the racial inequality within the black community
26,Mon Oct 26 18:17:46 +0000 2020,"RT @PaladinHup: @FIU @fukinbuzzin If she isn’t expelled or permanently kicked from medicine, then you will be responsible for anyone she ha…"
27,Mon Oct 26 18:17:22 +0000 2020,@VeruhWang @fukinbuzzin @FIU lol we gone be oppressed forever because of woman like you
28,Mon Oct 26 18:16:54 +0000 2020,@dre_bando610 @diahxo @VeruhWang @fukinbuzzin @FIU What do you think black community going to look like in 10 years? Many black people don’t care how they degrading themselves everyday increases really don’t think black community will never come back together
29,Mon Oct 26 18:16:54 +0000 2020,@ThatNiggaAFool @ShiaLeBoofPack @fukinbuzzin @FIU LMFAOOOO
30,Mon Oct 26 18:16:47 +0000 2020,@FIU @wolfsonian You guys have such a bad rep
31,Mon Oct 26 18:16:44 +0000 2020,"RT @PaladinHup: @FIU @fukinbuzzin If she isn’t expelled or permanently kicked from medicine, then you will be responsible for anyone she ha…"
32,Mon Oct 26 18:16:40 +0000 2020,"@spym0mma @JordanYamine @97mar__ @fukinbuzzin @FIU I’m not 100% sure, don’t want the wrong person getting doxxed"
33,Mon Oct 26 18:16:25 +0000 2020,@SecoYayo @fukinbuzzin @FIU Dis shit ain’t it
34,Mon Oct 26 18:16:13 +0000 2020,RT @ThatNiggaAFool: @ShiaLeBoofPack @fukinbuzzin @FIU She still on the line with crime stoppers
35,Mon Oct 26 18:16:08 +0000 2020,"RT @PaladinHup: @FIU @fukinbuzzin If she isn’t expelled or permanently kicked from medicine, then you will be responsible for anyone she ha…"
36,Mon Oct 26 18:15:50 +0000 2020,@Crisis_x2 @JordanYamine @97mar__ @fukinbuzzin @FIU don't be shy drop the @
37,Mon Oct 26 18:15:36 +0000 2020,"@Crisis_x2 @JordanYamine @97mar__ @fukinbuzzin @FIU This tweet which is obviously harassment and racism wasn't taken down, but my tweet calling out this person was not only taken down, I was also suspended. @Twitter make it make sense."
38,Mon Oct 26 18:13:55 +0000 2020,@fukinbuzzin @FIU @FIU really hope FIU takes the appropriate measures to remove this student from the program. She’s blatantly disrespectful towards African Americans. Imagine her working in a hospital and caring for patients who are African American.
39,Mon Oct 26 18:12:39 +0000 2020,@kira_bvby @fukinbuzzin @FIU 😂😂 basically
40,Mon Oct 26 18:12:21 +0000 2020,RT @Vemedetti: @nautnauti @fukinbuzzin @FIU Bruh it's fucking terrifying that some of these people become real doctors
41,Mon Oct 26 18:12:16 +0000 2020,@fukinbuzzin @xocakah @FIU She’s isre*li...explains it
42,Mon Oct 26 18:12:11 +0000 2020,RT @DarkFrogger: @n1kki456 @fukinbuzzin @FIU Now imagine how many slipped under the radar.
43,Mon Oct 26 18:11:58 +0000 2020,@FIU you gonna do something about that racist girl or no?
44,Mon Oct 26 18:11:10 +0000 2020,"RT @YaFairyBaldMami: @fukinbuzzin @sincityho @FIU @FIU  so if y’all let her stay, and she graduates, and black ppl start dying that are her…"
