,created_at,full_text
0,Mon Oct 26 17:03:36 +0000 2020,@LeemanRobertF @apadivision50 @AddPsychPodcast @floridastate @AcademicChatter You’re so kind Rob! I really appreciate it 👊🏽
1,Mon Oct 26 14:42:48 +0000 2020,RT @LeemanRobertF: @apadivision50 @AddPsychPodcast @keanan_joyner @floridastate @AcademicChatter A future (and actually current) star!
2,Mon Oct 26 14:41:54 +0000 2020,@apadivision50 @AddPsychPodcast @keanan_joyner @floridastate @AcademicChatter A future (and actually current) star!
3,Mon Oct 26 14:38:51 +0000 2020,"@NateWallace9 is an #educator in @JerseyCity, college athlete, a #labor organizer, #socialjustice activist, served as president of the #studentsforjusticeinpalestine chapter at Florida State University @floridastate in 2013-14 and recently launched a podcast @RedspinSports"
4,Mon Oct 26 12:30:15 +0000 2020,"As of 10/25, at least 32,071 (+2,705 yst.) voters have cast ballots at on-campus polling places at #Florida universities

@FIU: 7,220
@FloridaAtlantic: 6,136
@UF: 4,849
@UCF: 4,378
@FloridaState: 3,655
@UWF: 2,853
@USouthFlorida: 1,848
@FAMU_1887: 1,132

#Election2020 #VoteEarly"
5,Sun Oct 25 23:26:03 +0000 2020,@DrHubaEvaluator I didn’t know that the other FL schools @floridastate &amp; @UF offered those degrees?...I stand corrected! Thanks for the clarification @MarkMeadows ..I did my cardiac training at @univmiami and I know they don’t offer that in any curriculum
6,Sun Oct 25 16:23:15 +0000 2020,@Jose_Volonte @SportsGarten @SportsMapRadio @RealCharlieWard @floridastate @BleavPodcasts Appreciate it!!! Enjoy the show.
7,Sun Oct 25 16:20:40 +0000 2020,@Jose_Volonte @SportsGarten @SportsMapRadio @RealCharlieWard @floridastate @BleavPodcasts It’s on now. 2 hours before kickoff every Sunday
8,Sun Oct 25 16:20:17 +0000 2020,@TomBartonSports @SportsGarten @SportsMapRadio @RealCharlieWard @floridastate @BleavPodcasts Cool so you coming on 11am west coast or eastern time?
9,Sun Oct 25 14:54:49 +0000 2020,@TomBartonSports @SportsGarten @SportsMapRadio @RealCharlieWard @floridastate @BleavPodcasts Can I listen live and where?
10,Sun Oct 25 14:30:36 +0000 2020,"As of 10/24, at least 29,366 (+3,720 yst.) voters have cast ballots at on-campus polling places at #Florida universities

@FIU: 6,522
@FloridaAtlantic: 5,508
@UF: 4,549
@UCF: 3,901
@FloridaState: 3,397
@UWF: 2,694
@USouthFlorida: 1,728
@FAMU_1887: 1,067

#Election2020 #VoteEarly"
11,Sun Oct 25 13:25:46 +0000 2020,@fsucge @floridastate @FSUartssciences @FSUGS Congratulations chief
12,Sun Oct 25 10:48:55 +0000 2020,@fsucge @floridastate @FSUartssciences @FSUGS 🥳🥳. Great guy
13,Sun Oct 25 03:42:14 +0000 2020,@nik9olas @floridastate @FSUSport Ayyy congratulations my man! That's awesome
14,Sun Oct 25 02:05:03 +0000 2020,RT @TomBartonSports: Don’t forget to listen in tomorrow at 11am. @SportsGarten @SportsMapRadio I’ll break down every game &amp; give you the st…
15,Sat Oct 24 21:40:16 +0000 2020,"Don’t forget to listen in tomorrow at 11am. @SportsGarten @SportsMapRadio I’ll break down every game &amp; give you the stats + trends you need for #NFL Sunday.
Plus we are joined this week by @RealCharlieWard to talk the #CollegeFootball landscape #ACC @floridastate @BleavPodcasts"
16,Sat Oct 24 20:17:38 +0000 2020,@History_FSU @floridastate @FSUCareerCenter @FSUartssciences @FSUHonors @FSU_HITM @FSU_CRE @InstituteOnWWII That’s my boy
17,Sat Oct 24 19:46:13 +0000 2020,@JimRosicaFL @floridastate @DavidsonHiers @TDOnline Some pig!
18,Sat Oct 24 17:32:08 +0000 2020,@305syndicate @floridastate @FSUFootball Nobody’s copying anyone. Everyone had ridiculous turnover props to mimic Miami’s turnovers that get them no place in life. The sledgehammer maybe but there’s actually has meaning
19,Sat Oct 24 16:58:57 +0000 2020,Leave this shitty conference and become independent @FSUFootball @floridastate
20,Sat Oct 24 11:20:21 +0000 2020,"@fsucge @floridastate @FSUartssciences @FSUGS Congrats, we're proud of you."
21,Sat Oct 24 06:05:09 +0000 2020,@fsucge @floridastate @FSUartssciences @FSUGS Congratulations to  u Sam
22,Sat Oct 24 05:45:59 +0000 2020,@fsucge @floridastate @FSUartssciences @FSUGS Congratulations Bro
23,Sat Oct 24 02:58:50 +0000 2020,@Acosta @floridastate this would be a great place to hand out college applications.
24,Sat Oct 24 02:05:44 +0000 2020,"As of 10/23, at least 25,646 (+5,871 yst.) voters have cast ballots at on-campus polling places at #Florida universities

@FIU: 5,544
@FloridaAtlantic: 4,813
@UF: 3,998
@UCF: 3,286
@FloridaState: 3,061
@UWF: 2,411
@USouthFlorida: 1,582
@FAMU_1887: 951

#Election2020 #VoteEarly"
25,Fri Oct 23 22:58:30 +0000 2020,@janlloydlesley @SeminoleState Cady was an amazing asset to our advising team at @floridastate ! So glad to see her have an amazing team at SSC.
26,Fri Oct 23 22:02:07 +0000 2020,not @floridastate selling my email information to companies that will not stop emailing me after graduating years ago... that will forrsure get me to donate to the alumni association 😓
27,Fri Oct 23 21:40:27 +0000 2020,@fsucge @floridastate @FSUartssciences @FSUGS Congratulations bro! God is taking the glory already.
28,Fri Oct 23 20:25:49 +0000 2020,@AlCardenasFL_DC @floridastate Awesome!! A proud mom of 2 current noles!!
29,Fri Oct 23 19:27:23 +0000 2020,@USEFP @floridastate very late tweet.
30,Fri Oct 23 18:16:00 +0000 2020,"@VidiVincenza @floridastate Academic advisors at my uni must have a master's or 5+ years of experience. 

Salary range: $27k to $32k."
31,Fri Oct 23 17:17:27 +0000 2020,@DFS_Almanac this is like @floridastate @FSUFootball when Winston was QB
32,Fri Oct 23 17:09:00 +0000 2020,@fsucge @floridastate @FSUartssciences @FSUGS More wins bro
33,Fri Oct 23 16:41:37 +0000 2020,@SelfMadeHustle @247Sports @n3litt @Vol_Football @RazorbackFB @floridastate @VandyFootball @PennStateFball Nope @WakeFB
34,Fri Oct 23 15:54:20 +0000 2020,@fsucge @floridastate @FSUartssciences @FSUGS @SamdGreat01 congrats brother more wins
35,Fri Oct 23 15:39:54 +0000 2020,@fsucge @floridastate @FSUartssciences @FSUGS Congratulations @SamdGreat01 More feats i wish you
36,Fri Oct 23 15:24:31 +0000 2020,@davidaxelrod @AlCardenasFL_DC @floridastate Trump whipped biden last night.  Biden has lost.
37,Fri Oct 23 14:53:25 +0000 2020,@247Sports @n3litt @Vol_Football @RazorbackFB @floridastate @VandyFootball @PennStateFball  These are his top 5 schools. Tag them!!
38,Fri Oct 23 13:53:32 +0000 2020,"RT @VoteMcKinlay: Interesting, if @floridastate student in @LeonCounty tests + for #COVID19 but address on license is in #PalmBeachCounty i…"
39,Fri Oct 23 13:22:06 +0000 2020,"@FSUartssciences @floridastate @FSU_THT @FSUtransfers Amazing work, Ian! Such a wonderful story."
40,Fri Oct 23 12:14:52 +0000 2020,"@KevinCate @floridastate Can we start screaming, VOTE BIDEN.
NO SSI/SSDI BY 2024 IF DONALD WINS.
NO BS - SAVE THE SENIORS !!!
Save Humanity - not enabilers Insanity.
NO SSI is a MAJOR BIG DEAL !"
41,Fri Oct 23 11:40:19 +0000 2020,@USEFP @floridastate Why the form asks for CNIC?
42,Fri Oct 23 11:39:48 +0000 2020,"@USEFP @floridastate I’ve filled up the form but in the subject entries, I couldn’t find the option for communication or media, so I selected social sciences. Hopefully, I’ll get call for information on session regarding PhD in mass communication."
43,Fri Oct 23 02:38:41 +0000 2020,@josieahlquist @floridastate @AFA1976 Thank you!
44,Fri Oct 23 02:26:47 +0000 2020,@ChrisGraham06 @floridastate @AFA1976 Congrats!!
45,Fri Oct 23 02:00:40 +0000 2020,"As of 10/22, at least 19,775 (+5,863 yst.) voters have cast ballots at on-campus polling places at #Florida universities

@FIU: 4,149
@FloridaAtlantic: 3,649
@UF: 3,156
@UCF: 2,567
@FloridaState: 2,273
@UWF: 1,982
@USouthFlorida: 1,235
@FAMU_1887: 744

#Election2020 #VoteEarly"
46,Fri Oct 23 01:52:13 +0000 2020,@TimChapin @iopfsu @floridastate @FSUCOSS @hjghassell Great news Dean Chapin!
47,Fri Oct 23 01:49:52 +0000 2020,@ChrisGraham06 @floridastate @AFA1976 Congrats! 🤙🏾
48,Fri Oct 23 00:19:59 +0000 2020,@TimChapin @AlCardenasFL_DC @iopfsu @floridastate @FSUCOSS Congrats all!!!
49,Thu Oct 22 23:57:06 +0000 2020,I just saw the @floridastate Bobby Bowden quote about @realDonaldTrump and I will NEVER GIVE A DIME to FSU in the future. Ever. Never.
50,Thu Oct 22 23:46:23 +0000 2020,@kstuart @KerryNBC @BillyCorben @NBCNews @MSNBC @NBCNewsNow @floridastate That’s real talk right there.
51,Thu Oct 22 23:42:54 +0000 2020,@nolanolegal @KerryNBC @BillyCorben @NBCNews @MSNBC @NBCNewsNow @floridastate Those days in Tallahassee were nuts. And when I saw Jesse Jackson getting a gut box one day.
52,Thu Oct 22 23:40:57 +0000 2020,@ChrisGraham06 @pearson_ality @floridastate @AFA1976 Congrats!
